KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ
Arka Gdynia,2,-1,-1,0,-2,7,-4,-3,-2,0,-2
Bruk-Bet,5,-5,-10,0,-14,-5,-2,4,-27,-10,-17
Cracovia,2,1,-1,2,-6,1,-2,2,-1,4,-5
Górnik Zabrze,2,0,9,-1,6,6,-7,-5,10,10,0
Jagiellonia,1,-2,6,0,4,4,-3,4,14,5,9
Korona Kielce,-7,5,4,0,-6,-2,2,-1,-5,2,-7
Lech Poznań,-3,-1,8,0,6,-2,10,2,20,4,16
Lechia Gdańsk,1,-10,-1,0,5,-6,4,-5,-12,-10,-2
Legia Warszawa,2,4,-1,2,8,1,2,1,19,7,12
Piast Gliwice,-1,3,-5,0,3,1,-7,2,-4,-3,-1
Pogoń Szczecin,-6,2,6,-3,6,-3,-7,-3,-8,-1,-7
Sandecja,-8,1,-5,0,-6,-5,6,-3,-20,-12,-8
Śląsk Wrocław,3,-1,-4,2,-3,2,-3,0,-4,0,-4
Wisła Kraków,3,4,-3,0,-6,5,3,3,9,4,5
Wisła Płock,1,5,-5,-3,5,-3,9,-1,8,-2,10
Zagłębie Lubin,3,-5,3,1,0,-1,-1,3,3,2,1
