KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,78,112,139,15,125,112,148,49,778,344,434
Arka Gdynia,7,5,9,1,7,10,5,2,46,22,24
Bruk-Bet,8,5,2,1,4,2,11,6,39,16,23
Cracovia,6,7,8,2,4,8,13,3,51,23,28
Górnik Zabrze,6,8,14,0,12,16,8,1,65,28,37
Jagiellonia,5,8,9,0,11,8,9,5,55,22,33
Korona Kielce,3,9,14,0,5,9,9,0,49,26,23
Lech Poznań,2,4,12,2,7,7,16,3,53,20,33
Lechia Gdańsk,5,7,8,2,12,3,7,2,46,22,24
Legia Warszawa,4,8,7,2,10,9,11,3,54,21,33
Piast Gliwice,4,7,3,0,6,7,8,6,41,14,27
Pogoń Szczecin,1,9,11,0,14,5,5,1,46,21,25
Sandecja,1,7,5,0,5,2,12,2,34,13,21
Śląsk Wrocław,6,8,8,4,6,10,6,2,50,26,24
Wisła Kraków,7,8,10,0,4,7,11,4,51,25,26
Wisła Płock,7,9,9,0,10,5,12,1,53,25,28
Zagłębie Lubin,6,3,10,1,8,4,5,8,45,20,25
