ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Filip Piszczek,Sandecja,84,46,14
Mateusz Kupczak,Bruk-Bet,79,30,1
Kamil Drygas,Pogoń Szczecin,77,66,12
Vlastimir Jovanović,Bruk-Bet,75,72,0
Szymon Matuszek,Górnik Zabrze,75,37,2
Damian Szymański,Wisła Płock,73,18,2
Łukasz Trałka,Lech Poznań,69,53,13
Michał Nalepa I,Arka Gdynia,67,30,1
Grzegorz Piesio,Arka Gdynia,65,66,4
Mateusz Szwoch,Legia/Arka,64,56,4
Michał Koj,Górnik Zabrze,62,23,3
Łukasz Burliga,Jagiellonia,62,18,2
Łukasz Wolsztyński,Górnik Zabrze,60,53,22
Taras Romanczuk,Jagiellonia,60,46,2
Jakub Piotrowski,Pogoń Szczecin,59,49,0
Adam Frączczak,Pogoń Szczecin,57,63,22
Marco Paixao,Lechia Gdańsk,57,55,32
Sławomir Peszko,Lechia Gdańsk,56,69,9
Dominik Furman,Wisła Płock,56,63,1
Szymon Żurkowski,Górnik Zabrze,55,94,0
Arkadiusz Piech,Śląsk Wrocław,55,43,23
Michal Piter-Bućko,Sandecja,55,16,0
Michał Chrapek,Śląsk Wrocław,54,71,3
Jose Kante,Wisła Płock,54,64,8
Jakub Żubrowski,Korona Kielce,54,44,0
Łukasz Zwoliński,Pogoń Szczecin,54,37,14
Krzysztof Piątek,Cracovia,53,93,37
Pol Llonch,Wisła Kraków,52,27,1
Grzegorz Baran,Sandecja,51,40,0
Sito Riera,Śląsk Wrocław,51,30,3
Giorgi Merebaszwili,Wisła Płock,50,52,8
Bartosz Śpiączka,Bruk-Bet,50,25,18
Adam Marciniak,Arka Gdynia,50,16,6
Mariusz Pawelec,Śląsk Wrocław,49,24,1
Mateusz Możdżeń,Korona Kielce,48,81,2
Zoran Arsenić,Wisła Kraków,48,23,1
Damian Zbozień,Arka Gdynia,48,10,4
Robert Gumny,Lech Poznań,47,60,0
Rafał Siemaszko,Arka Gdynia,47,29,12
Dawid Sołdecki,Arka Gdynia,47,19,2
Michał Marcjanik,Arka Gdynia,47,10,0
Cezary Stefańczyk,Wisła Płock,46,66,0
Paweł Stolarski,Lechia Gdańsk,46,41,2
Daniel Łukasik,Lechia Gdańsk,46,35,1
Miroslav Covilo,Cracovia,46,27,3
Mateusz Wieteska,Górnik Zabrze,46,17,1
Aleksandyr Kolew,Sandecja,45,63,25
Wojciech Trochim,Sandecja,45,62,6
Patryk Kun,Arka Gdynia,45,43,2
Igors Tarasovs,Śląsk Wrocław,45,21,3
Piotr Wlazło,Wisła P/Jagiellonia,43,41,0
Michal Papadopulos,Piast Gliwice,42,58,20
Bartłomiej Kasprzak,Sandecja,42,47,0
Adnan Kovacević,Korona Kielce,42,22,1
Patryk Dziczek,Piast Gliwice,41,25,1
Robert Pich,Śląsk Wrocław,40,54,3
Maciej Sadlok,Wisła Kraków,40,41,1
Łukasz Kosakiewicz,Korona Kielce,40,25,4
Rafał Grzelak,Bruk-Bet,40,24,1
Flavio Paixao,Lechia Gdańsk,39,69,28
Alan Czerwiński,Zagłębie Lubin,39,25,3
Nico Varela,Wisła Płock,38,60,10
Jakub Świerczok,Zagłębie Lubin,38,52,17
Artem Putiwcew,Bruk-Bet,38,30,2
Piotr Celeban,Śląsk Wrocław,38,21,0
Tomasz Jodłowiec,Legia/Piast,38,20,2
Thibault Moulin,Legia Warszawa,38,17,0
Carlitos,Wisła Kraków,37,51,42
Christian Gytkjaer,Lech Poznań,37,46,13
Nika Kaczarawa,Korona Kielce,37,29,30
Arkadiusz Reca,Wisła Płock,37,25,0
Bartosz Kwiecień,Jagiellonia,37,18,0
Płamen Kraczunow,Sandecja,37,12,4
Rafał Kurzawa,Górnik Zabrze,36,78,6
Maciej Gajos,Lech Poznań,36,49,1
Radosław Majewski,Lech Poznań,36,43,3
Marcin Cebula,Korona Kielce,36,41,3
Mateusz Szczepaniak,Cracovia/Piast,36,37,11
Dawid Szufryn,Sandecja,36,19,2
Milan Dimun,Cracovia,36,17,0
Piotr Malarczyk,Cracovia/Korona,36,6,0
Marcin Robak,Śląsk Wrocław,35,41,36
Dani Suarez,Górnik Zabrze,35,36,2
Vladislavs Gutkovskis,Bruk-Bet,35,24,6
Kamil Vacek,Śląsk Wrocław,35,21,4
Lubomir Guldan,Zagłębie Lubin,35,15,2
Martin Miković,Bruk-Bet,35,13,5
Tomasz Hołota,Pogoń Szczecin,35,9,3
Bartosz Rymaniak,Korona Kielce,34,47,2
Cornel Rapa,Pogoń Szczecin,34,39,4
Bartosz Kopacz,Zagłębie Lubin,34,30,0
Aleksandar Sedlar,Piast Gliwice,34,17,0
Damian Kądzior,Górnik Zabrze,33,75,12
Jesus Imaz,Wisła Kraków,33,50,8
Adam Matuszczyk,Zagłębie Lubin,33,42,1
Sasa Balić,Zagłębie Lubin,33,23,5
Darko Jevtić,Lech Poznań,33,21,0
Fran Velez,Wisła Kraków,33,20,2
Michał Helik,Cracovia,33,19,2
Maciej Ambrosiewicz,Górnik Zabrze,33,15,0
Adrian Basta,Sandecja,33,12,0
Jarosław Kubicki,Zagłębie Lubin,33,5,0
Javi Hernandez,Cracovia,32,106,4
Jakub Mares,Zagłębie Lubin,32,28,27
Emir Dilaver,Lech Poznań,32,25,1
Guilherme Sitya,Jagiellonia,32,21,3
Kamil Wojtkowski,Wisła Kraków,32,21,0
Adam Dźwigała,Wisła Płock,32,11,1
Ken Kallaste,Korona Kielce,31,33,1
Simeon Sławczew,Lechia Gdańsk,31,33,1
Dragoljub Srnić,Śląsk Wrocław,31,31,0
Adam Buksa,Zagłębie/Pogoń,31,24,5
Kamil Pestka,Cracovia,31,22,1
Michael Gardawski,Korona Kielce,31,21,7
Bartosz Szeliga,Bruk-Bet,31,15,2
Igor Angulo,Górnik Zabrze,30,40,41
Ruben Jurado,Arka Gdynia,30,31,8
Ivan Runje,Jagiellonia,30,26,1
Joao Nunes,Lechia Gdańsk,30,16,0
Błażej Augustyn,Lechia Gdańsk,30,7,2
Maciej Małkowski,Sandecja,29,52,3
Artur Jędrzejczyk,Legia Warszawa,29,32,2
Łukasz Piątek,Bruk-Bet,29,26,0
Spas Delew,Pogoń Szczecin,29,26,19
Tomasz Cywka,Wisła Kraków,29,23,1
Samuel Stefanik,Bruk-Bet,29,14,5
Przemysław Frankowski,Jagiellonia,28,43,2
Goran Cvijanović,Korona Kielce,28,30,5
Joel Valencia,Piast Gliwice,28,26,4
Adam Wolniewicz,Górnik Zabrze,28,20,0
Krzysztof Mączyński,Legia Warszawa,28,12,3
Jakub Bartosz,Wisła K/Sandecja,28,11,0
Arvydas Novikovas,Jagiellonia,27,63,13
Marcin Pietrowski,Piast Gliwice,27,41,0
Rafał Boguski,Wisła Kraków,27,40,5
Matic Fink,Cracovia,27,29,0
Augusto,Śląsk Wrocław,27,26,0
Grzegorz Wojtkowiak,Lechia Gdańsk,27,14,1
Hebert,Piast Gliwice,27,11,0
Nikola Mitrović,Wisła Kraków,27,8,0
Sasa Zivec,Piast Gliwice,26,45,9
Cillian Sheridan,Jagiellonia,26,24,20
Adam Hlousek,Legia Warszawa,26,23,1
Jacek Kiełb,Korona Kielce,26,21,10
Uros Korun,Piast Gliwice,26,18,1
Roman Bezjak,Jagiellonia,26,15,5
Jarosław Fojut,Pogoń Szczecin,26,14,4
Michał Nalepa II,Lechia Gdańsk,26,7,0
Semir Stilić,Wisła Płock,25,40,1
Kamil Jóźwiak,Lech Poznań,25,28,3
Vullnet Basha,Wisła Kraków,25,24,0
Igor Łasicki,Wisła Płock,25,21,0
Nabil Aankour,Korona Kielce,25,16,4
Guilherme,Legia Warszawa,24,43,1
Filip Starzyński,Zagłębie Lubin,24,37,3
Mihai Radut,Lech Poznań,24,26,7
Patryk Małecki,Wisła Kraków,24,23,5
Adam Deja,Cracovia,24,22,0
Jakub Tosik,Zagłębie Lubin,24,17,0
Inaki Astiz,Legia Warszawa,24,16,0
Patrik Mraz,Sandecja,24,11,1
Lasza Dwali,Pogoń Szczecin,24,9,0
Mateusz Matras,Lechia Gdańsk,24,8,0
Maciej Dąbrowski,Legia Warszawa,24,8,0
Radek Dejmek,Korona Kielce,24,8,0
Arkadiusz Głowacki,Wisła Kraków,24,6,2
Jakub Kosecki,Śląsk Wrocław,23,61,3
Bartłomiej Pawłowski,Zagłębie Lubin,23,53,3
Wołodymyr Kostewycz,Lech Poznań,23,44,3
Patryk Tuszyński,Zagłębie Lubin,23,41,3
William Remy,Legia Warszawa,23,34,0
Martin Konczkowski,Piast Gliwice,23,29,2
Ricardo Nunes,Pogoń Szczecin,23,26,3
Damian Rasak,Wisła Płock,23,24,0
Oliver Petrak,Korona Kielce,23,16,0
Jarosław Jach,Zagłębie Lubin,23,7,2
Filip Jagiełło,Zagłębie Lubin,22,42,2
Tomasz Brzyski,Sandecja,22,41,0
Martin Bukata,Piast Gliwice,22,25,0
Ivan Jukić,Korona Kielce,22,24,5
Jakub Bartkowski,Wisła Kraków,22,23,1
