ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Szymon Żurkowski,Górnik Zabrze,65,23,"35,4%",2,51,20,"39,2%",2,"3,9%"
Carlitos,Wisła Kraków,110,59,"53,6%",24,46,19,"41,3%",7,"15,2%"
Rafał Kurzawa,Górnik Zabrze,77,24,"31,2%",2,61,16,"26,2%",2,"3,3%"
Damian Kądzior,Górnik Zabrze,98,32,"32,7%",10,53,15,"28,3%",2,"3,8%"
Mateusz Możdżeń,Korona Kielce,86,22,"25,6%",2,62,15,"24,2%",2,"3,2%"
Darko Jevtić,Lech Poznań,57,21,"36,8%",5,38,13,"34,2%",2,"5,3%"
Filip Starzyński,Zagłębie Lubin,58,19,"32,8%",6,43,13,"30,2%",1,"2,3%"
Giorgi Merebaszwili,Wisła Płock,49,22,"44,9%",5,26,12,"46,2%",0,"0,0%"
Tomasz Brzyski,Sandecja,48,13,"27,1%",0,44,12,"27,3%",0,"0,0%"
Jakub Żubrowski,Korona Kielce,37,13,"35,1%",0,34,12,"35,3%",0,"0,0%"
Javi Hernandez,Cracovia,63,17,"27,0%",5,45,11,"24,4%",1,"2,2%"
Ricardo Nunes,Pogoń Szczecin,27,15,"55,6%",2,20,11,"55,0%",1,"5,0%"
Jakub Świerczok,Zagłębie Lubin,83,38,"45,8%",16,22,10,"45,5%",1,"4,5%"
Kasper Hamalainen,Legia Warszawa,44,22,"50,0%",8,16,10,"62,5%",3,"18,8%"
Spas Delew,Pogoń Szczecin,67,21,"31,3%",5,36,10,"27,8%",1,"2,8%"
Damian Szymański,Jagiellonia/Wisła P,49,18,"36,7%",4,28,10,"35,7%",2,"7,1%"
Cristian Pasquato,Legia Warszawa,33,11,"33,3%",2,26,10,"38,5%",1,"3,8%"
Michał Kucharczyk,Legia Warszawa,55,28,"50,9%",7,14,9,"64,3%",0,"0,0%"
Radosław Majewski,Lech Poznań,51,23,"45,1%",2,25,9,"36,0%",1,"4,0%"
Maciej Gajos,Lech Poznań,49,19,"38,8%",4,24,9,"37,5%",0,"0,0%"
Filip Jagiełło,Zagłębie Lubin,34,12,"35,3%",1,25,9,"36,0%",1,"4,0%"
Konstantin Vassiljev,Piast Gliwice,43,11,"25,6%",1,33,9,"27,3%",1,"3,0%"
Krzysztof Piątek,Cracovia,110,45,"40,9%",21,32,8,"25,0%",0,"0,0%"
Arvydas Novikovas,Jagiellonia,75,24,"32,0%",9,41,8,"19,5%",0,"0,0%"
Robert Pich,Śląsk Wrocław,66,23,"34,8%",6,32,8,"25,0%",1,"3,1%"
Wojciech Trochim,Sandecja,52,17,"32,7%",6,32,8,"25,0%",2,"6,3%"
Grzegorz Piesio,Arka Gdynia,54,15,"27,8%",1,39,8,"20,5%",0,"0,0%"
Michał Nalepa I,Arka Gdynia,42,11,"26,2%",1,36,8,"22,2%",0,"0,0%"
Martin Bukata,Piast Gliwice,29,9,"31,0%",2,19,8,"42,1%",2,"10,5%"
Arkadiusz Piech,Śląsk Wrocław,65,24,"36,9%",10,19,7,"36,8%",2,"10,5%"
Jesus Imaz,Wisła Kraków,64,24,"37,5%",8,20,7,"35,0%",1,"5,0%"
Karol Świderski,Jagiellonia,47,21,"44,7%",5,13,7,"53,8%",1,"7,7%"
Jacek Kiełb,Korona Kielce,54,19,"35,2%",6,29,7,"24,1%",1,"3,4%"
Joel Valencia,Piast Gliwice,28,16,"57,1%",3,9,7,"77,8%",2,"22,2%"
Bartłomiej Pawłowski,Zagłębie Lubin,49,13,"26,5%",3,21,7,"33,3%",1,"4,8%"
Maciej Makuszewski,Lech Poznań,32,11,"34,4%",5,17,7,"41,2%",2,"11,8%"
Dawid Kort,Pogoń Szczecin,20,9,"45,0%",0,15,7,"46,7%",0,"0,0%"
Patryk Dziczek,Piast Gliwice,28,8,"28,6%",1,19,7,"36,8%",1,"5,3%"
Rafał Wolski,Lechia Gdańsk,15,8,"53,3%",1,13,7,"53,8%",1,"7,7%"
Igor Angulo,Górnik Zabrze,89,47,"52,8%",22,16,6,"37,5%",4,"25,0%"
Goran Cvijanović,Korona Kielce,38,17,"44,7%",8,23,6,"26,1%",1,"4,3%"
Sebastian Szymański,Legia Warszawa,31,15,"48,4%",4,12,6,"50,0%",3,"25,0%"
Sasa Zivec,Piast Gliwice,43,12,"27,9%",6,26,6,"23,1%",3,"11,5%"
Marcin Warcholak,Arka Gdynia,19,8,"42,1%",3,14,6,"42,9%",2,"14,3%"
Tom Hateley,Piast Gliwice,13,7,"53,8%",1,10,6,"60,0%",0,"0,0%"
Marcin Robak,Śląsk Wrocław,77,38,"49,4%",19,17,5,"29,4%",0,"0,0%"
Jose Kante,Wisła Płock,70,30,"42,9%",9,22,5,"22,7%",0,"0,0%"
Flavio Paixao,Lechia Gdańsk,54,25,"46,3%",10,20,5,"25,0%",0,"0,0%"
Ruben Jurado,Arka Gdynia,38,18,"47,4%",5,13,5,"38,5%",1,"7,7%"
Martin Pospisil,Jagiellonia,45,16,"35,6%",5,22,5,"22,7%",1,"4,5%"
Ivan Jukić,Korona Kielce,37,16,"43,2%",4,18,5,"27,8%",0,"0,0%"
Łukasz Zwoliński,Pogoń Szczecin,40,15,"37,5%",1,14,5,"35,7%",0,"0,0%"
Adam Buksa,Zagłębie/Pogoń,26,15,"57,7%",5,7,5,"71,4%",0,"0,0%"
Semir Stilić,Wisła Płock,32,10,"31,3%",4,17,5,"29,4%",1,"5,9%"
Stojan Vranjes,Piast Gliwice,16,9,"56,3%",1,9,5,"55,6%",0,"0,0%"
Thibault Moulin,Legia Warszawa,22,7,"31,8%",2,16,5,"31,3%",1,"6,3%"
Piotr Wlazło,Jagiellonia,27,6,"22,2%",2,22,5,"22,7%",1,"4,5%"
Wołodymyr Kostewycz,Lech Poznań,18,6,"33,3%",0,16,5,"31,3%",0,"0,0%"
Grzegorz Baran,Sandecja,12,5,"41,7%",0,10,5,"50,0%",0,"0,0%"
Adam Frączczak,Pogoń Szczecin,80,32,"40,0%",14,17,4,"23,5%",2,"11,8%"
Mateusz Szwoch,Legia/Arka,56,19,"33,9%",10,32,4,"12,5%",1,"3,1%"
Przemysław Frankowski,Jagiellonia,42,14,"33,3%",4,17,4,"23,5%",1,"5,9%"
Sławomir Peszko,Lechia Gdańsk,30,14,"46,7%",4,9,4,"44,4%",0,"0,0%"
Jakub Kosecki,Śląsk Wrocław,36,13,"36,1%",4,12,4,"33,3%",0,"0,0%"
Arkadiusz Woźniak,Zagłębie Lubin,32,12,"37,5%",0,15,4,"26,7%",0,"0,0%"
Szymon Matuszek,Górnik Zabrze,24,12,"50,0%",3,10,4,"40,0%",0,"0,0%"
Patryk Kun,Arka Gdynia,34,11,"32,4%",2,12,4,"33,3%",0,"0,0%"
Szymon Pawłowski,Bruk-Bet,36,10,"27,8%",3,16,4,"25,0%",0,"0,0%"
Jakub Piotrowski,Pogoń Szczecin,41,9,"22,0%",3,31,4,"12,9%",0,"0,0%"
Damian Zbozień,Arka Gdynia,19,9,"47,4%",3,8,4,"50,0%",0,"0,0%"
Sergei Zenjov,Cracovia,37,8,"21,6%",3,16,4,"25,0%",0,"0,0%"
Patrik Mraz,Sandecja,18,7,"38,9%",1,10,4,"40,0%",0,"0,0%"
Mateusz Wdowiak,Cracovia,13,7,"53,8%",1,7,4,"57,1%",0,"0,0%"
Deniss Rakels,Lech/Cracovia,22,6,"27,3%",1,8,4,"50,0%",0,"0,0%"
Jarosław Kubicki,Zagłębie Lubin,22,6,"27,3%",1,16,4,"25,0%",0,"0,0%"
Gabriel Iancu,Bruk-Bet,21,6,"28,6%",2,14,4,"28,6%",1,"7,1%"
Tibor Halilović,Wisła Kraków,17,6,"35,3%",1,11,4,"36,4%",0,"0,0%"
Gerard Badia,Piast Gliwice,21,5,"23,8%",2,14,4,"28,6%",1,"7,1%"
Patrik Misak,Bruk-Bet,21,4,"19,0%",0,14,4,"28,6%",0,"0,0%"
Krzysztof Mączyński,Legia Warszawa,16,4,"25,0%",1,13,4,"30,8%",1,"7,7%"
Ariel Borysiuk,Lechia Gdańsk,10,4,"40,0%",0,10,4,"40,0%",0,"0,0%"
Christian Gytkjaer,Lech Poznań,75,38,"50,7%",19,6,3,"50,0%",0,"0,0%"
Jarosław Niezgoda,Legia Warszawa,49,24,"49,0%",13,6,3,"50,0%",1,"16,7%"
Aleksandyr Kolew,Sandecja,70,21,"30,0%",7,20,3,"15,0%",0,"0,0%"
Nico Varela,Wisła Płock,43,18,"41,9%",8,15,3,"20,0%",0,"0,0%"
Mateusz Szczepaniak,Cracovia/Piast,52,16,"30,8%",3,14,3,"21,4%",0,"0,0%"
Maciej Jankowski,Piast Gliwice,44,13,"29,5%",3,10,3,"30,0%",0,"0,0%"
Łukasz Piątek,Bruk-Bet,52,12,"23,1%",6,27,3,"11,1%",0,"0,0%"
Samuel Stefanik,Bruk-Bet,40,12,"30,0%",6,20,3,"15,0%",1,"5,0%"
Roman Gergel,Bruk-Bet,27,12,"44,4%",3,12,3,"25,0%",0,"0,0%"
Karol Angielski,Piast Gliwice,23,10,"43,5%",2,4,3,"75,0%",0,"0,0%"
Mario Situm,Lech Poznań,29,8,"27,6%",2,18,3,"16,7%",1,"5,6%"
