ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1
Carlitos,Wisła Kraków,24,7,31,0,0,12
Igor Angulo,Górnik Zabrze,22,3,25,0,0,8
Krzysztof Piątek,Cracovia,21,4,25,3,0,5
Christian Gytkjaer,Lech Poznań,19,1,20,3,0,4
Jakub Świerczok,Zagłębie Lubin,16,3,19,3,0,3
Marcin Robak,Śląsk Wrocław,19,0,19,0,0,8
Adam Frączczak,Pogoń Szczecin,14,5,19,0,0,2
Marco Paixao,Lechia Gdańsk,16,2,18,0,0,5
Rafał Kurzawa,Górnik Zabrze,2,16,18,0,0,0
Arvydas Novikovas,Jagiellonia,9,8,17,2,1,4
Damian Kądzior,Górnik Zabrze,10,5,15,0,0,3
Jarosław Niezgoda,Legia Warszawa,13,2,15,0,0,8
Kasper Hamalainen,Legia Warszawa,8,6,14,1,2,4
Mateusz Szwoch,Arka Gdynia,10,4,14,0,0,3
Arkadiusz Piech,Śląsk Wrocław,10,3,13,2,1,3
Nika Kaczarawa,Korona Kielce,7,6,13,0,1,2
Flavio Paixao,Lechia Gdańsk,10,3,13,2,0,3
Darko Jevtić,Lech Poznań,5,7,12,2,1,2
Semir Stilić,Wisła Płock,4,8,12,1,1,1
Łukasz Wolsztyński,Górnik Zabrze,4,7,11,0,0,1
Michał Kucharczyk,Legia Warszawa,7,4,11,3,1,1
Robert Pich,Śląsk Wrocław,6,5,11,1,0,3
Goran Cvijanović,Korona Kielce,8,3,11,2,1,4
Jesus Imaz,Wisła Kraków,8,3,11,0,0,3
Michal Papadopulos,Piast Gliwice,9,1,10,4,0,2
Michał Helik,Cracovia,8,2,10,0,0,5
Maciej Makuszewski,Lech Poznań,5,5,10,0,3,1
Aleksandyr Kolew,Sandecja,7,3,10,0,1,3
Nico Varela,Wisła Płock,8,2,10,0,0,5
Giorgi Merebaszwili,Wisła Płock,5,5,10,0,1,0
Jose Kante,Wisła Płock,9,1,10,1,0,4
Dominik Furman,Wisła Płock,2,7,9,0,0,1
Filip Starzyński,Zagłębie Lubin,6,3,9,1,0,3
Maciej Gajos,Lech Poznań,4,5,9,0,0,2
Łukasz Piątek,Bruk-Bet,6,3,9,0,0,4
Fedor Cernych,Jagiellonia,3,6,9,0,1,2
Taras Romanczuk,Jagiellonia,5,4,9,0,0,3
Sławomir Peszko,Lechia Gdańsk,4,5,9,0,1,0
Kamil Drygas,Pogoń Szczecin,5,4,9,0,0,4
Przemysław Frankowski,Jagiellonia,4,5,9,0,0,2
Szymon Żurkowski,Górnik Zabrze,2,6,8,0,0,0
Jakub Kosecki,Śląsk Wrocław,4,4,8,0,0,0
Arkadiusz Reca,Wisła Płock,3,5,8,1,0,1
Sasa Zivec,Piast Gliwice,6,2,8,0,0,1
Jacek Kiełb,Korona Kielce,6,2,8,1,0,2
Samuel Stefanik,Bruk-Bet,6,2,8,1,1,2
Javi Hernandez,Cracovia,5,3,8,0,0,1
Filip Piszczek,Sandecja,6,2,8,1,0,1
Cillian Sheridan,Jagiellonia,6,1,7,1,1,3
Adrian Danek,Sandecja,3,4,7,2,3,1
Wojciech Trochim,Sandecja,6,1,7,3,0,3
