KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/PRZECIW
Arka,"13,46","4,62","5,65","3,19","23,69%","3,80","34,34%","9,04%"
Bruk-Bet,"13,16","4,84","5,62","2,70","20,53%","2,75","36,76%","13,35%"
Cracovia,"14,05","4,49","5,92","3,65","25,96%","3,25","31,92%","9,81%"
Górnik,"13,54","4,54","5,78","3,22","23,75%","3,23","33,53%","10,38%"
Jagiellonia,"10,95","3,54","5,03","2,38","21,73%","3,45","32,35%","9,38%"
Korona,"11,05","4,08","4,14","2,84","25,67%","2,96","36,92%","12,47%"
Lech,"9,38","3,19","3,97","2,22","23,63%","3,93","34,01%","8,65%"
Lechia,"11,73","4,54","4,57","2,62","22,35%","2,95","38,71%","13,13%"
Legia,"11,54","4,11","4,76","2,68","23,19%","4,47","35,60%","7,96%"
Piast,"12,11","4,11","5,41","2,59","21,43%","3,38","33,93%","10,04%"
Pogoń,"10,35","3,78","4,24","2,32","22,45%","2,75","36,55%","13,32%"
Sandecja,"14,22","4,97","6,11","3,14","22,05%","3,54","34,98%","9,89%"
Śląsk,"13,49","4,92","6,30","2,27","16,83%","3,37","36,47%","10,82%"
Wisła K,"14,19","4,51","6,00","3,68","25,90%","4,18","31,81%","7,62%"
Wisła P,"10,84","3,65","4,73","2,46","22,69%","3,00","33,67%","11,22%"
Zagłębie,"12,32","4,27","5,51","2,54","20,61%","3,76","34,65%","9,21%"
