KLUB\GODZ.,15:30 Z,15:30 R,15:30 P,18:00 Z,18:00 R,18:00 P,20:30 Z,20:30 R,20:30 P
Arka Gdynia,3,2,7,4,6,7,4,2,2
Bruk-Bet,5,1,10,1,8,7,3,0,2
Cracovia,6,1,2,7,6,7,0,4,4
Górnik Zabrze,3,4,1,6,4,7,7,4,1
Jagiellonia,4,0,4,12,3,4,4,4,2
Korona Kielce,3,0,1,6,10,7,3,3,4
Lech Poznań,4,1,1,8,7,3,4,4,5
Lechia Gdańsk,1,2,2,5,6,9,3,5,4
Legia Warszawa,1,0,0,16,1,4,5,3,7
Piast Gliwice,4,6,7,4,6,6,0,1,3
Pogoń Szczecin,6,4,3,6,5,10,0,0,3
Sandecja,5,4,8,1,9,6,0,2,2
Śląsk Wrocław,1,5,2,7,5,5,5,1,6
Wisła Kraków,1,1,1,3,5,8,11,4,3
Wisła Płock,8,2,5,7,2,7,2,2,2
Zagłębie Lubin,4,1,5,7,11,3,2,1,3
