KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,expG gosp,expG gość,expG/s1,expG/s2
1,Wisła P,Lechia,8,19,2,6,0,2,"0,52","2,25","0,064","0,119"
1,Pogoń,Wisła K,9,9,4,4,1,2,"1,45","0,84","0,161","0,094"
1,Cracovia,Piast,13,21,1,3,1,1,"1,52","1,91","0,117","0,091"
1,Górnik,Legia,17,13,7,6,3,1,"0,85","0,91","0,050","0,070"
1,Arka,Śląsk,11,13,6,3,2,0,"1,30","0,77","0,119","0,059"
1,Bruk-Bet,Jagiellonia,9,11,1,2,0,1,"0,80","1,29","0,088","0,117"
1,Lech,Sandecja,14,9,7,3,0,0,"0,95","0,56","0,068","0,062"
1,Korona,Zagłębie,22,14,6,6,0,1,"1,24","2,03","0,056","0,145"
2,Sandecja,Arka,7,11,3,5,0,0,"0,29","0,55","0,042","0,050"
2,Wisła K,Bruk-Bet,14,17,3,2,1,0,"0,84","0,52","0,060","0,031"
2,Piast,Pogoń,13,12,2,6,1,2,"0,86","0,77","0,066","0,064"
2,Lechia,Cracovia,17,11,4,3,0,1,"1,61","1,62","0,095","0,147"
2,Legia,Korona,13,18,5,5,1,1,"1,53","1,20","0,118","0,066"
2,Wisła P,Lech,7,4,4,0,1,0,"0,48","0,36","0,069","0,090"
2,Jagiellonia,Górnik,17,12,8,6,2,1,"2,73","1,07","0,161","0,089"
2,Zagłębie,Śląsk,8,8,1,2,1,0,"0,54","0,72","0,067","0,089"
3,Bruk-Bet,Zagłębie,8,6,3,2,1,1,"0,56","0,63","0,070","0,105"
3,Śląsk,Lechia,20,9,7,3,3,2,"1,83","1,62","0,091","0,180"
3,Legia,Sandecja,27,3,8,1,2,0,"1,37","0,13","0,051","0,044"
3,Górnik,Wisła K,15,17,4,4,2,2,"1,03","2,37","0,068","0,139"
3,Arka,Wisła P,13,7,2,1,1,1,"0,99","0,36","0,076","0,052"
3,Pogoń,Jagiellonia,9,7,3,2,0,1,"0,70","0,45","0,077","0,065"
3,Lech,Piast,23,13,13,4,5,1,"2,53","1,09","0,110","0,084"
3,Korona,Cracovia,17,12,7,3,4,2,"1,65","1,33","0,097","0,111"
4,Piast,Śląsk,22,7,7,1,1,1,"2,10","0,43","0,095","0,062"
4,Wisła P,Wisła K,13,9,3,4,0,1,"0,59","0,74","0,045","0,082"
4,Lechia,Górnik,7,12,2,3,1,1,"1,05","1,51","0,151","0,126"
4,Zagłębie,Pogoń,18,13,12,4,3,0,"1,53","1,09","0,085","0,084"
4,Bruk-Bet,Legia,11,8,4,2,1,0,"2,58","0,79","0,235","0,098"
4,Jagiellonia,Sandecja,15,10,4,4,1,3,"1,71","2,01","0,114","0,201"
4,Cracovia,Lech,11,12,1,5,0,2,"1,12","0,73","0,102","0,061"
4,Arka,Korona,12,18,2,6,0,0,"0,68","1,13","0,057","0,063"
5,Legia,Piast,12,9,6,3,3,1,"0,91","1,13","0,076","0,125"
5,Sandecja,Wisła P,13,12,2,4,0,1,"0,82","0,95","0,063","0,080"
5,Lech,Zagłębie,12,8,4,3,1,1,"0,54","0,75","0,045","0,093"
5,Wisła K,Cracovia,13,14,4,5,2,1,"1,32","0,78","0,102","0,056"
5,Górnik,Arka,15,14,5,4,1,1,"1,05","1,04","0,070","0,075"
5,Korona,Jagiellonia,14,9,5,4,2,2,"2,61","1,16","0,186","0,129"
5,Pogoń,Lechia,9,9,3,2,0,0,"0,53","0,48","0,059","0,053"
5,Śląsk,Bruk-Bet,9,15,7,6,1,1,"1,50","1,84","0,167","0,123"
6,Lechia,Sandecja,20,12,5,4,2,3,"1,80","2,40","0,090","0,200"
6,Cracovia,Górnik,18,19,7,11,3,3,"2,41","2,45","0,134","0,129"
6,Arka,Pogoń,9,10,3,3,0,2,"0,99","2,02","0,110","0,202"
6,Piast,Korona,11,15,6,3,2,0,"0,81","1,44","0,073","0,096"
6,Jagiellonia,Śląsk,11,8,4,2,1,1,"0,77","0,61","0,070","0,077"
6,Wisła P,Legia,11,10,2,5,0,1,"0,49","0,52","0,045","0,052"
6,Bruk-Bet,Lech,7,14,0,4,0,2,"0,43","1,08","0,061","0,077"
6,Zagłębie,Wisła K,13,16,6,5,3,0,"1,05","0,87","0,080","0,054"
7,Górnik,Wisła P,16,13,6,7,4,0,"1,17","0,50","0,073","0,038"
7,Śląsk,Cracovia,17,11,8,4,2,1,"1,80","0,49","0,106","0,044"
7,Korona,Bruk-Bet,15,11,6,2,2,0,"1,39","0,84","0,093","0,077"
7,Jagiellonia,Piast,21,13,5,6,0,0,"2,37","0,85","0,113","0,065"
7,Wisła K,Lechia,12,8,6,5,1,1,"0,74","0,61","0,062","0,076"
7,Lech,Arka,8,14,6,3,3,0,"0,57","0,56","0,071","0,040"
7,Sandecja,Pogoń,11,9,4,4,2,1,"1,69","0,35","0,154","0,039"
7,Legia,Zagłębie,11,15,4,5,2,1,"0,92","1,41","0,083","0,094"
8,Zagłębie,Wisła P,16,16,3,4,2,2,"2,09","1,80","0,130","0,112"
8,Arka,Wisła K,16,12,6,7,3,1,"1,56","1,00","0,098","0,084"
8,Korona,Sandecja,22,5,7,1,1,0,"2,32","0,50","0,106","0,100"
8,Śląsk,Legia,16,8,4,2,2,1,"1,97","1,10","0,123","0,137"
8,Cracovia,Jagiellonia,7,16,3,3,1,1,"0,87","1,63","0,125","0,102"
8,Bruk-Bet,Górnik,12,19,2,8,1,2,"0,92","2,00","0,077","0,105"
8,Pogoń,Lech,11,3,4,1,0,0,"0,51","0,23","0,046","0,077"
8,Piast,Lechia,11,7,5,5,1,2,"0,68","0,71","0,061","0,101"
9,Arka,Zagłębie,9,13,3,4,1,1,"0,33","0,68","0,037","0,053"
9,Lech,Korona,10,14,2,5,1,0,"0,62","1,22","0,062","0,087"
9,Wisła P,Pogoń,12,6,5,1,3,1,"0,96","0,71","0,080","0,118"
9,Górnik,Śląsk,20,10,9,3,2,2,"1,95","1,31","0,097","0,131"
9,Wisła K,Piast,12,12,6,4,2,0,"1,46","0,32","0,122","0,027"
9,Sandecja,Bruk-Bet,14,10,7,3,1,0,"1,38","1,08","0,099","0,108"
9,Legia,Cracovia,20,16,6,4,1,0,"1,32","0,86","0,066","0,054"
9,Lechia,Jagiellonia,11,9,5,4,3,2,"2,37","0,82","0,215","0,091"
10,Piast,Arka,11,15,2,3,0,1,"0,68","0,48","0,062","0,032"
10,Śląsk,Lech,17,5,7,1,2,0,"1,68","0,21","0,099","0,043"
10,Bruk-Bet,Lechia,10,8,4,6,2,1,"2,28","0,66","0,228","0,083"
10,Pogoń,Górnik,20,12,8,3,1,2,"1,75","0,63","0,088","0,052"
10,Korona,Wisła K,16,5,5,1,2,1,"0,99","0,26","0,062","0,052"
