KLUB,DLA EXPG,G DLA,PRZECIW EXPG,G PRZECIW
Arka,"38,96",45,"42,87",45
Bruk-Bet,"41,03",36,"48,49",65
Cracovia,"47,24",49,"43,51",51
Górnik,"45,56",63,"44,57",52
Jagiellonia,"52,75",53,"37,65",38
Korona,"45,36",47,"41,76",51
Lech,"42,35",52,"29,59",30
Lechia,"38,48",44,"48,87",57
Legia,"42,50",52,"39,76",34
Piast,"34,31",39,"41,41",45
Pogoń,"44,39",44,"35,50",51
Sandecja,"32,49",31,"46,56",52
Śląsk,"42,56",50,"51,44",54
Wisła K,"41,15",51,"42,53",40
Wisła P,"45,34",51,"39,84",45
Zagłębie,"40,14",45,"40,24",42
RAZEM,"674,61",752,"674,61",752
