KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Arka Gdynia,"2,19",81,2,2,58,2,3,7,6,5,2,0,0,0,0,0,0
Bruk-Bet,"1,73",64,1,1,49,1,3,2,8,1,0,0,1,0,0,0,0
Cracovia,"2,76",102,1,5,82,0,1,3,9,3,1,0,3,0,0,0,1
Górnik Zabrze,"2,46",91,2,7,67,1,4,5,9,4,1,1,0,0,0,0,1
Jagiellonia,"2,08",77,1,5,60,1,2,4,7,4,0,0,0,0,0,0,0
Korona Kielce,"2,35",87,0,2,74,0,2,1,4,4,1,0,1,0,0,0,0
Lech Poznań,"2,49",92,1,1,80,1,0,5,5,2,0,0,0,0,0,0,0
Lechia Gdańsk,"2,51",93,0,3,74,0,0,7,10,2,0,0,0,0,0,0,0
Legia Warszawa,"2,11",78,3,3,63,3,0,3,8,4,0,0,0,0,0,0,0
Piast Gliwice,"1,68",62,2,4,47,2,1,3,9,1,0,1,0,0,0,0,0
Pogoń Szczecin,"2,14",79,0,3,61,0,5,4,6,1,0,1,1,0,0,0,0
Sandecja,"1,89",70,0,3,59,0,2,5,2,2,0,0,0,0,0,0,0
Śląsk Wrocław,"2,24",83,2,4,67,1,1,3,8,3,1,0,0,0,0,0,1
Wisła Kraków,"2,27",84,1,4,66,1,0,6,10,1,0,0,1,0,0,0,0
Wisła Płock,"2,24",83,2,5,68,2,1,6,5,2,1,0,0,0,0,0,0
Zagłębie Lubin,"1,92",71,0,3,59,0,0,2,4,4,2,0,0,0,0,0,0
