KLUB,ŻK/mecz,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,RAZEM,,1297,18,55,1034,15,25,66,110,43,9,3,7,0,0,0,3
Arka Gdynia,"2,38",88,1,3,72,1,1,7,5,2,0,0,1,0,0,0,0
Bruk-Bet,"2,05",76,2,3,63,0,1,2,6,4,0,0,0,0,0,0,2
Cracovia,"2,11",78,0,1,58,0,1,4,11,2,1,1,0,0,0,0,0
Górnik Zabrze,"2,05",76,0,5,60,0,3,2,5,4,1,0,1,0,0,0,0
Jagiellonia,"2,11",78,0,1,61,0,2,4,8,1,2,0,0,0,0,0,0
Korona Kielce,"2,16",80,1,4,65,1,1,4,6,3,0,0,1,0,0,0,0
Lech Poznań,"1,97",73,2,4,56,2,0,11,3,3,0,0,0,0,0,0,0
Lechia Gdańsk,"2,24",83,2,4,63,2,2,5,9,1,0,1,2,0,0,0,0
Legia Warszawa,"1,95",72,1,7,58,1,1,4,7,1,1,0,0,0,0,0,0
Piast Gliwice,"1,81",67,2,2,58,1,1,2,5,0,1,0,0,0,0,0,1
Pogoń Szczecin,"2,49",92,2,3,76,2,1,3,8,3,1,0,0,0,0,0,0
Sandecja,"2,46",91,1,5,70,1,2,5,10,1,2,1,0,0,0,0,0
Śląsk Wrocław,"2,27",84,2,3,68,2,1,3,7,4,0,0,1,0,0,0,0
Wisła Kraków,"2,54",94,1,3,73,1,3,6,7,4,0,0,1,0,0,0,0
Wisła Płock,"2,41",89,0,4,71,0,3,2,6,7,0,0,0,0,0,0,0
Zagłębie Lubin,"2,05",76,1,3,62,1,2,2,7,3,0,0,0,0,0,0,0
