ZAWODNIK,KLUB,POZYCJA,MIN,MECZE,OSTATNI GOL,PRZECIW
Jakub Żubrowski,Korona Kielce,pomocnik,5909,70,19.03.2017,Cracovia
Janusz Gol,Cracovia,pomocnik,4414,59,26.02.2012,Śląsk
Damian Rasak,Wisła Płock,pomocnik,3598,55,-,-
Marko Vesović,Legia Warszawa,pomocnik,3209,36,04.03.2018,Lech
Oliver Petrak,Korona Kielce,pomocnik,3002,42,-,-
Łukasz Kosakiewicz,Korona Kielce,pomocnik,2952,51,22.07.2017,Legia
Maciej Ambrosiewicz,Górnik Zabrze,pomocnik,2800,44,-,-
Tomasz Nowak,Zagłębie Sosnowiec,pomocnik,2657,36,26.09.2015,Podbeskidzie
Taras Romanczuk,Jagiellonia Białystok,pomocnik,2376,27,26.08.2018,Miedź
Maciej Makuszewski,Lech Poznań,pomocnik,2299,36,26.11.2017,Wisła P.
Borja Fernandez,Miedź Legnica,pomocnik,2245,30,-,-
Bartłomiej Babiarz,Zagłębie Sosnowiec,pomocnik,2235,31,20.11.2016,Arka
Łukasz Trałka,Lech Poznań,pomocnik,2219,26,22.07.2018,Wisła P.
Damian Dąbrowski,Cracovia,pomocnik,2185,32,08.05.2017,Arka
Tomas Podstawski,Pogoń Szczecin,pomocnik,2088,23,27.10.2018,Lech
Bartosz Slisz,Zagłębie Lubin,pomocnik,2027,27,-,-
Mihai Radut,Lech Poznań,pomocnik,1994,35,07.05.2017,Bruk-Bet
Domagoj Antolić,Legia Warszawa,pomocnik,1854,25,20.05.2018,Lech
Szymon Matuszek,Górnik Zabrze,pomocnik,1780,29,20.05.2018,Wisła K.
Marcin Budziński,Cracovia,pomocnik,1720,23,13.03.2017,Zagłębie
Sebastian Milewski,Zagłębie Sosnowiec,pomocnik,1623,23,-,-
Tomasz Makowski,Lechia Gdańsk,pomocnik,1604,22,-,-
Mateusz Wdowiak,Cracovia,pomocnik,1548,19,02.12.2018,Lech
Krzysztof Mączyński,Śląsk Wrocław,pomocnik,1492,18,28.07.2018,Korona
Martin Kostal,Jagiellonia Białystok,pomocnik,1394,23,21.10.2018,Legia
Jakub Tosik,Zagłębie Lubin,pomocnik,1376,22,13.05.2018,Jagiellonia
Nico Varela,Wisła Płock,pomocnik,1341,19,26.08.2018,Legia
Damian Gąska,Śląsk Wrocław,pomocnik,1330,29,-,-
Tom Hateley,Piast Gliwice,pomocnik,1329,15,21.12.2018,Jagiellonia
Rafał Augustyniak,Miedź Legnica,pomocnik,1294,16,15.09.2018,Wisła P.
Szymon Pawłowski,Zagłębie Sosnowiec,pomocnik,1265,14,16.02.2019,Arka
Cafu,Legia Warszawa,pomocnik,1260,15,01.12.2018,Korona
Walerian Gwilia,Górnik Zabrze,pomocnik,1224,14,23.02.2019,Zagłębie S.
Michał Nalepa,Arka Gdynia,pomocnik,1187,14,15.12.2018,Górnik Z.
Pedro Tiba,Lech Poznań,pomocnik,1160,13,21.12.2018,Wisła K.
Szymon Żurkowski,Górnik Zabrze,pomocnik,1145,12,02.03.2019,Jagiellonia
Marko Poletanović,Jagiellonia Białystok,pomocnik,1122,17,08.12.2018,Wisła K.
Bartosz Kwiecień,Jagiellonia Białystok,pomocnik,1094,21,14.09.2018,Cracovia
Aleksandyr Kolew,Arka Gdynia,napastnik,1092,13,18.08.2018,Wisła P.
Aleksander Jagiełło,Piast Gliwice,pomocnik,1075,31,01.12.2013,Legia
