KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,65,71,69,12,72,61,74,20,444,217,227
Arka Gdynia,2,3,2,0,4,6,7,3,27,7,20
Cracovia,2,2,3,0,7,4,4,1,23,7,16
Górnik Zabrze,4,3,7,0,5,2,2,0,23,14,9
Jagiellonia,3,5,3,0,7,5,5,2,30,11,19
Korona Kielce,4,4,5,0,3,1,3,1,21,13,8
Lech Poznań,4,5,4,2,4,4,3,2,28,15,13
Lechia Gdańsk,8,4,6,1,4,6,4,0,33,19,14
Legia Warszawa,3,5,7,1,4,3,7,1,31,16,15
Miedź Legnica,7,3,5,2,0,2,2,1,22,17,5
Piast Gliwice,5,10,2,1,4,8,4,1,35,18,17
Pogoń Szczecin,3,5,3,1,4,7,7,0,30,12,18
Śląsk Wrocław,6,3,2,1,3,3,4,0,22,12,10
Wisła Kraków,3,7,9,2,6,3,6,2,38,21,17
Wisła Płock,0,3,3,0,4,4,1,4,19,6,13
Zagłębie Lubin,6,5,3,1,2,1,10,0,28,15,13
Zagłębie Sosnowiec,5,4,5,0,11,2,5,2,34,14,20
