KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,101,121,121,21,136,134,148,41,823,364,459
Arka Gdynia,2,10,9,4,7,11,7,1,51,25,26
Cracovia,5,9,8,1,6,6,6,2,43,23,20
Górnik Zabrze,5,12,7,0,14,7,8,0,53,24,29
Jagiellonia,6,9,11,1,6,7,9,3,52,27,25
Korona Kielce,4,12,5,1,9,7,12,4,54,22,32
Lech Poznań,5,6,6,2,9,10,9,1,48,19,29
Lechia Gdańsk,0,5,5,1,7,9,7,4,38,11,27
Legia Warszawa,11,4,7,0,7,4,5,0,38,22,16
Miedź Legnica,7,9,9,1,11,12,12,4,65,26,39
Piast Gliwice,2,4,10,1,4,3,6,3,33,17,16
Pogoń Szczecin,9,5,3,1,9,13,11,3,54,18,36
Śląsk Wrocław,4,6,5,1,8,9,11,1,45,16,29
Wisła Kraków,13,9,7,0,11,13,8,2,63,29,34
Wisła Płock,8,5,9,3,7,9,13,4,58,25,33
Zagłębie Lubin,6,8,8,0,8,6,9,3,48,22,26
Zagłębie Sosnowiec,14,8,12,4,13,8,15,6,80,38,42
