KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,36,50,52,9,64,73,74,21,379,147,232
Arka Gdynia,1,6,5,3,3,4,3,1,26,15,11
Cracovia,0,4,4,1,2,3,1,0,15,9,6
Górnik Zabrze,1,3,4,0,9,3,5,0,25,8,17
Jagiellonia,3,4,5,0,4,4,8,2,30,12,18
Korona Kielce,2,5,2,0,3,3,9,1,25,9,16
Lech Poznań,0,3,1,1,2,7,6,1,21,5,16
Lechia Gdańsk,0,2,3,0,3,3,2,3,16,5,11
Legia Warszawa,6,1,4,0,5,2,1,0,19,11,8
Miedź Legnica,4,6,3,1,5,7,7,2,35,14,21
Piast Gliwice,0,2,2,0,0,2,3,1,10,4,6
Pogoń Szczecin,3,1,1,1,3,8,4,1,22,6,16
Śląsk Wrocław,1,3,2,0,3,3,5,0,17,6,11
Wisła Kraków,2,2,4,0,4,11,3,2,28,8,20
Wisła Płock,2,1,3,1,6,5,4,3,25,7,18
Zagłębie Lubin,2,3,4,0,4,5,4,1,23,9,14
Zagłębie Sosnowiec,9,4,5,1,8,3,9,3,42,19,23
