KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,65,71,69,12,72,61,74,20,444,217,227
Arka Gdynia,1,4,4,1,4,7,4,0,25,10,15
Cracovia,5,5,4,0,4,3,5,2,28,14,14
Górnik Zabrze,4,9,3,0,5,4,3,0,28,16,12
Jagiellonia,3,5,6,1,2,3,1,1,22,15,7
Korona Kielce,2,7,3,1,6,4,3,3,29,13,16
Lech Poznań,5,3,5,1,7,3,3,0,27,14,13
Lechia Gdańsk,0,3,2,1,4,6,5,1,22,6,16
Legia Warszawa,5,3,3,0,2,2,4,0,19,11,8
Miedź Legnica,3,3,6,0,6,5,5,2,30,12,18
Piast Gliwice,2,2,8,1,4,1,3,2,23,13,10
Pogoń Szczecin,6,4,2,0,6,5,7,2,32,12,20
Śląsk Wrocław,3,3,3,1,5,6,6,1,28,10,18
Wisła Kraków,11,7,3,0,7,2,5,0,35,21,14
Wisła Płock,6,4,6,2,1,4,9,1,33,18,15
Zagłębie Lubin,4,5,4,0,4,1,5,2,25,13,12
Zagłębie Sosnowiec,5,4,7,3,5,5,6,3,38,19,19
