ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Żarko Udovicić,Zagłębie Sosnowiec,13,20,"61,5%"
Sebastian Szymański,Legia Warszawa,7,17,"14,3%"
Filip Mladenović,Lechia Gdańsk,1,17,"0,0%"
Michał Janota,Arka Gdynia,4,16,"75,0%"
Dominik Furman,Wisła Płock,2,16,"0,0%"
Szymon Pawłowski,Zagłębie Sosnowiec,6,14,"16,7%"
Filip Starzyński,Zagłębie Lubin,4,14,"50,0%"
Łukasz Kosakiewicz,Korona Kielce,3,14,"0,0%"
Jesus Jimenez,Górnik Zabrze,16,13,"25,0%"
Damjan Bohar,Zagłębie Lubin,15,13,"60,0%"
Guilherme Sitya,Jagiellonia,0,12,-
Bartłomiej Pawłowski,Zagłębie Lubin,21,11,"19,0%"
Arvyas Novikovas,Jagiellonia,12,11,"16,7%"
Robert Pich,Śląsk Wrocław,8,11,"37,5%"
Lukas Haraslin,Lechia Gdańsk,5,11,"60,0%"
Martin Konczkowski,Piast Gliwice,1,11,"0,0%"
Igor Angulo,Górnik Zabrze,35,10,"31,4%"
Carlitos,Legia Warszawa,18,10,"38,9%"
Matej Pućko,Korona Kielce,8,10,"37,5%"
Kamil Zapolnik,Górnik Zabrze,5,10,"40,0%"
Walerian Gwilia,Górnik Zabrze,3,10,"33,3%"
Darko Jevtić,Lech Poznań,2,10,"100,0%"
Damian Dąbrowski,Cracovia,1,10,"0,0%"
Flavio Paixao,Lechia Gdańsk,25,9,"24,0%"
Mateusz Wdowiak,Cracovia,15,9,"13,3%"
Michał Kucharczyk,Legia Warszawa,11,9,"18,2%"
Petteri Forsell,Miedź Legnica,5,9,"60,0%"
Michał Chrapek,Śląsk Wrocław,4,9,"50,0%"
Pedro Tiba,Lech Poznań,4,9,"25,0%"
Patryk Tuszyński,Zagłębie Lubin,25,8,"36,0%"
Airam Cabrera,Cracovia,13,8,"46,2%"
Luka Zarandia,Arka Gdynia,11,8,"45,5%"
Dominik Nagy,Legia Warszawa,9,8,"44,4%"
Rafał Boguski,Wisła Kraków,6,8,"33,3%"
Zvonimir Kozulj,Pogoń Szczecin,2,8,"50,0%"
Filip Jagiełło,Zagłębie Lubin,2,8,"50,0%"
Szymon Żurkowski,Górnik Zabrze,1,8,"0,0%"
Martin Pospisil,Jagiellonia,0,8,-
Marcin Robak,Śląsk Wrocław,23,7,"47,8%"
Jesus Imaz,Wisła K/Jagiellonia,20,7,"40,0%"
Maciej Jankowski,Arka Gdynia,20,7,"35,0%"
Christian Gytkjaer,Lech Poznań,17,7,"29,4%"
Konrad Wrzesiński,Zagłębie Sosnowiec,10,7,"20,0%"
Jorge Felix,Piast Gliwice,9,7,"44,4%"
Radosław Majewski,Pogoń Szczecin,8,7,"12,5%"
Kamil Drygas,Pogoń Szczecin,7,7,"42,9%"
Kamil Jóźwiak,Lech Poznań,7,7,"14,3%"
Marcin Cebula,Korona Kielce,5,7,"40,0%"
Tomasz Jodłowiec,Piast Gliwice,4,7,"50,0%"
Patryk Lipski,Lechia Gdańsk,3,7,"0,0%"
Nico Varela,Wisła Płock,2,7,"0,0%"
Tom Hateley,Piast Gliwice,2,7,"100,0%"
Jakub Błaszczykowski,Wisła Kraków,2,7,"100,0%"
Konrad Michalak,Legia/Lechia,1,7,"0,0%"
Ricardo Nunes,Pogoń Szczecin,0,7,-
Marko Poletanović,Jagiellonia,0,7,-
Joel Valencia,Piast Gliwice,15,6,"33,3%"
Javi Hernandez,Cracovia,13,6,"46,2%"
Giorgi Merebaszwili,Wisła Płock,6,6,"66,7%"
Martin Kostal,Wisła K/Jagiellonia,5,6,"20,0%"
Gerard Badia,Piast Gliwice,3,6,"33,3%"
Adam Hlousek,Legia Warszawa,2,6,"100,0%"
Wołodymyr Kostewycz,Lech Poznań,2,6,"50,0%"
Sasa Balić,Zagłębie Lubin,2,6,"50,0%"
Damian Gąska,Śląsk Wrocław,0,6,-
Bartosz Rymaniak,Korona Kielce,0,6,-
Piotr Parzyszek,Piast Gliwice,16,5,"37,5%"
Marko Kolar,Wisła Kraków,13,5,"53,8%"
Vamara Sanogo,Zagłębie Sosnowiec,12,5,"50,0%"
Ricadinho,Wisła Płock,11,5,"54,5%"
Krzysztof Drzazga,Wisła Kraków,9,5,"33,3%"
Damian Szymański,Wisła Płock,6,5,"33,3%"
Mateusz Mak,Piast Gliwice,5,5,"0,0%"
Henrik Ojamaa,Miedź Legnica,5,5,"20,0%"
Damian Zbozień,Arka Gdynia,2,5,"100,0%"
Andre Martins,Legia Warszawa,2,5,"50,0%"
Marko Vesović,Legia Warszawa,2,5,"0,0%"
Vukan Savicević,Wisła Kraków,2,5,"50,0%"
Michał Nalepa I,Arka Gdynia,1,5,"0,0%"
Janusz Gol,Cracovia,1,5,"0,0%"
Krzysztof Mączyński,Śląsk Wrocław,0,5,-
Elia Soriano,Korona Kielce,24,4,"33,3%"
Joao Amaral,Lech Poznań,11,4,"36,4%"
Mateusz Cholewiak,Śląsk Wrocław,11,4,"36,4%"
Cafu,Legia Warszawa,8,4,"25,0%"
Michal Papadopulos,Piast Gliwice,7,4,"42,9%"
Łukasz Burliga,Jagiellonia/Wisła K,6,4,"50,0%"
Ivan Jukić,Korona Kielce,5,4,"40,0%"
Fabian Piasecki,Miedź Legnica,5,4,"0,0%"
Alan Uryga,Wisła Płock,5,4,"20,0%"
MIchal Siplak,Cracovia,5,4,"20,0%"
Farshad Ahmadzadeh,Śląsk Wrocław,4,4,"25,0%"
Łukasz Wolsztyński,Górnik Zabrze,4,4,"25,0%"
Michał Helik,Cracovia,3,4,"0,0%"
Cornel Rapa,Cracovia,3,4,"0,0%"
Paweł Zieliński,Miedź Legnica,3,4,"66,7%"
Adnan Kovacević,Korona Kielce,3,4,"0,0%"
Lubambo Musonda,Śląsk Wrocław,3,4,"0,0%"
Artur Jędrzejczyk,Legia Warszawa,2,4,"50,0%"
Dawid Kort,Wisła Kraków,2,4,"50,0%"
Kamil Wojtkowski,Wisła Kraków,2,4,"50,0%"
Artur Pikk,Miedź Legnica,2,4,"50,0%"
Wato Arweladze,Korona Kielce,2,4,"50,0%"
David Stec,Pogoń Szczecin,1,4,"0,0%"
Adrian Gryszkiewicz,Górnik Zabrze,0,4,-
Mikkel Kirkeskov,Piast Gliwice,0,4,-
Mateusz Machaj,Jagiellonia,0,4,-
Jakub Żubrowski,Korona Kielce,0,4,-
Łukasz Broź,Śląsk Wrocław,0,4,-
Rafał Pietrzak,Wisła Kraków,0,4,-
Arkadiusz Piech,Śląsk Wrocław,12,3,"8,3%"
Michał Nalepa,Lechia Gdańsk,8,3,"25,0%"
Filip Piszczek,Cracovia,7,3,"57,1%"
Karol Świderski,Jagiellonia,7,3,"71,4%"
Michał Mak,Lechia Gdańsk,6,3,"33,3%"
Taras Romanczuk,Jagiellonia,6,3,"16,7%"
Jakub Arak,Lechia Gdańsk,5,3,"0,0%"
Sławomir Peszko,Wisła Kraków,5,3,"40,0%"
Jakub Czerwiński,Piast Gliwice,4,3,"75,0%"
Tymoteusz Klupś,Lech Poznań,4,3,"25,0%"
Piotr Celeban,Śląsk Wrocław,3,3,"66,7%"
Goran Cvijanović,Arka Gdynia,3,3,"0,0%"
Mateusz Możdżeń,Korona/Zagłębie S,3,3,"33,3%"
Igor Łasicki,Wisła Płock,3,3,"0,0%"
Milan Dimun,Cracovia,2,3,"0,0%"
Sebastian Kowalczyk,Pogoń Szczecin,2,3,"50,0%"
Niko Datković,Cracovia,2,3,"50,0%"
Bartosz Kopacz,Zagłębie Lubin,2,3,"50,0%"
Sergiu Hanca,Cracovia,2,3,"0,0%"
Domagoj Antolić,Legia Warszawa,1,3,"0,0%"
Jakub Bartkowski,Wisła K/Pogoń,1,3,"0,0%"
Jose Kante,Legia Warszawa,1,3,"100,0%"
Maciej Makuszewski,Lech Poznań,1,3,"0,0%"
Maciej Pałaszewski,Śląsk Wrocław,1,3,"0,0%"
Adam Deja,Arka Gdynia,1,3,"100,0%"
Tomasz Nowak,Zagłębie Sosnowiec,0,3,-
Omar Santana,Miedź Legnica,0,3,-
Augusto,Śląsk Wrocław,0,3,-
Sebastian Milewski,Zagłębie Sosnowiec,0,3,-
Daniel Łukasik,Lechia Gdańsk,0,3,-
Juan Camara,Miedź Legnica,0,3,-
Artur Sobiech,Lechia Gdańsk,16,2,"37,5%"
Zdenek Ondrasek,Wisła Kraków,10,2,"70,0%"
Cillian Sheridan,Jagiellonia,8,2,"25,0%"
Sandro Kulenović,Legia Warszawa,7,2,"57,1%"
Jakub Mares,Zagłębie Lubin,5,2,"40,0%"
Ivan Runje,Jagiellonia,5,2,"60,0%"
Nabil Aankour,Arka Gdynia,4,2,"25,0%"
Sergei Zenjov,Cracovia,4,2,"0,0%"
Błażej Augustyn,Lechia Gdańsk,3,2,"0,0%"
Zlatko Janjić,Korona Kielce,3,2,"33,3%"
Piotr Malarczyk,Korona Kielce,3,2,"0,0%"
Marcin Wasilewski,Wisła Kraków,3,2,"0,0%"
Iker Guarrotxena,Pogoń Szczecin,3,2,"66,7%"
Joan Roman,Miedź Legnica,3,2,"0,0%"
Boris Sekulić,Górnik Zabrze,3,2,"66,7%"
Maciej Gajos,Lech Poznań,2,2,"50,0%"
Michael Gardawski,Korona Kielce,2,2,"50,0%"
Sebastian Strózik,Cracovia,2,2,"50,0%"
Mateusz Wieteska,Legia Warszawa,2,2,"0,0%"
Patrik Mraz,Zagłębie Sosnowiec,2,2,"50,0%"
Robert Gumny,Lech Poznań,2,2,"0,0%"
Igors Tarasovs,Śląsk Wrocław,2,2,"0,0%"
Marcin Budziński,Cracovia,1,2,"0,0%"
Karol Fila,Lechia Gdańsk,1,2,"100,0%"
Patryk Małecki,Wisła Kraków,1,2,"0,0%"
Rafał Wolski,Lechia Gdańsk,1,2,"0,0%"
Ivan Marquez,Korona Kielce,1,2,"0,0%"
Alen Stevanović,Wisła Płock,1,2,"0,0%"
Bodvar Bodvarsson,Jagiellonia,0,2,-
Vernon De Marco,Lech Poznań,0,2,-
Daniel Dziwniel,Zagłębie Lubin,0,2,-
Rafał Janicki,Lech Poznań,0,2,-
Joao Nunes,Lechia Gdańsk,0,2,-
Jakub Wójcicki,Jagiellonia,0,2,-
Adrian Benedyczak,Pogoń Szczecin,0,2,-
Marcin Warcholak,Wisła Płock,0,2,-
Vullnet Basha,Wisła Kraków,0,2,-
Hubert Matynia,Pogoń Szczecin,0,2,-
Alan Czerwiński,Zagłębie Lubin,0,2,-
Tadeusz Socha,Arka Gdynia,0,2,-
Martin Adamec,Jagiellonia,0,2,-
Ariel Borysiuk,Wisła Płock,0,2,-
Adam Buksa,Pogoń Szczecin,12,1,"50,0%"
Felicio Brown Forbes,Korona Kielce,10,1,"20,0%"
Rafał Siemaszko,Arka Gdynia,9,1,"22,2%"
Roman Bezjak,Jagiellonia,8,1,"37,5%"
Mateusz Radecki,Śląsk Wrocław,8,1,"50,0%"
Kasper Hamalainen,Legia Warszawa,7,1,"28,6%"
Patryk Klimala,Jagiellonia,7,1,"14,3%"
Paweł Tomczyk,Lech/Piast,6,1,"50,0%"
Jarosław Kubicki,Lechia Gdańsk,6,1,"33,3%"
Przemysław Frankowski,Jagiellonia,5,1,"40,0%"
Łukasz Janoszka,Zagłębie Lubin,5,1,"20,0%"
Aleksandyr Kolew,Arka Gdynia,5,1,"20,0%"
Piotr Polczak,Zagłębie Sosnowiec,5,1,"40,0%"
Alexandre Cristovao,Zagłębie Sosnowiec,5,1,"20,0%"
Soufian Benyamina,Pogoń Szczecin,5,1,"20,0%"
Marko Vejinović,Arka Gdynia,5,1,"80,0%"
Łukasz Trałka,Lech Poznań,4,1,"25,0%"
Mateusz Szczepaniak,Cracovia/Miedź,4,1,"25,0%"
Mateusz Matras,Górnik Zabrze,4,1,"50,0%"
Mateusz Szwoch,Wisła Płock,3,1,"0,0%"
Steven Vitoria,Lechia Gdańsk,3,1,"33,3%"
Paweł Brożek,Wisła Kraków,3,1,"33,3%"
Spas Delew,Pogoń Szczecin,3,1,"66,7%"
Elhadji Pape Diaw,Korona Kielce,2,1,"0,0%"
Patryk Dziczek,Piast Gliwice,2,1,"100,0%"
Tomasz Hołota,Pogoń Szczecin,2,1,"0,0%"
Marquitos,Miedź Legnica,2,1,"50,0%"
Marcin Urynowicz,Górnik Zabrze,2,1,"50,0%"
Michael Heinloth,Zagłębie Sosnowiec,2,1,"0,0%"
Oliver Petrak,Korona Kielce,2,1,"0,0%"
Jakub Łukowski,Wisła Płock,2,1,"100,0%"
Lasza Dwali,Pogoń Szczecin,2,1,"50,0%"
Mateusz Młyński,Arka Gdynia,2,1,"50,0%"
Filip Marchwiński,Lech Poznań,2,1,"50,0%"
Tomasz Nawotka,Zagłębie Sosnowiec,2,1,"50,0%"
Giorgos Mygas,Zagłębie Sosnowiec,2,1,"100,0%"
Jakub Bartosz,Wisła Kraków,1,1,"0,0%"
Władisław Sirotow,Zagłębie Lubin,1,1,"0,0%"
Mateusz Żyro,Legia/Miedź,1,1,"0,0%"
Szymon Matuszek,Górnik Zabrze,1,1,"0,0%"
Borja Fernandez,Miedź Legnica,1,1,"0,0%"
Cristian Pasquato,Legia Warszawa,1,1,"0,0%"
Adam Marciniak,Arka Gdynia,1,1,"100,0%"
Wojciech Łobodziński,Miedź Legnica,1,1,"0,0%"
Marcus Vinicius,Arka Gdynia,1,1,"0,0%"
Lubomir Guldan,Zagłębie Lubin,1,1,"100,0%"
Giorgi Iwaniszwili,Zagłębie Sosnowiec,1,1,"0,0%"
Zoran Arsenić,Jagiellonia,1,1,"0,0%"
Michał Żyro,Pogoń Szczecin,1,1,"0,0%"
Jakub Łabojko,Śląsk Wrocław,1,1,"0,0%"
Luis Rocha,Legia Warszawa,1,1,"0,0%"
Damian Oko,Zagłębie Lubin,1,1,"0,0%"
Diego Ferraresso,Cracovia,0,1,-
Mateusz Lis,Wisła Kraków,0,1,-
David Niepsuj,Pogoń Szczecin,0,1,-
Gerard Oliva,Cracovia,0,1,-
Wiktor Biedrzycki,Górnik Zabrze,0,1,-
Frantisek Plach,Piast Gliwice,0,1,-
Adrian Purzycki,Miedź Legnica,0,1,-
Kamil Dankowski,Śląsk Wrocław,0,1,-
Dimitris Goutas,Lech Poznań,0,1,-
Adam Banasiak,Zagłębie Sosnowiec,0,1,-
Tomasz Loska,Górnik Zabrze,0,1,-
Adam Matuszczyk,Zagłębie Lubin,0,1,-
Dawid Błanik,Pogoń Szczecin,0,1,-
Sebastian Walukiewicz,Pogoń Szczecin,0,1,-
Christian Maghoma,Arka Gdynia,0,1,-
Marcin Wasielewski,Lech Poznań,0,1,-
Patryk Stępiński,Wisła Płock,0,1,-
Luka Marić,Arka Gdynia,0,1,-
Aleksander Jagiełło,Piast Gliwice,0,1,-
Frederik Helstrup,Arka Gdynia,0,1,-
