SĘDZIA,Śr. ŻK,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,Mecze
Daniel Stefański,"5,13",123,1,4,96,0,0,12,10,2,1,2,0,0,1,0,0,24
Jarosław Przybył,"3,72",108,2,5,91,2,1,6,4,3,2,0,1,0,0,0,0,29
Krzysztof Jakubik,"4,29",90,2,3,66,2,4,1,11,7,1,0,0,0,0,0,0,21
Łukasz Szczech,"4,33",52,3,4,40,3,0,1,6,3,2,0,0,0,0,0,0,12
Mariusz Złotek,"4,00",68,1,1,55,1,1,3,7,1,1,0,0,0,0,0,0,17
Paweł Gil,"4,11",78,2,2,69,2,2,1,4,1,1,0,0,0,0,0,0,19
Paweł Raczkowski,"4,44",120,5,6,101,3,2,6,4,4,3,0,0,1,1,0,0,27
Piotr Lasyk,"3,90",78,3,4,63,2,0,5,6,4,0,0,0,0,1,0,0,20
Szymon Marciniak,"3,92",98,1,6,83,1,5,6,3,1,0,0,0,0,0,0,0,25
Tomasz Kwiatkowski,"3,97",115,0,2,96,0,4,7,1,1,5,1,0,0,0,0,0,29
Tomasz Musiał,"3,06",52,1,2,43,1,2,5,0,2,0,0,0,0,0,0,0,17
Wojciech Myć,"5,06",81,0,3,67,0,1,6,2,2,3,0,0,0,0,0,0,16
Zbigniew Dobrynin,"5,13",41,1,1,33,1,1,3,2,1,0,0,1,0,0,0,0,8
Dominik Sulikowski,"5,80",29,0,1,21,0,0,3,3,2,0,0,0,0,0,0,0,5
Bartosz Frankowski,"4,64",116,6,8,92,4,2,2,14,5,1,0,0,0,1,0,1,25
Artur Aluszyk,"3,00",6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2
