KLUB,MECZE,"over 0,5","over 1,5","over 2,5","over 3,5","over 4,5","over 5,5","over 6,5","over 7,5",Średnia goli w meczach z udziałem
Arka Gdynia,37,33,29,19,12,5,2,0,0,"2,70"
Cracovia,37,34,25,17,8,3,1,0,0,"2,38"
Górnik Zabrze,37,37,31,19,12,1,1,0,0,"2,73"
Jagiellonia,37,36,30,20,14,5,2,0,0,"2,89"
Korona Kielce,37,33,28,18,8,4,3,1,1,"2,59"
Lech Poznań,37,36,25,18,9,5,3,1,0,"2,62"
Lechia Gdańsk,37,32,25,13,9,7,4,2,0,"2,49"
Legia Warszawa,37,34,25,18,11,4,1,0,0,"2,51"
Miedź Legnica,37,32,30,20,13,6,1,1,1,"2,84"
Piast Gliwice,37,35,28,17,9,1,0,0,0,"2,43"
Pogoń Szczecin,37,34,32,22,11,8,3,1,0,"3,00"
Śląsk Wrocław,37,35,29,15,9,4,2,0,0,"2,54"
Wisła Kraków,37,36,29,23,17,11,6,5,2,"3,51"
Wisła Płock,37,36,30,21,13,6,2,0,0,"2,92"
Zagłębie Lubin,37,36,31,21,11,4,2,0,0,"2,84"
Zagłębie Sosnowiec,37,35,33,27,18,10,5,1,0,"3,49"
