DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Średnia,DR,ŚREDNIA,"6,56","6,38","6,25","6,56","6,31","6,00","6,25","5,94","6,19","6,31","5,94","5,56","6,13","6,06","5,69","5,63","5,63","5,81","5,81","6,19","5,75","5,44","5,63","5,56","5,63","5,56","5,44","5,31","5,19","5,13","5,19","5,50","5,63","5,56","6,06","6,38","6,31",,
ARK,4,3,4,7,5,5,5,6,6,6,7,7,6,7,7,6,6,6,6,6,7,7,8,6,6,6,6,5,5,5,6,6,6,6,7,6,7,"5,95",ARK
CRA,4,5,4,6,6,4,3,4,6,6,5,3,3,4,3,3,3,2,3,7,5,4,4,4,4,4,3,5,4,4,4,3,2,4,5,4,4,"4,08",CRA
GÓR,11,10,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,9,6,6,4,6,5,4,3,5,6,5,6,6,5,5,5,6,5,"6,89",GÓR
JAG,4,5,5,5,4,4,5,3,4,4,3,3,5,6,4,3,3,4,4,6,3,3,3,2,3,2,3,4,2,2,1,3,1,2,2,3,4,"3,43",JAG
KOR,4,4,5,2,5,3,4,4,2,2,2,2,3,2,4,3,3,4,3,4,4,3,4,2,3,3,3,3,3,1,2,1,4,5,6,6,5,"3,32",KOR
LPO,4,4,4,6,5,6,6,4,6,5,4,2,2,4,4,5,5,5,5,4,4,4,4,5,5,4,6,4,4,4,4,5,7,5,6,7,7,"4,73",LPO
LGD,7,6,7,7,6,6,6,7,8,7,6,6,6,6,6,5,7,6,6,6,8,7,8,8,8,8,6,6,8,7,6,7,7,5,7,7,8,"6,70",LGD
LEG,6,6,5,7,6,5,5,6,6,6,5,5,4,5,5,4,4,5,4,5,4,3,5,4,5,5,5,4,3,4,3,2,5,4,3,5,4,"4,65",LEG
MIE,5,5,6,4,5,4,4,4,4,5,5,4,7,5,4,5,5,5,5,5,4,4,4,4,5,4,3,3,2,3,2,2,3,3,3,3,5,"4,14",MIE
PIA,6,6,6,6,6,4,4,4,3,5,6,4,7,5,4,5,4,4,6,3,4,5,5,5,5,5,6,5,6,5,5,6,5,5,7,7,6,"5,14",PIA
POG,9,8,8,6,6,7,7,6,6,8,7,8,8,8,8,8,7,6,8,6,7,6,7,7,7,9,8,6,8,7,8,8,5,6,7,8,7,"7,19",POG
ŚLĄ,8,9,8,9,9,8,9,9,9,9,9,8,8,8,8,8,8,9,7,8,8,9,8,8,8,8,9,9,8,8,9,9,10,9,9,9,8,"8,49",ŚLĄ
WIS,8,8,8,8,7,7,7,7,7,7,6,6,9,7,6,6,6,6,5,6,8,8,8,8,8,8,8,7,7,8,8,9,9,9,8,9,8,"7,43",WIS
WPŁ,8,7,7,7,7,8,8,8,8,9,8,8,7,7,7,7,7,7,7,8,7,7,6,7,5,6,5,6,6,6,6,7,8,7,8,7,9,"7,11",WPŁ
ZAG,10,10,9,10,8,10,10,8,9,7,8,8,8,8,7,8,8,9,8,9,8,8,8,8,8,8,8,9,8,8,9,8,8,8,8,8,8,"8,38",ZAG
ZSO,7,6,6,7,8,7,8,7,7,7,6,7,7,7,6,6,6,7,8,7,5,3,4,5,5,5,5,4,3,5,4,6,5,6,6,7,6,"5,97",ZSO
