ZAWODNIK,Klub,Słupki,Poprzeczki,SUMA
Joel Valencia,Piast Gliwice,4,1,5
Carlitos,Legia Warszawa,2,2,4
Bartłomiej Pawłowski,Zagłębie Lubin,2,2,4
Jesus Imaz,Wisła Kraków,1,2,3
Kamil Drygas,Pogoń Szczecin,2,1,3
Filip Starzyński,Zagłębie Lubin,1,2,3
Piotr Parzyszek,Piast Gliwice,2,1,3
Javier Hernandez,Cracovia,0,3,3
Aleksandyr Kolew,Arka Gdynia,1,1,2
Zdenek Ondrasek,Wisła Kraków,1,1,2
Konrad Wrzesiński,Zagłębie Sosnowiec,0,2,2
Dorde Cotra,Śląsk Wrocław,0,2,2
Elia Soriano,Korona Kielce,0,2,2
Andre Martins,Legia Warszawa,1,1,2
Vamara Sanogo,Zagłębie Sosnowiec,2,0,2
Radosław Majewski,Pogoń Szczecin,1,1,2
Zvonimir Kozulj,Pogoń Szczecin,0,2,2
Szymon Pawłowski,Zagłębie Sosnowiec,0,2,2
Arvydas Novikovas,Jagiellonia,2,0,2
Mateusz Możdżeń,Zagłębie Sosnowiec,1,1,2
Damian Dąbrowski,Cracovia,2,0,2
Kasper Hamalainen,Legia Warszawa,2,0,2
Mateusz Wieteska,Legia Warszawa,0,2,2
Igor Angulo,Górnik Zabrze,1,1,2
Michał Nalepa,Lechia Gdańsk,1,1,2
Jesus Jimenez,Górnik Zabrze,2,0,2
Dominik Furman,Wisła Płock,0,2,2
Petteri Forsell,Miedź Legnica,1,1,2
Patrik Mraz,Zagłębie Sosnowiec,0,2,2
Luka Zarandia,Arka Gdynia,1,1,2
Joan Roman,Miedź Legnica,1,1,2
Krzysztof Mączyński,Śląsk Wrocław,0,2,2
Lukas Haraslin,Lechia Gdańsk,2,0,2
Wato Arweladze,Korona Kielce,0,2,2
Damian Zbozień,Arka Gdynia,1,1,2
Mateusz Cholewiak,Śląsk Wrocław,1,1,2
Mikkel Kirkeskov,Piast Gliwice,0,2,2
Juan Camara,Miedź Legnica,1,1,2
Sebastian Szymański,Legia Warszawa,1,1,2
Marcin Budziński,Cracovia,1,0,1
Michał Helik,Cracovia,1,0,1
Michal Siplak,Cracovia,1,0,1
Karol Świderski,Jagiellonia,1,0,1
Maciej Gajos,Lech Poznań,1,0,1
Joao Amaral,Lech Poznań,1,0,1
Patryk Lipski,Lechia Gdańsk,1,0,1
Daniel Łukasik,Lechia Gdańsk,1,0,1
Flavio Paixao,Lechia Gdańsk,1,0,1
Frank Adu Kwame,Miedź Legnica,1,0,1
Mateusz Piątkowski,Miedź Legnica,1,0,1
Adam Buksa,Pogoń Szczecin,1,0,1
Mateusz Radecki,Śląsk Wrocław,1,0,1
Marcin Robak,Śląsk Wrocław,1,0,1
Jakub Bartosz,Wisła Kraków,1,0,1
Damian Szymański,Wisła Płock,1,0,1
Ricardinho,Wisła Płock,1,0,1
Nico Varela,Wisła Płock,1,0,1
Martin Kostal,Wisła Kraków,1,0,1
Paweł Zieliński,Miedź Legnica,1,0,1
Tomas Podstawski,Pogoń Szczecin,1,0,1
Artur Sobiech,Lechia Gdańsk,0,1,1
Cafu,Legia Warszawa,0,1,1
Wojciech Łobodziński,Miedź Legnica,0,1,1
Tomasz Hołota,Pogoń Szczecin,0,1,1
Farshad Ahmadzadeh,Śląsk Wrocław,0,1,1
Dawid Kort,Wisła Kraków,0,1,1
Adam Banasiak,Zagłębie Sosnowiec,1,0,1
Adam Hlousek,Legia Warszawa,0,1,1
Wojciech Golla,Śląsk Wrocław,0,1,1
Arkadiusz Piech,Śląsk Wrocław,0,1,1
Damian Gąska,Śląsk Wrocław,0,1,1
Daniel Szczepan,Śląsk Wrocław,0,1,1
Mariusz Malec,Pogoń Szczecin,1,0,1
Uros Korun,Piast Gliwice,0,1,1
Patryk Plewka,Wisła Kraków,0,1,1
Jorge Felix,Piast Gliwice,1,0,1
Martin Adamec,Jagiellonia,0,1,1
Airam Cabrera,Cracovia,1,0,1
Artur Jędrzejczyk,Legia Warszawa,0,1,1
Patryk Tuszyński,Zagłębie Lubin,1,0,1
Semir Stilić,Wisła Płock,1,0,1
Mateusz Wdowiak,Cracovia,1,0,1
Łukasz Garguła,Miedź Legnica,1,0,1
Piotr Polczak,Zagłębie Sosnowiec,0,1,1
Jakub Arak,Lechia Gdańsk,0,1,1
Damian Oko,Zagłębie Lubin,1,0,1
Maciej Jankowski,Arka Gdynia,0,1,1
Michał Mak,Lechia Gdańsk,1,0,1
Konrad Michalak,Lechia Gdańsk,1,0,1
Tymoteusz Klupś,Lech Poznań,0,1,1
Robert Pich,Śląsk Wrocław,0,1,1
Michał Kucharczyk,Legia Warszawa,1,0,1
Dimitris Goutas,Lech Poznań,0,1,1
Soufian Benyamina,Pogoń Szczecin,0,1,1
Łukasz Wolsztyński,Górnik Zabrze,1,0,1
Patryk Klimala,Jagiellonia,0,1,1
Łukasz Burliga,Wisła Kraków,0,1,1
Ivan Jukić,Korona Kielce,1,0,1
Dawid Ryndak,Zagłębie Sosnowiec,0,1,1
