ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Igor Angulo,Górnik Zabrze,24,16,3,5,0
Marcin Robak,Śląsk Wrocław,18,5,11,2,0
Carlitos,Legia Warszawa,16,1,15,0,0
Jesus Imaz,Wisła K/Jagiellonia,16,4,11,1,0
Flavio Paixao,Lechia Gdańsk,15,2,8,5,0
Elia Soriano,Korona Kielce,14,4,10,0,0
Airam Cabrera,Cracovia,14,11,3,0,0
Filip Starzyński,Zagłębie Lubin,13,2,11,0,0
Petteri Forsell,Miedź Legnica,13,5,8,0,0
Christian Gytkjaer,Lech Poznań,12,0,10,2,0
Vamara Sanogo,Zagłębie Sosnowiec,11,7,3,1,0
Zdenek Ondrasek,Wisła Kraków,11,3,7,1,0
Marko Kolar,Wisła Kraków,11,2,9,0,0
Adam Buksa,Pogoń Szczecin,11,7,1,3,0
Damjan Bohar,Zagłębie Lubin,10,2,7,1,0
Patryk Tuszyński,Zagłębie Lubin,10,0,7,2,1
Ricardinho,Wisła Płock,10,2,6,2,0
Żarko Udovicić,Zagłębie Sosnowiec,10,9,1,0,0
Michał Janota,Arka Gdynia,10,9,1,0,0
Maciej Jankowski,Arka Gdynia,10,3,4,3,0
Javi Hernandez,Cracovia,10,8,2,0,0
Kamil Drygas,Pogoń Szczecin,10,7,1,1,1
Arvydas Novikovas,Jagiellonia,9,8,1,0,0
Zvonimir Kozulj,Pogoń Szczecin,9,1,8,0,0
Piotr Parzyszek,Piast Gliwice,9,2,5,2,0
Bartłomiej Pawłowski,Zagłębie Lubin,8,1,6,1,0
Karol Świderski,Jagiellonia,8,5,2,1,0
Joao Amaral,Lech Poznań,8,0,8,0,0
Radosław Majewski,Pogoń Szczecin,8,3,5,0,0
Artur Sobiech,Lechia Gdańsk,7,2,4,1,0
Aleksandar Sedlar,Piast Gliwice,6,0,6,0,0
Giorgi Merebaszwili,Wisła Płock,6,3,2,1,0
Joel Valencia,Piast Gliwice,6,0,5,1,0
Jorge Felix,Piast Gliwice,6,2,4,0,0
Patryk Lipski,Lechia Gdańsk,6,1,5,0,0
Dominik Furman,Wisła Płock,6,0,6,0,0
Robert Pich,Śląsk Wrocław,6,2,3,1,0
Filip Piszczek,Cracovia,6,1,1,4,0
Oskar Zawada,Wisła Płock,6,3,1,2,0
Michal Papadopulos,Piast Gliwice,5,0,3,2,0
Dominik Nagy,Legia Warszawa,5,3,1,1,0
Damian Zbozień,Arka Gdynia,5,0,3,2,0
Szymon Pawłowski,Zagłębie Sosnowiec,5,0,5,0,0
Luka Zarandia,Arka Gdynia,5,4,1,0,0
Jesus Jimenez,Górnik Zabrze,5,2,3,0,0
Matej Pućko,Korona Kielce,5,1,4,0,0
Iker Guarrotxena,Pogoń Szczecin,5,2,3,0,0
Jakub Błaszczykowski,Wisła Kraków,5,1,3,1,0
Krzysztof Drzazga,Wisła Kraków,5,1,4,0,0
Marko Vejinović,Arka Gdynia,5,1,4,0,0
