KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Piast Gliwice,37,72,21,9,7,57,33,24,"1,95","1,54","0,89"
Legia Warszawa,37,68,20,8,9,55,38,17,"1,84","1,49","1,03"
Lechia Gdańsk,37,67,19,10,8,54,38,16,"1,81","1,46","1,03"
Cracovia,37,57,17,6,14,45,43,2,"1,54","1,22","1,16"
Jagiellonia,37,57,16,9,12,55,52,3,"1,54","1,49","1,41"
Zagłębie Lubin,37,53,15,8,14,57,48,9,"1,43","1,54","1,30"
Pogoń Szczecin,37,52,14,10,13,57,54,3,"1,41","1,54","1,46"
Lech Poznań,37,52,15,7,15,49,48,1,"1,41","1,32","1,30"
Wisła Kraków,37,49,14,7,16,67,63,4,"1,32","1,81","1,70"
Korona Kielce,37,47,12,11,14,42,54,-12,"1,27","1,14","1,46"
Górnik Zabrze,37,46,12,10,15,48,53,-5,"1,24","1,30","1,43"
Śląsk Wrocław,37,44,12,8,17,49,45,4,"1,19","1,32","1,22"
Arka Gdynia,37,42,10,12,15,49,51,-2,"1,14","1,32","1,38"
Wisła Płock,37,41,10,11,16,50,58,-8,"1,11","1,35","1,57"
Miedź Legnica,37,40,10,10,17,40,65,-25,"1,08","1,08","1,76"
Zagłębie Sosnowiec,37,29,7,8,22,49,80,-31,"0,78","1,32","2,16"
