KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,14,9,3,2,19,1,5,13
Cracovia,13,13,0,0,21,4,3,14
Górnik Zabrze,18,10,5,3,19,2,5,12
Jagiellonia,19,14,4,1,17,2,4,11
Korona Kielce,15,11,2,2,18,1,5,12
Lech Poznań,19,14,3,2,17,1,3,13
Lechia Gdańsk,22,17,2,3,10,2,3,5
Legia Warszawa,17,15,2,0,17,5,3,9
Miedź Legnica,13,8,3,2,19,2,2,15
Piast Gliwice,26,20,5,1,9,1,2,6
Pogoń Szczecin,22,11,7,4,12,3,0,9
Śląsk Wrocław,20,12,5,3,15,0,1,14
Wisła Kraków,17,11,3,3,19,3,3,13
Wisła Płock,15,8,6,1,21,2,4,15
Zagłębie Lubin,18,14,1,3,18,1,6,11
Zagłębie Sosnowiec,9,4,2,3,26,3,4,19
