KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,6,4,0,2,20,5,9,6,11,1,3,7
Cracovia,8,8,0,0,14,7,3,4,15,2,3,10
Górnik Zabrze,12,6,4,2,12,4,5,3,13,2,1,10
Jagiellonia,13,11,2,0,10,4,3,3,14,1,4,9
Korona Kielce,9,7,1,1,16,5,6,5,12,0,4,8
Lech Poznań,14,10,3,1,10,5,2,3,13,0,2,11
Lechia Gdańsk,18,15,2,1,15,3,6,6,4,1,2,1
Legia Warszawa,11,10,1,0,11,5,5,1,15,5,2,8
Miedź Legnica,9,6,2,1,16,4,8,4,12,0,0,12
Piast Gliwice,17,16,1,0,12,4,7,1,8,1,1,6
Pogoń Szczecin,17,9,5,3,11,3,5,3,9,2,0,7
Śląsk Wrocław,12,7,3,2,17,5,3,9,8,0,2,6
Wisła Kraków,13,8,3,2,13,5,3,5,11,1,1,9
Wisła Płock,9,6,3,0,15,3,5,7,13,1,3,9
Zagłębie Lubin,13,10,1,2,14,5,5,4,10,0,2,8
Zagłębie Sosnowiec,8,4,2,2,8,1,3,4,21,2,3,16
