KLUB\DZIEŃ,pt Z,pt R,pt P,sb Z,sb R,sb P,nd Z,nd R,nd P,pn Z,pn R,pn P,wt Z,wt R,wt P,śr Z,śr R,śr P,czw Z,czw R,czw P
Arka Gdynia,2,3,4,2,5,6,3,2,3,2,1,2,0,1,0,0,0,0,1,0,0
Cracovia,1,0,5,7,3,4,5,2,4,2,1,0,1,0,1,1,0,0,0,0,0
Górnik Zabrze,1,3,4,5,3,6,2,2,3,3,1,1,0,1,1,0,0,0,1,0,0
Jagiellonia,4,2,4,3,3,1,5,4,5,2,0,1,1,0,0,1,0,1,0,0,0
Korona Kielce,2,2,3,3,5,7,3,4,2,3,0,0,1,0,1,0,0,0,0,0,1
Lech Poznań,2,1,4,3,5,4,7,1,7,0,0,0,0,0,0,3,0,0,0,0,0
Lechia Gdańsk,5,2,1,10,3,4,3,2,1,0,2,1,0,1,0,1,0,1,0,0,0
Legia Warszawa,1,2,1,11,1,3,6,5,3,0,0,0,0,0,0,1,0,2,1,0,0
Miedź Legnica,2,2,5,2,5,4,6,0,6,0,2,0,0,1,1,0,0,0,0,0,1
Piast Gliwice,7,5,1,6,3,2,3,0,4,3,0,0,1,0,0,1,1,0,0,0,0
Pogoń Szczecin,5,2,3,5,2,4,3,4,1,0,1,3,0,0,0,0,1,2,1,0,0
Śląsk Wrocław,2,2,4,5,1,6,2,2,1,2,2,4,1,1,0,0,0,0,0,0,2
Wisła Kraków,4,1,3,5,3,5,4,2,2,1,1,4,0,0,0,0,0,1,0,0,1
Wisła Płock,1,3,4,4,4,7,1,3,4,2,1,0,1,0,0,0,0,1,1,0,0
Zagłębie Lubin,7,1,0,3,2,5,4,4,6,1,0,1,0,1,1,0,0,1,0,0,0
Zagłębie Sosnowiec,1,1,1,4,2,10,0,1,5,0,4,4,0,0,1,1,0,0,1,0,1
