ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,non-pen G - non-pen xG
Zvonimir Kozulj,Pogoń Szczecin,68,9,"3,716","0,055","5,284","3,716","0,055","5,284"
Petteri Forsell,Miedź Legnica,109,13,"8,031","0,074","4,969","5,781","0,055","5,219"
Adam Buksa,Pogoń Szczecin,46,11,"5,565","0,121","5,435","4,815","0,107","5,185"
Igor Angulo,Górnik Zabrze,128,24,"18,088","0,141","5,912","14,338","0,117","4,662"
Żarko Udovicić,Zagłębie Sosnowiec,36,10,"5,347","0,149","4,653","5,347","0,149","4,653"
Patryk Lipski,Lechia Gdańsk,27,6,"1,530","0,057","4,470","1,530","0,057","4,470"
Carlitos,Legia Warszawa,94,16,"11,055","0,118","4,945","8,805","0,097","4,195"
Karol Świderski,Jagiellonia,42,8,"4,310","0,103","3,690","4,310","0,103","3,690"
Marcin Robak,Śląsk Wrocław,77,18,"13,419","0,174","4,581","10,419","0,143","3,581"
Damjan Bohar,Zagłębie Lubin,39,10,"6,438","0,165","3,562","6,438","0,165","3,562"
Arvydas Novikovas,Jagiellonia,79,9,"6,657","0,084","2,343","5,907","0,076","3,093"
Michał Janota,Arka Gdynia,68,10,"6,832","0,100","3,168","3,082","0,049","2,918"
Filip Piszczek,Cracovia,31,6,"3,209","0,104","2,791","3,209","0,104","2,791"
Vullnet Basha,Wisła Kraków,14,3,"0,419","0,030","2,581","0,419","0,030","2,581"
Joao Amaral,Lech Poznań,68,8,"5,440","0,080","2,560","5,440","0,080","2,560"
Jakub Błaszczykowski,Wisła Kraków,10,5,"1,954","0,195","3,046","0,454","0,057","2,546"
Javi Hernandez,Cracovia,89,10,"8,214","0,092","1,786","7,464","0,085","2,536"
Maciej Jankowski,Arka Gdynia,51,10,"7,474","0,147","2,526","7,474","0,147","2,526"
Paweł Tomczyk,Lech/Piast,13,4,"1,507","0,116","2,493","1,507","0,116","2,493"
Giorgi Merebaszwili,Wisła Płock,48,6,"3,649","0,076","2,351","3,649","0,076","2,351"
Marko Vejinović,Arka Gdynia,29,5,"2,455","0,085","2,545","1,705","0,061","2,295"
Ricardinho,Wisła Płock,62,10,"7,535","0,122","2,465","6,785","0,111","2,215"
Radosław Majewski,Pogoń Szczecin,99,8,"5,904","0,060","2,096","5,904","0,060","2,096"
Zdenek Ondrasek,Wisła Kraków,42,11,"8,655","0,206","2,345","7,905","0,193","2,095"
Tom Hateley,Piast Gliwice,28,4,"2,682","0,096","1,318","1,932","0,072","2,068"
Wato Arweladze,Korona Kielce,44,4,"2,129","0,048","1,871","2,129","0,048","1,871"
Damian Zbozień,Arka Gdynia,18,5,"3,410","0,189","1,590","1,160","0,077","1,840"
Mikkel Kirkeskov,Piast Gliwice,17,2,"0,251","0,015","1,749","0,251","0,015","1,749"
Olaf Nowak,Zagłębie Sosnowiec,19,4,"2,296","0,121","1,704","2,296","0,121","1,704"
Mateusz Radecki,Śląsk Wrocław,22,4,"2,320","0,105","1,680","2,320","0,105","1,680"
Iuri Medeiros,Legia Warszawa,18,3,"1,346","0,075","1,654","1,346","0,075","1,654"
Adam Hlousek,Legia Warszawa,14,3,"1,367","0,098","1,633","1,367","0,098","1,633"
Joan Roman,Miedź Legnica,32,5,"3,150","0,098","1,850","2,400","0,077","1,600"
Artur Jędrzejczyk,Legia Warszawa,15,3,"1,450","0,097","1,550","1,450","0,097","1,550"
Augusto,Śląsk Wrocław,6,2,"0,460","0,077","1,540","0,460","0,077","1,540"
Marko Kolar,Wisła Kraków,42,11,"8,715","0,208","2,285","6,465","0,166","1,535"
Ariel Borysiuk,Lechia/Wisła P,25,2,"0,475","0,019","1,525","0,475","0,019","1,525"
Jakub Łukowski,Wisła Płock,11,2,"0,522","0,047","1,478","0,522","0,047","1,478"
Filip Mladenović,Lechia Gdańsk,41,3,"1,530","0,037","1,470","1,530","0,037","1,470"
Rafał Pietrzak,Wisła Kraków,24,3,"2,046","0,085","0,954","0,546","0,025","1,454"
Jakub Czerwiński,Piast Gliwice,18,3,"1,575","0,088","1,425","1,575","0,088","1,425"
Tomasz Jodłowiec,Piast Gliwice,35,4,"2,645","0,076","1,355","2,645","0,076","1,355"
Dani Suarez,Górnik Zabrze,22,3,"1,672","0,076","1,328","1,672","0,076","1,328"
Matej Palcić,Wisła Kraków,6,2,"0,722","0,120","1,278","0,722","0,120","1,278"
Pedro Tiba,Lech Poznań,56,4,"3,498","0,062","0,502","2,748","0,050","1,252"
Dominik Furman,Wisła Płock,62,6,"4,316","0,070","1,684","2,816","0,047","1,184"
Oskar Zawada,Wisła Płock,27,6,"4,595","0,170","1,405","3,845","0,148","1,155"
Darko Jevtić,Lech Poznań,34,3,"1,868","0,055","1,132","1,868","0,055","1,132"
Filip Marchwiński,Lech Poznań,3,2,"0,891","0,297","1,109","0,891","0,297","1,109"
Nikola Vujadinović,Lech Poznań,13,3,"1,900","0,146","1,100","1,900","0,146","1,100"
Robert Pich,Śląsk Wrocław,55,6,"4,901","0,089","1,099","4,901","0,089","1,099"
Ivan Runje,Jagiellonia,16,3,"1,935","0,121","1,065","1,935","0,121","1,065"
Vukan Savicević,Wisła Kraków,14,2,"0,939","0,067","1,061","0,939","0,067","1,061"
Elhajdi Djibril Pape Diaw,Korona Kielce,14,2,"0,971","0,069","1,029","0,971","0,069","1,029"
Jose Kante,Legia Warszawa,12,2,"0,983","0,082","1,017","0,983","0,082","1,017"
Dominik Nagy,Legia Warszawa,42,5,"3,994","0,095","1,006","3,994","0,095","1,006"
Jakub Kosecki,Śląsk Wrocław,1,1,"0,037","0,037","0,963","0,037","0,037","0,963"
Łukasz Poręba,Zagłębie Lubin,2,1,"0,055","0,028","0,945","0,055","0,028","0,945"
Giorgi Gabedawa,Zagłębie Sosnowiec,14,3,"2,110","0,151","0,890","2,110","0,151","0,890"
Jin Izumisawa,Pogoń Szczecin,1,1,"0,155","0,155","0,845","0,155","0,155","0,845"
Bożo Musa,Miedź Legnica,2,1,"0,160","0,080","0,840","0,160","0,080","0,840"
Filip Jagiełło,Zagłębie Lubin,36,3,"2,173","0,060","0,827","2,173","0,060","0,827"
Frederik Helstrup,Arka Gdynia,3,1,"0,180","0,060","0,820","0,180","0,060","0,820"
Patryk Sokołowski,Piast Gliwice,3,1,"0,192","0,064","0,808","0,192","0,064","0,808"
Marcin Pietrowski,Piast Gliwice,5,1,"0,200","0,040","0,800","0,200","0,040","0,800"
Andrej Kadlec,Jagiellonia,3,1,"0,215","0,072","0,785","0,215","0,072","0,785"
Dawid Kort,Wisła Kraków,27,3,"1,967","0,073","1,033","1,217","0,047","0,783"
Adam Chrzanowski,Lechia Gdańsk,1,1,"0,231","0,231","0,769","0,231","0,231","0,769"
Paweł Stolarski,Lechia/Legia,6,1,"0,236","0,039","0,764","0,236","0,039","0,764"
Andre Martins,Legia Warszawa,18,2,"1,236","0,069","0,764","1,236","0,069","0,764"
Sebastian Kowalczyk,Pogoń Szczecin,18,2,"1,245","0,069","0,755","1,245","0,069","0,755"
Iker Guarrotxena,Pogoń Szczecin,40,5,"4,261","0,107","0,739","4,261","0,107","0,739"
Przemysław Frankowski,Jagiellonia,22,3,"2,265","0,103","0,735","2,265","0,103","0,735"
