KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,38","1,32",48%,"14,16","4,41","6,08","3,68","31,11%","9,54%","5,35","1,46","3,27","14,11","1,84","0,11",ARK
Cracovia,"1,16","1,22",50%,"11,08","3,84","4,92","2,32","34,63%","10,49%","5,08","1,59","3,08","17,62","2,46","0,22",CRA
Górnik Zabrze,"1,43","1,30",53%,"14,38","4,46","5,84","4,08","31,02%","9,59%","5,24","1,97","3,89","14,19","2,54","0,11",GÓR
Jagiellonia,"1,41","1,49",51%,"13,00","4,57","5,46","2,97","35,14%","10,60%","4,95","2,59","3,19","14,89","2,05","0,08",JAG
Korona Kielce,"1,46","1,14",48%,"10,05","4,24","3,51","2,30","42,20%","14,25%","4,00","1,78","4,00","15,92","2,57","0,05",KOR
Lech Poznań,"1,30","1,32",48%,"12,00","4,38","5,00","2,62","36,49%","10,36%","4,97","3,00","2,62","14,86","1,54","0,00",LPO
Lechia Gdańsk,"1,03","1,46",53%,"13,22","3,84","5,68","3,70","29,04%","7,57%","5,22","1,35","2,49","14,05","2,08","0,08",LGD
Legia Warszawa,"1,03","1,49",48%,"10,30","3,49","4,35","2,46","33,86%","9,71%","4,46","1,92","3,49","16,19","2,38","0,11",LEG
Miedź Legnica,"1,76","1,08",51%,"13,78","5,32","5,54","2,92","38,63%","11,96%","5,00","1,76","3,70","12,46","1,73","0,05",MIE
Piast Gliwice,"0,89","1,54",49%,"11,68","4,05","4,89","2,73","34,72%","7,41%","5,03","1,86","2,49","14,41","1,86","0,14",PIA
Pogoń Szczecin,"1,46","1,54",48%,"11,51","3,95","4,24","3,32","34,27%","11,97%","4,62","1,51","3,05","15,57","2,41","0,08",POG
Śląsk Wrocław,"1,22","1,32",53%,"12,35","4,03","5,38","2,95","32,60%","9,41%","4,41","0,95","2,95","16,35","2,11","0,14",ŚLĄ
Wisła Kraków,"1,70","1,81",46%,"18,35","5,62","7,54","5,19","30,63%","9,13%","6,49","1,97","2,70","14,73","2,05","0,03",WIS
Wisła Płock,"1,57","1,35",52%,"12,22","4,59","5,19","2,43","37,61%","12,61%","4,46","2,11","2,92","17,92","2,38","0,11",WPŁ
Zagłębie Lubin,"1,30","1,54",50%,"14,03","4,27","5,73","4,03","30,44%","8,86%","5,57","1,89","3,16","15,32","1,92","0,05",ZAG
Zagłębie Sosnowiec,"2,16","1,32",54%,"15,95","6,68","5,81","3,46","41,86%","13,39%","5,35","2,05","3,14","15,35","1,86","0,05",ZSO
