DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Średnia,DR,ŚREDNIA,"27,26","27,26","27,48","27,22","26,91","27,05","27,03","27,16","26,73","26,91","27,01","27,05","26,91","26,59","26,74","26,53","26,58","26,59","26,56","26,26","27,46","27,74","27,89","27,41","27,77","27,88","27,79","27,56","27,60","27,56","26,97","27,18","27,31","27,49","26,99","26,96","27,37",,
ARK,"27,91","27,64","28,00","28,91","29,27","29,27","27,18","28,27","27,27","27,27","28,36","25,91","26,45","25,55","26,82","27,18","27,18","26,82","26,82","27,55","28,00","28,91","28,55","27,45","28,27","27,73","27,73","27,91","28,09","28,09","27,82","28,64","28,73","29,27","28,45","28,18","27,55","27,81",ARK
CRA,"27,45","25,91","26,55","25,45","25,45","26,27","27,09","26,27","26,27","26,27","26,45","28,09","28,27","28,18","28,27","27,45","28,00","27,64","28,00","25,55","28,73","28,82","28,82","28,18","29,18","29,18","28,36","26,73","28,82","27,27","27,45","28,36","28,27","27,27","27,00","28,00","28,00","27,50",CRA
GÓR,"20,64","22,36","23,18","23,55","23,55","23,36","24,27","24,73","24,45","24,73","23,45","23,18","24,27","24,27","24,27","23,36","25,45","25,55","24,55","24,55","25,91","25,91","26,82","24,36","26,27","26,27","26,82","25,73","25,73","26,55","25,91","25,55","26,64","26,64","26,73","25,45","26,45","24,90",GÓR
JAG,"28,55","28,64","28,09","27,73","28,00","28,91","27,64","28,27","28,27","28,27","27,73","27,91","27,36","27,18","27,45","28,00","27,55","26,91","26,91","26,00","26,82","26,82","28,09","27,73","27,64","27,82","28,36","28,18","27,36","28,45","27,64","27,36","27,45","28,64","26,82","26,55","26,91","27,68",JAG
KOR,"26,64","26,73","26,55","27,00","26,73","26,82","27,27","27,09","26,27","26,45","26,91","26,55","25,45","26,82","26,00","25,91","25,64","26,18","25,73","27,18","27,18","27,36","27,91","26,55","27,27","26,82","26,82","26,82","26,82","26,27","26,55","27,45","26,45","26,91","25,18","26,09","26,82","26,63",KOR
LPO,"29,27","28,18","28,00","27,45","27,82","28,36","28,00","28,00","27,09","27,09","27,27","27,55","27,55","25,91","26,36","27,00","27,73","27,55","27,36","28,18","28,64","28,36","27,91","28,00","28,45","29,00","29,73","27,55","27,55","27,82","28,45","26,91","26,09","26,09","25,82","27,27","28,00","27,66",LPO
LGD,"26,73","26,82","26,73","26,36","26,27","25,73","26,27","27,18","26,64","26,27","25,73","26,73","25,73","25,64","26,18","26,00","25,45","26,27","26,27","26,36","27,18","27,36","27,09","27,64","27,09","26,18","27,36","26,82","26,27","28,18","27,18","27,00","26,73","26,73","26,55","26,45","27,00","26,60",LGD
LEG,"28,27","27,55","28,09","28,00","27,27","28,45","27,27","26,27","26,27","26,27","26,73","27,00","27,09","25,27","25,55","24,09","25,82","25,73","24,64","24,45","26,00","26,00","26,64","25,55","25,82","27,36","27,18","28,91","28,55","28,09","28,64","29,09","28,45","28,91","28,00","26,18","26,73","26,92",LEG
MIE,"31,00","30,73","30,27","28,36","28,00","27,27","27,27","27,64","26,91","27,82","27,27","28,09","27,18","27,45","28,45","27,09","27,36","26,36","26,73","26,73","27,91","28,18","29,09","29,09","29,09","28,55","28,64","28,55","28,36","27,45","27,09","28,27","27,45","28,55","27,45","28,18","26,91","28,02",MIE
PIA,"28,36","28,36","28,36","28,36","27,18","27,00","27,00","26,91","27,55","28,00","28,82","28,91","27,64","25,82","26,18","26,36","27,09","27,09","27,55","27,18","27,55","27,09","27,09","27,09","27,09","27,55","28,27","27,45","27,00","27,09","26,64","27,00","28,00","27,27","28,64","29,00","28,09","27,50",PIA
