ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Sasa Balić,Zagłębie Lubin,13,0,1,10,0,1,1,0,1,0,0,0,0,0,0,0
Ivan Marquez,Korona Kielce,12,1,2,10,1,0,2,0,0,0,0,0,0,0,0,0
Michał Nalepa II,Lechia Gdańsk,12,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
Błażej Augustyn,Lechia Gdańsk,11,0,1,7,0,1,0,3,0,0,0,0,0,0,0,0
Łukasz Burliga,Jagiellonia/Wisła K,10,1,1,7,1,0,0,2,0,1,0,0,0,0,0,0
Filip Mladenović,Lechia Gdańsk,10,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0
Jakub Żubrowski,Korona Kielce,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Drygas,Pogoń Szczecin,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Artur Jędrzejczyk,Legia Warszawa,10,0,0,7,0,1,2,0,0,0,0,0,0,0,0,0
Jakub Tosik,Zagłębie Lubin,9,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0
Maciej Dąbrowski,Zagłębie Lubin,9,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0
Javi Hernandez,Cracovia,9,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0
Marko Vesović,Legia Warszawa,9,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0
Zvonimir Kozulj,Pogoń Szczecin,9,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0
Patryk Dziczek,Piast Gliwice,9,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0
Michał Chrapek,Śląsk Wrocław,9,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
Szymon Matuszek,Górnik Zabrze,9,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
Andre Martins,Legia Warszawa,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
