BRAMKARZ,KLUB,MECZE,CZYSTE KONTA,MIN - AKTUALNIE,MIN - SEZON,MIN - REKORD,% OBR,OBR,STRZ,PG,% CK
Frantisek Plach,Piast Gliwice,37,15,61,416,416,"80,5%",128,159,32,"43,5%"
Dante Stipica,Pogoń Szczecin,37,14,0,402,402,"77,4%",123,159,39,"37,8%"
Mickey van der Hart,Lech Poznań,34,13,19,485,485,"77,5%",107,138,32,"38,2%"
Radosław Majecki,Legia Warszawa,33,12,31,289,381,"72,6%",82,113,31,"40,4%"
Martin Chudy,Górnik Zabrze,37,10,23,280,280,"73,7%",126,171,47,"31,5%"
Michal Pesković,Cracovia,32,10,18,419,469,"72,4%",92,127,35,"26,1%"
Marek Kozioł,Korona Kielce,28,9,27,444,444,"74,1%",106,143,38,"33,3%"
Michał Buchalik,Wisła Kraków,31,9,12,292,304,"66,0%",97,147,50,"27,9%"
Matus Putnocky,Śląsk Wrocław,37,7,34,217,375,"76,0%",139,183,46,"34,6%"
Jakub Szumski,Raków Częstochowa,24,7,51,359,359,"72,1%",75,104,31,"27,0%"
Damian Węglarz,Jagiellonia Białystok,26,7,76,218,260,"67,3%",66,98,33,"30,0%"
Dusan Kuciak,Lechia Gdańsk,30,6,135,310,799,"75,8%",119,157,42,"41,0%"
Pavels Steinbors,Arka Gdynia,33,6,8,174,327,"75,2%",152,202,52,"23,7%"
Konrad Forenc,Zagłębie Lubin,17,5,116,191,372,"70,6%",60,85,25,"25,0%"
Krzysztof Kamiński,Wisła Płock,9,4,0,341,341,"80,6%",25,31,7,"22,7%"
Arkadiusz Malarz,ŁKS Łódź,27,4,51,238,588,"67,9%",93,137,50,"35,6%"
Thomas Dahne,Wisła Płock,25,4,0,167,253,"67,2%",78,116,39,"17,6%"
Zlatan Alomerović,Lechia Gdańsk,7,3,34,304,304,"65,2%",15,23,8,"32,4%"
Mateusz Lis,Wisła Kraków,6,2,49,188,257,"78,6%",22,28,6,"20,5%"
Radosław Cierzniak,Legia Warszawa,3,2,9,217,342,"75,0%",6,8,2,"31,7%"
Michał Gliwa,Raków Częstochowa,13,2,19,205,378,"74,7%",62,83,25,"25,4%"
Grzegorz Sandomierski,Jagiellonia Białystok,5,2,4,165,563,"72,2%",13,18,6,"29,6%"
Dominik Hładun,Zagłębie Lubin,17,2,21,173,306,"71,3%",62,87,26,"24,1%"
Dejan Iliev,Jagiellonia Białystok,4,2,90,115,115,"70,0%",14,20,7,"50,0%"
Jakub Osobiński,Korona Kielce,1,1,110,110,110,"100,0%",3,3,0,"100,0%"
Karol Szymański,Lech Poznań,2,1,100,100,100,"100,0%",2,2,1,"50,0%"
Kacper Krzepisz,Arka Gdynia,1,1,90,90,90,"100,0%",6,6,0,"100,0%"
Michał Kołba,ŁKS Łódź,7,1,15,179,179,"71,4%",30,42,13,"14,3%"
Marcin Staniszewski,Arka Gdynia,3,1,25,134,134,"70,6%",12,17,5,"33,3%"
Lukas Hrosso,Cracovia,5,1,16,142,199,"66,7%",10,15,5,"17,6%"
Paweł Sokół,Korona Kielce,7,1,32,145,148,"60,0%",15,25,10,"22,2%"
Dominik Budzyński,ŁKS Łódź,1,0,26,63,122,"75,0%",3,4,1,"25,0%"
Kacper Bieszczad,Zagłębie Lubin,2,0,81,81,81,"71,4%",5,7,2,"0,0%"
Miłosz Mleczko,Lech Poznań,1,0,43,43,43,"66,7%",4,6,2,"0,0%"
Xavier Dziekoński,Jagiellonia Białystok,2,0,51,54,54,"64,3%",9,14,5,"0,0%"
Dawid Arndt,ŁKS Łódź,2,0,1,123,123,"60,0%",6,10,4,"0,0%"
Wojciech Muzyk,Legia Warszawa,1,0,61,61,61,"60,0%",3,5,2,"0,0%"
Bartłomiej Żynel,Wisła Płock,2,0,53,74,187,"58,3%",7,12,5,"37,5%"
Jakub Wrąbel,Wisła Płock,1,0,28,29,173,"40,0%",2,5,3,"12,9%"
