KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,94,119,106,13,130,126,129,50,767,332,435
Arka Gdynia,6,8,6,2,9,8,13,5,57,22,35
Cracovia,3,9,3,0,9,8,5,3,40,15,25
Górnik Zabrze,8,6,3,1,14,5,8,2,47,18,29
Jagiellonia,9,8,6,0,9,7,10,2,51,23,28
Korona Kielce,6,10,9,1,6,7,5,4,48,26,22
Lech Poznań,4,10,7,1,3,6,4,0,35,22,13
Lechia Gdańsk,6,4,6,2,7,9,10,6,50,18,32
Legia Warszawa,2,5,7,0,10,6,4,1,35,14,21
ŁKS Łódź,7,12,12,2,11,12,10,2,68,33,35
Piast Gliwice,4,5,1,1,8,4,7,2,32,11,21
Pogoń Szczecin,6,7,6,2,5,6,4,3,39,21,18
Raków Częstochowa,10,6,6,0,11,7,11,5,56,22,34
Śląsk Wrocław,5,4,5,1,8,9,12,2,46,15,31
Wisła Kraków,4,6,13,0,9,10,11,3,56,23,33
Wisła Płock,9,7,8,0,4,11,8,7,54,24,30
Zagłębie Lubin,5,12,8,0,7,11,7,3,53,25,28
