SĘDZIA,Śr. ŻK,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,Mecze
Bartosz Frankowski,"3,92",102,0,5,85,0,2,3,10,2,0,0,0,0,0,0,0,26
Daniel Stefański,"4,07",57,0,0,45,0,0,3,7,2,0,0,0,0,0,0,0,14
Jarosław Przybył,"4,64",130,3,5,110,3,1,10,4,1,2,0,2,0,0,0,0,28
Krzysztof Jakubik,"4,00",100,2,3,74,2,1,4,12,8,0,0,1,0,0,0,0,25
Łukasz Szczech,"3,23",42,0,1,33,0,1,3,4,1,0,0,0,0,0,0,0,13
Mariusz Złotek,"3,95",75,0,2,59,0,1,8,6,0,1,0,0,0,0,0,0,19
Paweł Gil,"4,21",101,2,6,87,2,4,5,1,1,1,1,1,0,0,0,0,24
Paweł Raczkowski,"4,96",124,4,7,101,2,7,4,6,5,1,0,0,0,2,0,0,25
Piotr Lasyk,"3,95",87,0,3,71,0,1,7,4,3,1,0,0,0,0,0,0,22
Szymon Marciniak,"4,93",138,1,7,121,1,6,8,2,0,1,0,0,0,0,0,0,28
Tomasz Kwiatkowski,"3,54",92,4,8,80,3,0,5,3,3,1,0,0,0,0,0,1,26
Tomasz Musiał,"3,92",98,0,2,87,0,1,5,1,2,2,0,0,0,0,0,0,25
Wojciech Myć,"5,63",45,5,6,39,3,1,0,3,1,1,0,0,1,1,0,0,8
Zbigniew Dobrynin,"4,50",27,0,0,25,0,0,0,1,1,0,0,0,0,0,0,0,6
Dominik Sulikowski,"5,00",10,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,2
Artur Aluszyk,"3,00",3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
Sebastian Jarzębak,"8,00",8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Damian Sylwestrzak,"2,00",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Łukasz Kuźma,"8,00",8,0,0,5,0,0,0,1,1,0,0,1,0,0,0,0,1
Damian Kos,"5,00",5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
