ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Jarosław Niezgoda,Legia Warszawa,14,2,16,1065,"76,1","66,6"
Alon Turgeman,Wisła Kraków,6,0,6,615,"102,5","102,5"
Łukasz Zwoliński,Lechia Gdańsk,7,0,7,797,"113,9","113,9"
Christian Gytkjaer,Lech Poznań,24,2,26,2734,"113,9","105,2"
Jose Kante,Legia Warszawa,10,2,12,1268,"126,8","105,7"
Tomas Pekhart,Legia Warszawa,5,1,6,643,"128,6","107,2"
Flavio Paixao,Lechia Gdańsk,14,1,15,1981,"141,5","132,1"
Aleksander Buksa,Wisła Kraków,4,0,4,586,"146,5","146,5"
Patryk Klimala,Jagiellonia,7,3,10,1072,"153,1","107,2"
Daniel Szelągowski,Korona Kielce,2,2,4,313,"156,5","78,3"
Marcus Vinicius,Arka Gdynia,3,1,4,494,"164,7","123,5"
Bartosz Białek,Zagłębie Lubin,9,2,11,1538,"170,9","139,8"
Paweł Brożek,Wisła Kraków,8,2,10,1411,"176,4","141,1"
Rafał Kujawa,ŁKS Łódź,4,0,4,715,"178,8","178,8"
Jorge Felix,Piast Gliwice,16,3,19,2914,"182,1","153,4"
Damjan Bohar,Zagłębie Lubin,15,5,20,2817,"187,8","140,9"
Igor Angulo,Górnik Zabrze,16,5,21,3035,"189,7","144,5"
Felicio Brown Forbes,Raków Częstochowa,10,1,11,1950,"195,0","177,3"
Adam Frączczak,Pogoń Szczecin,4,1,5,811,"202,8","162,2"
Piotr Parzyszek,Piast Gliwice,12,2,14,2477,"206,4","176,9"
Łukasz Sekulski,ŁKS Łódź,5,1,6,1057,"211,4","176,2"
Artur Sobiech,Lechia Gdańsk,6,2,8,1278,"213,0","159,8"
Samu Corral,ŁKS Łódź,3,1,4,654,"218,0","163,5"
Adam Buksa,Pogoń Szczecin,7,4,11,1541,"220,1","140,1"
Darko Jevtić,Lech Poznań,6,5,11,1415,"235,8","128,6"
Jesus Imaz,Jagiellonia,11,4,15,2654,"241,3","176,9"
Jakub Błaszczykowski,Wisła Kraków,7,5,12,1690,"241,4","140,8"
Jakov Puljić,Jagiellonia,5,0,5,1236,"247,2","247,2"
Srdan Spiridonović,Pogoń Szczecin,6,3,9,1549,"258,2","172,1"
Marko Vejinović,Arka Gdynia,8,0,8,2075,"259,4","259,4"
Arvydas Novikovas,Legia Warszawa,4,3,7,1081,"270,3","154,4"
Jesus Jimenez,Górnik Zabrze,12,6,18,3250,"270,8","180,6"
Rafael Lopes,Cracovia,11,3,14,3010,"273,6","215,0"
Joao Amaral,Lech Poznań,3,4,7,832,"277,3","118,9"
Paweł Cibicki,Pogoń Szczecin,3,1,4,855,"285,0","213,8"
Sasa Zivec,Zagłębie Lubin,9,6,15,2573,"285,9","171,5"
Erik Exposito,Śląsk Wrocław,8,3,11,2294,"286,8","208,5"
Walerian Gwilia,Legia Warszawa,8,5,13,2308,"288,5","177,5"
Dawit Schirtladze,Arka Gdynia,4,3,7,1172,"293,0","167,4"
Maciej Jankowski,Arka Gdynia,8,1,9,2371,"296,4","263,4"
Dani Ramirez,ŁKS/Lech,10,9,19,2985,"298,5","157,1"
Jakub Moder,Lech Poznań,5,3,8,1500,"300,0","187,5"
Petteri Forsell,Korona Kielce,4,1,5,1227,"306,8","245,4"
Ricardinho,Wisła Płock,4,1,5,1235,"308,8","247,0"
Mateusz Cholewiak,Śląsk/Legia,4,2,6,1261,"315,3","210,2"
Bartosz Bida,Jagiellonia,5,1,6,1656,"331,2","276,0"
Gerard Badia,Piast Gliwice,4,4,8,1349,"337,3","168,6"
Paweł Wszołek,Legia Warszawa,6,9,15,2028,"338,0","135,2"
Sławomir Peszko,Lechia Gdańsk,3,1,4,1041,"347,0","260,3"
Erik Jirka,Górnik Zabrze,4,0,4,1406,"351,5","351,5"
Pelle van Amersfoort,Cracovia,8,3,11,2857,"357,1","259,7"
Erik Pacinda,Korona Kielce,4,1,5,1442,"360,5","288,4"
Petr Schwarz,Raków Częstochowa,8,8,16,2902,"362,8","181,4"
Kamil Jóźwiak,Lech Poznań,8,4,12,2924,"365,5","243,7"
Sergiu Hanca,Cracovia,8,7,15,2927,"365,9","195,1"
Przemysław Płacheta,Śląsk Wrocław,8,5,13,3032,"379,0","233,2"
Jakub Kamiński,Lech Poznań,4,1,5,1516,"379,0","303,2"
Filip Starzyński,Zagłębie Lubin,8,12,20,3093,"386,6","154,7"
Robert Pich,Śląsk Wrocław,7,6,13,2728,"389,7","209,8"
Sebastian Musiolik,Raków Częstochowa,6,1,7,2612,"435,3","373,1"
Michał Nalepa I,Arka Gdynia,7,3,10,3051,"435,9","305,1"
Vukan Savicević,Wisła Kraków,4,3,7,1746,"436,5","249,4"
Łukasz Broź,Śląsk Wrocław,3,1,4,1343,"447,7","335,8"
Dominik Furman,Wisła Płock,7,5,12,3222,"460,3","268,5"
Michał Chrapek,Śląsk Wrocław,5,3,8,2353,"470,6","294,1"
Tomas Petrasek,Raków Częstochowa,6,0,6,3060,"510,0","510,0"
Piotr Tomasik,Wisła Płock,3,2,5,1536,"512,0","307,2"
Giorgi Merebaszwili,Wisła Płock,4,5,9,2073,"518,3","230,3"
Cillian Sheridan,Wisła Płock,2,2,4,1074,"537,0","268,5"
Luquinhas,Legia Warszawa,5,7,12,2716,"543,2","226,3"
