ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Christian Gytkjaer,Lech Poznań,24,2,18,4,0
Igor Angulo,Górnik Zabrze,16,13,0,3,0
Jorge Felix,Piast Gliwice,16,1,11,4,0
Damjan Bohar,Zagłębie Lubin,15,3,11,1,0
Jarosław Niezgoda,Legia Warszawa,14,5,5,4,0
Flavio Paixao,Lechia Gdańsk,14,2,9,3,0
Jesus Jimenez,Górnik Zabrze,12,2,8,2,0
Piotr Parzyszek,Piast Gliwice,12,2,5,5,0
Jesus Imaz,Jagiellonia,11,1,9,1,0
Rafael Lopes,Cracovia,11,1,6,4,0
Dani Ramirez,ŁKS/Lech,10,10,0,0,0
Felicio Brown Forbes,Raków Częstochowa,10,3,5,2,0
Jose Kante,Legia Warszawa,10,3,3,4,0
Sasa Zivec,Zagłębie Lubin,9,6,1,2,0
Bartosz Białek,Zagłębie Lubin,9,1,7,1,0
Erik Exposito,Śląsk Wrocław,8,4,1,3,0
Filip Starzyński,Zagłębie Lubin,8,1,7,0,0
Kamil Jóźwiak,Lech Poznań,8,1,6,0,1
Pelle van Amersfoort,Cracovia,8,0,5,3,0
Sergiu Hanca,Cracovia,8,0,8,0,0
Walerian Gwilia,Legia Warszawa,8,2,6,0,0
Paweł Brożek,Wisła Kraków,8,3,3,2,0
Przemysław Płacheta,Śląsk Wrocław,8,7,1,0,0
Petr Schwarz,Raków Częstochowa,8,0,8,0,0
Maciej Jankowski,Arka Gdynia,8,3,3,2,0
Marko Vejinović,Arka Gdynia,8,0,8,0,0
Adam Buksa,Pogoń Szczecin,7,5,2,0,0
Dominik Furman,Wisła Płock,7,1,6,0,0
Patryk Klimala,Jagiellonia,7,0,6,1,0
Robert Pich,Śląsk Wrocław,7,1,6,0,0
Jakub Błaszczykowski,Wisła Kraków,7,0,7,0,0
Michał Nalepa I,Arka Gdynia,7,1,6,0,0
Łukasz Zwoliński,Lechia Gdańsk,7,0,5,2,0
Artur Sobiech,Lechia Gdańsk,6,0,4,2,0
Darko Jevtić,Lech Poznań,6,6,0,0,0
Srdan Spiridonović,Pogoń Szczecin,6,3,3,0,0
Tomas Petrasek,Raków Częstochowa,6,1,0,5,0
Paweł Wszołek,Legia Warszawa,6,3,2,1,0
Sebastian Musiolik,Raków Częstochowa,6,2,0,4,0
Alon Turgeman,Wisła Kraków,6,3,2,1,0
Adnan Kovacević,Korona Kielce,5,0,4,1,0
Bartosz Bida,Jagiellonia,5,1,4,0,0
Łukasz Sekulski,ŁKS Łódź,5,1,3,1,0
Luquinhas,Legia Warszawa,5,0,4,1,0
Michał Chrapek,Śląsk Wrocław,5,1,4,0,0
Jakub Moder,Lech Poznań,5,3,2,0,0
Tomas Pekhart,Legia Warszawa,5,1,1,2,1
Jakov Puljić,Jagiellonia,5,1,3,1,0
Adam Frączczak,Pogoń Szczecin,4,2,2,0,0
Arvydas Novikovas,Legia Warszawa,4,4,0,0,0
Dino Stiglec,Śląsk Wrocław,4,2,2,0,0
Erik Pacinda,Korona Kielce,4,3,0,1,0
