SĘDZIA,M,RZK,ŚR.RZK,ARK,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,ŁKS,PIA,POG,RCZ,ŚLĄ,WIS,WPŁ,ZAG
Artur Aluszyk,1,1,"1,00",1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Zbigniew Dobrynin,6,1,"0,17",0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0
Bartosz Frankowski,26,14,"0,54",0/0,1/2,1/2,2/1,1/0,0/1,0/0,2/1,0/5,0/0,3/0,0/0,0/0,4/1,0/1,0/0
Paweł Gil,24,7,"0,29",0/1,1/0,0/1,0/0,0/2,0/0,2/1,1/0,0/0,0/0,0/1,0/0,0/0,1/0,0/0,2/1
Krzysztof Jakubik,25,4,"0,16",0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,1/0,1/0,1/1,0/0,0/0,0/1,0/1,0/1
Sebastian Jarzębak,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Damian Kos,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Łukasz Kuźma,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Tomasz Kwiatkowski,26,4,"0,15",0/0,0/0,0/0,0/1,0/0,1/0,2/0,0/0,0/0,0/2,0/0,0/0,0/1,0/0,1/0,0/0
Piotr Lasyk,22,11,"0,50",1/0,0/1,0/0,1/0,1/0,1/2,0/1,0/3,1/0,0/0,0/0,3/1,1/2,0/0,0/0,2/1
Szymon Marciniak,28,18,"0,64",3/3,1/1,1/1,2/1,0/0,1/1,2/2,0/2,2/1,2/1,1/2,1/1,1/1,0/0,0/0,1/1
Tomasz Musiał,25,7,"0,28",0/0,0/0,1/1,0/1,1/1,2/0,1/1,1/0,0/1,0/0,0/0,0/2,1/0,0/0,0/0,0/0
Wojciech Myć,8,3,"0,38",0/0,0/0,1/0,0/0,0/2,0/0,0/0,0/0,0/0,1/0,0/0,0/1,0/0,1/0,0/0,0/0
Jarosław Przybył,28,5,"0,18",0/0,0/0,0/0,0/0,0/0,1/0,1/0,0/2,1/0,0/0,0/0,0/2,1/0,0/0,1/1,0/0
Paweł Raczkowski,25,16,"0,64",2/1,1/0,1/1,0/2,0/0,1/0,0/2,0/0,2/1,3/2,1/0,0/1,3/2,1/2,1/1,0/1
Daniel Stefański,14,2,"0,14",0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/1,1/0,0/0,0/0
Dominik Sulikowski,2,1,"0,50",0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0
Damian Sylwestrzak,1,1,"1,00",0/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0
Łukasz Szczech,13,6,"0,46",0/1,0/0,0/1,0/0,0/0,0/0,1/0,0/0,1/0,0/1,0/1,1/0,1/0,1/0,0/2,1/0
Mariusz Złotek,19,5,"0,26",0/0,0/0,0/0,1/0,0/0,0/2,0/1,0/0,0/0,0/0,0/0,3/1,0/0,1/1,0/0,0/0
