Trener,M,Z,R,P,BZ,BS,ŚR GOLI,ŚR PKT,% zwycięstw,Dni w klubie
Ireneusz Mamrot,11,4,3,4,17,20,"3,36","1,36","36,4%",70
Michał Probierz,111,46,22,43,145,135,"2,52","1,44","41,4%",1124
Marcin Brosz,111,42,33,36,167,154,"2,89","1,43","37,8%",1507
Iwajło Petew,17,6,5,6,17,25,"2,47","1,35","35,3%",202
Maciej Bartoszek,34,12,6,16,43,49,"2,71","1,24","35,3%",135
Dariusz Żuraw,49,22,16,11,85,51,"2,78","1,67","44,9%",476
Piotr Stokowiec,85,37,24,24,114,104,"2,56","1,59","43,5%",867
Aleksandar Vuković,50,27,10,13,88,45,"2,66","1,82","54,0%",474
Wojciech Stawowy,11,1,1,9,8,24,"2,91","0,36","9,1%",76
Waldemar Fornalik,102,45,27,30,129,97,"2,22","1,59","44,1%",1034
Kosta Runjaić,96,38,28,30,128,121,"2,59","1,48","39,6%",986
Marek Papszun,37,16,5,16,51,56,"2,89","1,43","43,2%",1553
Vitezslav Lavicka,54,22,14,18,73,61,"2,48","1,48","40,7%",563
Artur Skowronek,22,10,4,8,30,30,"2,73","1,55","45,5%",248
Radosław Sobolewski,34,14,8,12,43,47,"2,65","1,47","41,2%",349
Martin Sevela,29,13,6,10,49,41,"3,10","1,55","44,8%",307
,,,,,,,,,Średnia dni,623
