KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/DLA
Arka,"11,24","3,84","4,70","2,70","24,04%","3,84","34,13%","8,89%"
Cracovia,"13,73","4,57","5,76","3,41","24,80%","4,02","33,27%","8,27%"
Górnik,"13,05","4,41","5,30","3,35","25,67%","3,47","33,75%","9,73%"
Jagiellonia,"14,97","4,59","5,62","4,76","31,77%","3,70","30,69%","8,30%"
Korona,"13,38","4,22","5,51","3,65","27,27%","6,00","31,52%","5,25%"
Lech,"16,65","5,97","5,65","5,03","30,19%","3,20","35,88%","11,20%"
Lechia,"11,84","3,95","4,92","2,97","25,11%","3,11","33,33%","10,73%"
Legia,"16,57","6,08","6,41","4,08","24,63%","3,36","36,70%","10,93%"
ŁKS,"14,51","4,19","5,51","4,81","33,15%","4,70","28,86%","6,15%"
Piast,"13,76","4,95","5,54","3,27","23,77%","4,82","35,95%","7,47%"
Pogoń,"13,84","4,24","5,70","3,89","28,13%","4,24","30,66%","7,23%"
Raków,"13,49","4,62","5,68","3,19","23,65%","3,72","34,27%","9,22%"
Śląsk,"12,78","4,35","5,43","3,00","23,47%","3,22","34,04%","10,57%"
Wisła K,"11,35","3,81","4,54","3,00","26,43%","3,28","33,57%","10,24%"
Wisła P,"10,73","4,11","4,38","2,24","20,91%","3,45","38,29%","11,08%"
Zagłębie,"14,89","5,35","5,59","3,95","26,50%","3,36","35,93%","10,71%"
