POZ.,KLUB,MECZE,PUNKTY,Z,R,P,S/P,S/P PRZECIW,B PKT
1.,Legia Warszawa,37,72,21,9,7,14,4,+3
2.,Lech Poznań,37,67,18,13,6,11,8,+1
3.,Piast Gliwice,37,62,18,8,11,10,8,+1
4.,Górnik Zabrze,37,59,17,8,12,15,7,+6
5.,Jagiellonia Białystok,37,56,15,11,11,9,9,+4
6.,Lechia Gdańsk,37,55,15,10,12,10,11,-1
7.,Zagłębie Lubin,37,54,15,9,13,11,13,+1
8.,Raków Częstochowa,37,54,15,9,13,8,5,+1
9.,Pogoń Szczecin,37,52,13,13,11,9,5,-2
10.,Wisła Płock,37,51,14,9,14,8,11,0
11.,Cracovia,37,48,14,6,17,8,10,-5
12.,Wisła Kraków,37,47,14,5,18,9,9,+2
13.,Śląsk Wrocław,37,43,10,13,14,4,13,-11
14.,Korona Kielce,37,40,11,7,19,9,7,+5
15.,Arka Gdynia,37,33,7,12,18,7,14,-7
16.,ŁKS Łódź,37,21,5,6,26,6,14,-3
