KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,22","1,17",53%,"15,33","5,00","5,83","4,50","32,61%","7,97%","5,72","1,39","3,22","14,67","2,33","0,22",ARK
Cracovia,"0,89","1,44",48%,"11,39","3,44","4,89","3,06","30,24%","7,80%","5,33","1,44","3,44","17,17","1,89","0,17",CRA
Górnik Zabrze,"1,05","1,89",52%,"15,84","4,37","6,32","5,16","27,57%","6,31%","6,21","1,68","3,58","12,79","1,63","0,11",GÓR
Jagiellonia,"1,00","1,39",49%,"11,28","3,83","4,72","2,72","33,99%","8,87%","4,11","3,17","4,06","16,44","2,39","0,17",JAG
Korona Kielce,"0,94","0,78",50%,"10,72","3,61","4,44","2,67","33,68%","8,81%","3,89","1,11","3,72","16,72","2,17","0,11",KOR
Lech Poznań,"0,74","2,11",42%,"10,05","3,26","4,26","2,53","32,46%","7,33%","3,95","1,95","4,16","14,16","2,11","0,21",LPO
Lechia Gdańsk,"1,22","1,11",48%,"13,33","4,11","5,17","4,06","30,83%","7,92%","4,78","0,94","2,56","13,67","1,67","0,06",LGD
Legia Warszawa,"0,84","2,53",47%,"8,16","2,95","3,26","1,95","36,13%","10,32%","3,11","0,84","4,58","16,37","2,16","0,11",LEG
ŁKS Łódź,"1,61","1,17",43%,"11,78","4,17","5,00","2,61","35,38%","10,38%","5,28","1,56","3,67","17,67","2,11","0,06",ŁKS
Piast Gliwice,"0,63","1,32",50%,"12,42","3,74","5,53","3,16","30,08%","5,08%","5,00","1,42","4,58","15,58","2,79","0,21",PIA
Pogoń Szczecin,"0,94","1,00",47%,"11,39","4,67","4,11","2,61","40,98%","7,80%","4,61","1,94","3,89","15,89","2,50","0,11",POG
Raków Częstochowa,"1,16","1,58",51%,"11,89","4,16","4,32","3,42","34,96%","8,85%","4,26","1,05","3,79","16,42","2,26","0,11",RCZ
Śląsk Wrocław,"1,47","1,95",50%,"11,89","4,32","5,16","2,42","36,28%","11,50%","4,11","1,68","3,05","13,84","1,68","0,00",ŚLĄ
Wisła Kraków,"1,00","1,39",48%,"15,17","4,61","5,67","4,89","30,40%","6,59%","6,17","1,56","2,78","13,83","2,22","0,06",WIS
Wisła Płock,"1,21","1,42",52%,"12,05","4,21","5,00","2,84","34,93%","9,17%","4,63","1,74","2,84","18,68","2,79","0,11",WPŁ
Zagłębie Lubin,"1,26","1,89",47%,"12,11","4,63","4,47","3,00","38,26%","10,00%","4,47","1,37","4,11","14,95","2,26","0,05",ZAG
