ZAWODNIK,KLUB,MIN,MECZE,OSTATNI GOL,PRZECIW
Maciej Wilusz,Śląsk Wrocław,7711,90,-,-
Bartosz Rymaniak,Piast Gliwice,7111,87,30.10.2017,Lechia
Martin Konczkowski,Piast Gliwice,6432,84,27.04.2018,Arka
Artur Jędrzejczyk,Legia Warszawa,6415,71,10.02.2019,Wisła P.
Erik Janza,Górnik Zabrze,5513,64,-,-
Damian Zbozień,Wisła Płock,5243,61,22.02.2019,Piast
Benedikt Zech,Pogoń Szczecin,5071,58,-,-
Adrian Gryszkiewicz,Górnik Zabrze,5024,59,-,-
Alan Czerwiński,Lech Poznań,4443,52,13.09.2019,Wisła P.
Mariusz Pawelec,Śląsk Wrocław,4088,51,19.05.2017,Arka
Inaki Astiz,Legia Warszawa,3936,49,05.12.2014,Górnik
Lubambo Musonda,Śląsk Wrocław,3821,54,-,-
Jakub Wójcicki,Zagłębie Lubin,3808,51,16.02.2019,Wisła P.
Michael Gardawski,Cracovia,3750,45,16.12.2018,Śląsk
Dorde Crnomarković,Zagłębie Lubin,3607,43,-,-
Ivan Marquez,Cracovia,3398,41,-,-
Kornel Osyra,Podbeskidzie Bielsko-Biała,3315,37,25.11.2016,Cracovia
Mariusz Malec,Pogoń Szczecin,3299,41,15.02.2019,Górnik
Lubomir Satka,Lech Poznań,3076,34,19.12.2019,Arka
Tomas Huk,Piast Gliwice,3067,38,-,-
Filip Modelski,Podbeskidzie Bielsko-Biała,2928,34,07.06.2015,Lechia
Luis Rocha,Cracovia,2740,36,-,-
Dino Stiglec,Śląsk Wrocław,2705,31,14.06.2020,ŁKS
Angel Garcia,Wisła Płock,2539,29,14.07.2020,Korona
Mateusz Spychała,Warta Poznań,2356,31,-,-
Jakub Holubek,Piast Gliwice,2236,28,-,-
Mateusz Hołownia,Legia Warszawa,2225,34,-,-
Kristers Tobers,Lechia Gdańsk,2173,27,-,-
Mark Tamas,Śląsk Wrocław,2168,25,15.07.2020,Jagiellonia
Hubert Matynia,Pogoń Szczecin,2155,29,30.11.2019,Arka
Błażej Augustyn,Jagiellonia Białystok,2104,27,28.09.2019,Legia
Josip Juranović,Legia Warszawa,2087,23,21.10.2020,Śląsk
Matej Rodin,Cracovia,2058,23,-,-
Andrej Kadlec,Jagiellonia Białystok,2011,27,20.04.2019,Lech
Robert Ivanov,Warta Poznań,1892,22,-,-
Dawid Szot,Wisła Kraków,1802,27,-,-
Mateusz Żyro,Stal Mielec,1800,29,-,-
Tomasz Mokwa,Piast Gliwice,1787,27,15.10.2016,Ruch
David Stec,Pogoń Szczecin,1769,23,08.12.2019,Piast
Dawid Szymonowicz,Cracovia,1742,21,12.09.2020,Stal
Giannis Massouras,Górnik Zabrze,1725,23,-,-
Paweł Stolarski,Pogoń Szczecin,1715,24,27.04.2019,Lechia
Milan Rundić,Podbeskidzie Bielsko-Biała,1697,20,-,-
Marko Vesović,Legia Warszawa,1665,20,18.08.2019,Zagłębie L.
Aleks Ławniczak,Warta Poznań,1650,18,25.09.2020,Wisła P.
Bożidar Czorbadżijski,Stal Mielec,1636,20,-,-
Jakub Czerwiński,Piast Gliwice,1588,17,23.11.2020,Lechia
Paweł Olszewski,Jagiellonia Białystok,1572,19,-,-
Ivan Runje,Jagiellonia Białystok,1572,18,21.06.2020,Cracovia
Jakub Rzeźniczak,Wisła Płock,1547,17,23.10.2020,Piast
Kamil Kościelny,Stal Mielec,1524,17,26.06.2020,Arka
Sasa Balić,Zagłębie Lubin,1483,16,21.11.2020,Stal
Kamil Pestka,Cracovia,1369,17,08.12.2019,Raków
Dominik Jończy,Zagłębie Lubin,1348,19,-,-
Igor Łasicki,Pogoń Szczecin,1338,18,13.04.2019,Zagłębie S.
Luis Mata,Pogoń Szczecin,1267,18,-,-
Kostas Triantafyllopoulos,Pogoń Szczecin,1232,14,13.09.2020,Wisła K.
Dmytro Baszłaj,Podbeskidzie Bielsko-Biała,1179,14,-,-
Jakub Kiełb,Warta Poznań,1165,13,30.01.2021,Cracovia
Łukasz Burliga,Wisła Kraków,1137,13,31.01.2021,Piast
Przemysław Wiśniewski,Górnik Zabrze,1106,12,15.02.2021,Stal
Kacper Chodyna,Zagłębie Lubin,1097,13,28.11.2020,Wisła K.
Maciej Sadlok,Wisła Kraków,1090,12,07.02.2021,Jagiellonia
Jarosław Jach,Raków Częstochowa,1078,15,07.06.2020,ŁKS
Ołeksij Dytiatjew,Cracovia,1066,13,06.10.2019,Górnik
Aleksander Paluszek,Górnik Zabrze,1023,14,-,-
Piotr Celeban,Śląsk Wrocław,995,11,12.09.2020,Lech
Rafał Pietrzak,Lechia Gdańsk,944,12,19.12.2020,Cracovia
Wasyl Kraweć,Lech Poznań,938,18,-,-
Łukasz Bejger,Śląsk Wrocław,937,11,-,-
Igor Lewczuk,Legia Warszawa,901,11,04.07.2020,Lech
Petar Mamić,Podbeskidzie Bielsko-Biała,870,11,-,-
Andrzej Niewulis,Raków Częstochowa,864,10,26.02.2021,Podbeskidzie
Bartosz Salamon,Lech Poznań,860,9,07.03.2021,Pogoń
Kacper Michalski,Górnik Zabrze,856,14,-,-
Jakub Bartkowski,Pogoń Szczecin,856,9,28.02.2021,Śląsk
Krystian Getinger,Stal Mielec,848,9,15.03.2021,Podbeskidzie
Tomasz Dejewski,Lech Poznań,846,13,-,-
Daniel Mikołajewski,Raków Częstochowa,835,11,-,-
Israel Puerto,Śląsk Wrocław,805,8,17.12.2020,Warta
Guillermo Cotugno,Śląsk Wrocław,802,12,-,-
Thomas Rogne,Lech Poznań,794,9,30.01.2021,Górnik
Albin Granlund,Stal Mielec,789,13,-,-
Bartosz Kieliba,Warta Poznań,775,9,25.09.2020,Wisła P.
Antonio Milić,Lech Poznań,765,9,-,-
Diego Ferraresso,Cracovia,740,12,25.11.2019,Zagłębie L.
Mario Maloca,Lechia Gdańsk,695,7,05.04.2021,Zagłębie
Mateusz Wieteska,Legia Warszawa,691,7,03.04.2021,Pogoń
Filip Mladenović,Legia Warszawa,664,7,03.04.2021,Pogoń
Adi Mehremić,Wisła Kraków,659,7,21.11.2020,Warta
Kristian Vallo,Wisła Płock,646,8,-,-
Stefanos Evangelou,Górnik Zabrze,635,9,-,-
Piotr Malarczyk,Piast Gliwice,624,7,11.12.2020,Podbeskidzie
Milan Obradović,Wisła Płock,609,8,-,-
Wojciech Lisowski,Stal Mielec,603,12,-,-
Jan Grzesik,Warta Poznań,546,6,05.04.2021,Górnik
Jakub Kuzdra,Warta Poznań,540,6,21.03.2021,Podbeskidzie
Artem Szabanow,Legia Warszawa,538,7,-,-
Bartłomiej Sielewski,Wisła Płock,516,12,15.09.2018,Miedź
Michal Frydrych,Wisła Kraków,501,5,09.04.2021,Raków
Bartłomiej Wdowik,Jagiellonia Białystok,484,6,20.03.2021,Lech
David Niepsuj,Podbeskidzie Bielsko-Biała,470,7,05.04.2021,Wisła K.
Wojciech Błyszko,Stal Mielec,468,6,-,-
Souleymane Kone,Wisła Kraków,459,7,-,-
Mateusz Bartolewski,Zagłębie Lubin,456,10,-,-
Marcin Flis,Stal Mielec,428,4,25.04.2021,Pogoń
Daniel Hoyo-Kowalski,Wisła Kraków,425,6,-,-
Kamil Piątkowski,Raków Częstochowa,421,4,17.04.2021,Lech
Konrad Gruszkowski,Wisła Kraków,398,7,-,-
Uros Radaković,Wisła Kraków,395,5,28.02.2021,Wisła P.
Damian Michalski,Wisła Płock,366,5,04.03.2021,Stal
Lorenco Simić,Zagłębie Lubin,364,4,28.02.2021,Cracovia
Wojciech Golla,Śląsk Wrocław,338,3,02.10.2020,Cracovia
Serafin Szota,Wisła Kraków,320,8,-,-
Jonathan de Amo,Stal Mielec,270,3,01.05.2021,Lech
Tomas Petrasek,Raków Częstochowa,259,2,02.10.2020,Wisła P.
Michał Koj,Górnik Zabrze,240,3,07.02.2021,Podbeskidzie
Michał Nalepa,Lechia Gdańsk,239,3,05.02.2021,Warta
Kamil Kruk,Zagłębie Lubin,234,2,24.04.2021,Piast
Rafał Janicki,Podbeskidzie Bielsko-Biała,229,2,20.04.2021,Śląsk
Bogdan Tiru,Jagiellonia Białystok,216,3,21.04.2021,Stal
Godfrey Stephen,Jagiellonia Białystok,208,3,-,-
Tymoteusz Puchacz,Lech Poznań,190,2,01.05.2021,Stal
Bartosz Kopacz,Lechia Gdańsk,189,2,30.04.2021,Wisła P.
Myrosław Mazur,Jagiellonia Białystok,181,3,-,-
