ZAWODNIK,KLUB,MECZE,PEŁNE,"W 1. ""11""",Z ŁAWKI,"W ""20""",CZAS
Lukas Hrosso,Cracovia,4,3,4,0,21,315
Karol Niemczycki,Cracovia,27,26,26,1,30,2385
Michal Peskovic,Cracovia,0,0,0,0,1,0
Adam Wilk,Cracovia,0,0,0,0,8,0
Krystian Bracik,Cracovia,0,0,0,0,1,0
Ołeksij Dytiatjew,Cracovia,0,0,0,0,7,0
Diego Ferraresso,Cracovia,8,2,5,3,29,440
Michael Gardawski,Cracovia,5,2,4,1,7,376
Michał Helik,Cracovia,1,1,1,0,2,90
David Jablonsky,Cracovia,2,2,2,0,2,180
Ivan Marquez,Cracovia,17,13,15,2,28,1308
Kamil Pestka,Cracovia,1,0,1,0,1,42
Mateusz Pieńczak,Cracovia,0,0,0,0,2,0
Cornel Rapa,Cracovia,30,27,29,1,30,2598
Luis Rocha,Cracovia,10,8,10,0,10,875
Matej Rodin,Cracovia,23,21,23,0,24,2058
Michal Siplak,Cracovia,13,6,10,3,13,857
Dawid Szymonowicz,Cracovia,24,19,20,4,28,1866
Jan Ziewiec,Cracovia,0,0,0,0,5,0
Marcin Budziński,Cracovia,2,0,1,1,4,67
Milan Dimun,Cracovia,23,8,14,9,25,1380
Ivan Fiolić,Cracovia,19,2,15,4,24,1120
Jakub Gut,Cracovia,1,0,0,1,1,5
Sergiu Hanca,Cracovia,21,12,21,0,21,1746
Jakub Kosecki,Cracovia,8,0,2,6,9,306
Florian Loshaj,Cracovia,23,6,14,9,26,1328
Sylwester Lusiusz,Cracovia,6,5,6,0,14,526
Maciej Mrozik,Cracovia,0,0,0,0,1,0
Jakub Myszor,Cracovia,1,0,0,1,6,28
Damir Sadiković,Cracovia,20,13,17,3,20,1530
Mateusz Supryn,Cracovia,0,0,0,0,1,0
Michał Rakoczy,Cracovia,0,0,0,0,2,0
Thiago,Cracovia,25,3,9,16,28,1038
Mateusz Wdowiak,Cracovia,3,1,2,1,3,214
Pelle van Amersfoort,Cracovia,28,26,28,0,28,2445
Tomas Vestenicky,Cracovia,11,0,3,8,13,394
Patryk Zaucha,Cracovia,7,0,6,1,18,347
Marcos Alvarez,Cracovia,21,2,16,5,22,1354
Przemysław Kapek,Cracovia,2,0,0,2,6,2
Daniel Pik,Cracovia,9,0,4,5,13,312
Filip Piszczek,Cracovia,22,0,4,18,25,657
Rivaldinho,Cracovia,24,2,18,6,26,1355
Sebastian Strózik,Cracovia,6,0,0,6,13,98
Martin Chudy,Górnik,30,30,30,0,30,2700
Jakub Grzesiak,Górnik,0,0,0,0,3,0
Dawid Kudła,Górnik,0,0,0,0,27,0
Bartosz Neugebauer,Górnik,0,0,0,0,4,0
Paweł Bochniewicz,Górnik,2,2,2,0,2,180
Stefanos Evangelou,Górnik,9,5,6,3,17,635
Adrian Gryszkiewicz,Górnik,27,26,27,0,27,2401
Erik Janza,Górnik,28,25,26,2,28,2423
Michał Koj,Górnik,14,10,11,3,23,983
Giannis Massouras,Górnik,23,8,20,3,24,1725
Kacper Michalski,Górnik,3,0,0,3,12,32
Aleksander Paluszek,Górnik,13,7,12,1,25,884
Przemysław Wiśniewski,Górnik,29,28,28,1,29,2565
Filip Bainović,Górnik,7,0,0,7,11,110
Bartłomiej Eizenchart,Górnik,0,0,0,0,11,0
Wojciech Hajda,Górnik,4,0,0,4,9,17
Jesus Jimenez,Górnik,29,23,28,1,29,2551
Krzysztof Kubica,Górnik,22,10,14,8,24,1278
Alasana Manneh,Górnik,27,9,21,6,27,1906
Bartosz Nowak,Górnik,29,11,25,4,30,2154
Roman Prochazka,Górnik,28,7,19,9,30,1705
Michał Rostkowski,Górnik,11,0,5,6,18,324
Adam Ryczkowski,Górnik,5,0,0,5,13,90
Daniel Ściślak,Górnik,20,0,4,16,27,642
Norbert Wojtuszek,Górnik,14,1,7,7,23,601
Richmond Boakye,Górnik,13,2,7,6,13,740
Piotr Krawczyk,Górnik,26,1,8,18,28,1112
Dariusz Pawłowski,Górnik,10,4,9,1,20,702
Alex Sobczyk,Górnik,26,0,21,5,27,1235
Łukasz Wolsztyński,Górnik,2,0,0,2,4,5
Xavier Dziekoński,Jagiellonia,16,15,15,1,25,1401
Jakub Jasionek,Jagiellonia,0,0,0,0,1,0
Pavels Steinbors,Jagiellonia,10,9,10,0,22,849
Damian Węglarz,Jagiellonia,5,5,5,0,13,450
Zoran Arsenić,Jagiellonia,1,1,1,0,1,90
Błażej Augustyn,Jagiellonia,24,16,21,3,24,1796
Bodvar Bodvarsson,Jagiellonia,13,8,9,4,13,885
Andrej Kadlec,Jagiellonia,3,0,0,3,4,63
Jan Majsterek,Jagiellonia,0,0,0,0,5,0
Miłosz Matysik,Jagiellonia,1,0,0,1,8,7
Myrosław Mazur,Jagiellonia,3,2,2,1,12,181
Bojan Nastić,Jagiellonia,9,5,9,0,9,687
Paweł Olszewski,Jagiellonia,17,13,17,0,18,1453
Szymon Pankiewicz,Jagiellonia,2,1,2,0,4,165
Ivan Runje,Jagiellonia,15,13,14,1,18,1235
Godfrey Stephen,Jagiellonia,3,2,2,1,9,208
Bogdan Tiru,Jagiellonia,25,18,23,2,28,2028
Bartłomiej Wdowik,Jagiellonia,21,8,17,4,23,1471
Maciej Bortniczuk,Jagiellonia,11,0,1,10,15,143
Ariel Borysiuk,Jagiellonia,15,2,5,10,20,599
Juan Camara,Jagiellonia,2,0,1,1,2,51
Fedor Cernych,Jagiellonia,16,0,9,7,18,855
Fernan Ferreiroa,Jagiellonia,11,0,6,5,19,405
Jesus Imaz,Jagiellonia,27,20,25,2,27,2267
Bartosz Kwiecień,Jagiellonia,12,1,7,5,12,610
Maciej Makuszewski,Jagiellonia,23,2,17,6,26,1372
Przemysław Mystkowski,Jagiellonia,18,1,10,8,23,856
Jakub Orpik,Jagiellonia,1,0,1,0,5,60
Martin Pospisil,Jagiellonia,29,18,26,3,29,2356
Tomas Prikryl,Jagiellonia,18,10,13,5,18,1235
Taras Romanczuk,Jagiellonia,25,21,23,2,25,2088
Kris Twardek,Jagiellonia,15,3,8,7,23,668
Kamil Wojtkowski,Jagiellonia,7,0,1,6,10,181
Konrad Wrzesiński,Jagiellonia,7,0,2,5,7,225
Mateusz Wyjadłowski,Jagiellonia,3,0,0,3,9,55
Bartosz Bida,Jagiellonia,17,1,7,10,25,717
Jakub Lutostański,Jagiellonia,0,0,0,0,1,0
Jakov Puljić,Jagiellonia,25,7,21,4,25,1864
