,CRA,GÓR,JAG,LEG,LGD,LPO,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
CRA,-,5,1,0,0,1,5,2,3,2 *,2,8,0,1,3,0
GÓR,0,-,2,0,2,1,0,2,9,0,18,9,0,1,0,1
JAG,7,3,-,8,1,10,0,2,0,1,1,0,1 *,3,4,0
LEG,4,0,0,-,1,7,2,5,1,6 *,0,10,6,3,2,3
LGD,1,7,0,0,-,0,3,4,0,0,4,6,1,11,0,1
LPO,1,2,0,2,4,-,6,1,0,4,0,1,1,0,13 *,1
PIA,9,3,0,0,1,0,-,7 *,0,2 *,1 *,2,0,0,6 *,6
POD,1,2,4,4,4,2,0,-,0,0,1 *,0,0,1,1 *,1
POG,3,3,2,3,1,0,4,2,-,0,13,4,3 *,3,1,1
RCZ,1,2,2 *,0,0,1,2 *,1 *,0,-,3 *,4 *,2 *,3,2,1
STM,3,0,4 *,1,0,4,1 *,1 *,6,0,-,1,0,0,2 *,0
ŚLĄ,10,2,4,0,1,3,5,7 *,12,4 *,2,-,1 *,2,3,5
WAR,3,0,1 *,0,0,0,1 *,1 *,0,0,2,0,-,2,1,1
WIS,1,3,7,0,0,0,0,1,2,0,7,0,0,-,0,0
WPŁ,0,0,3,0,0,1,0,1 *,1,1,2 *,1,0,0,-,2
ZAG,2,3,3,0,4,3,1,3,1,0,10 *,9,3 *,2,0,-
