,CRA,GÓR,JAG,LEG,LGD,LPO,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
CRA,-,3,9,0,0,1,2,0,7,0,0,0,2,0,2,1
GÓR,3,-,4,10,2,0,2,3,3,0,5,0,3,0,3,5
JAG,9,4,-,0,4,3,6,0,2,0,0,4,2 *,1,0,3
LEG,0,10,0,-,2,0,1,2,1,2,0,4,5,0,9,4
LGD,0,2,4,2,-,9,0,0,3,4 *,3,0,0,3,4,1
LPO,1,0,3,0,9,-,0,5,2,1,1,1,4,2,1,0
PIA,2,2,6,1,0,0,-,3,0,1,2 *,8,1,4,1,0
POD,0,3,0,2,0,5,3,-,1,2 *,2 *,4,2 *,5,0,3
POG,7,3,2,1,3,2,0,1,-,2,4,2,0,1,1,0
RCZ,0,0,0,2,4 *,1,1,2 *,2,-,2,2,4 *,1,0,4
STM,0,5,0,0,3,1,2 *,2 *,4,2,-,0,0,4,0,1
ŚLĄ,0,0,4,4,0,1,8,4,2,2,0,-,2 *,0,0,0
WAR,2,3,2 *,5,0,4,1,2 *,0,4 *,0,2 *,-,3,4 *,6 *
WIS,0,0,1,0,3,2,4,5,1,1,4,0,3,-,3,11
WPŁ,2,3,0,9,4,1,1,0,1,0,0,0,4 *,3,-,3
ZAG,1,5,3,4,1,0,0,3,0,4,1,0,6 *,11,3,-
