DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Średnia,DR,ŚREDNIA,"6,81","6,75","6,19","6,25","6,25","6,06","6,13","6,06","6,25","6,25","5,81","5,69","5,81","6,44","6,00","5,88","5,69","5,81","5,63","5,69","5,63","5,63","5,88","6,00","6,38","6,00","6,06","6,06","6,06","6,38",,
CRA,4,2,2,2,3,3,2,4,3,3,2,2,2,3,2,1,3,3,3,3,4,2,2,2,1,1,1,1,2,5,"2,43",CRA
GÓR,5,5,4,4,4,4,5,5,7,5,4,4,4,5,6,5,5,5,5,4,6,6,5,4,6,6,7,6,5,6,"5,07",GÓR
JAG,4,4,5,5,5,4,3,5,5,6,5,4,3,5,6,5,4,6,5,5,6,6,5,6,6,5,4,7,6,6,"5,03",JAG
LPO,6,6,6,7,6,5,6,5,6,6,5,5,5,5,7,4,5,3,3,4,4,3,5,3,3,4,3,5,4,3,"4,73",LPO
LGD,8,9,5,6,7,6,6,6,6,5,5,6,6,6,6,7,6,6,6,6,6,6,5,5,6,7,6,4,5,6,"6,00",LGD
LEG,6,6,5,5,6,5,6,6,6,5,6,6,5,6,6,7,6,6,5,6,5,6,5,5,6,6,6,5,6,6,"5,70",LEG
PIA,7,7,7,8,6,7,7,7,8,8,8,7,7,9,7,7,7,7,7,8,7,7,8,7,7,7,6,9,8,7,"7,30",PIA
POD,9,10,9,9,7,10,10,9,7,7,7,4,7,7,5,5,4,6,5,3,5,7,7,7,7,6,6,3,5,4,"6,57",POD
POG,8,7,6,5,7,5,6,5,5,5,5,5,6,7,7,6,6,5,6,8,6,6,6,6,7,7,8,8,8,8,"6,33",POG
RCZ,6,6,6,6,6,6,6,5,6,8,6,6,5,4,3,3,4,5,5,4,6,5,6,6,7,6,6,4,4,6,"5,40",RCZ
STM,9,9,9,10,10,10,10,10,9,9,9,9,9,9,8,7,7,6,6,8,5,6,6,8,9,8,7,9,9,8,"8,27",STM
ŚLĄ,7,7,6,5,5,5,6,5,6,5,5,6,5,6,5,5,4,5,5,3,4,3,7,8,8,6,8,7,6,6,"5,63",ŚLĄ
WAR,11,11,11,11,11,9,9,9,9,10,10,11,11,11,10,10,10,10,10,9,8,9,9,9,8,8,8,8,9,8,"9,57",WAR
WIS,6,6,6,5,4,5,5,5,6,4,4,4,5,5,4,5,4,5,5,6,4,4,3,4,4,5,5,5,4,6,"4,77",WIS
WPŁ,8,8,7,8,8,8,6,6,5,7,7,5,6,8,8,8,8,8,7,7,8,8,8,7,8,7,9,9,9,9,"7,50",WPŁ
ZAG,5,5,5,4,5,5,5,5,6,7,5,7,7,7,6,9,8,7,7,7,6,6,7,9,9,7,7,7,7,8,"6,50",ZAG
