ZAWODNIK,KLUB,POZYCJA,MECZE w ESA,GOLE w ESA,gole/mecz,MECZE w KLUBIE,GOLE w KLUBIE,gole/mecz w klubie
Lukas Hrosso,Cracovia,Bramkarz,21,0,"0,000",9,0,"0,000"
Karol Niemczycki,Cracovia,Bramkarz,27,0,"0,000",27,0,"0,000"
Adam Wilk,Cracovia,Bramkarz,11,0,"0,000",11,0,"0,000"
Ołeksij Dytiatjew,Cracovia,Obrońca,75,3,"0,040",75,3,"0,040"
Diego Ferraresso,Cracovia,Obrońca,72,1,"0,014",72,1,"0,014"
Michael Gardawski,Cracovia,Obrońca,80,1,"0,013",5,0,"0,000"
Ivan Marquez,Cracovia,Obrońca,65,0,"0,000",41,0,"0,000"
Kamil Pestka,Cracovia,Obrońca,51,1,"0,020",51,1,"0,020"
Cornel Rapa,Cracovia,Obrońca,153,6,"0,039",98,5,"0,051"
Luis Rocha,Cracovia,Obrońca,36,0,"0,000",10,0,"0,000"
Matej Rodin,Cracovia,Obrońca,23,0,"0,000",23,0,"0,000"
Michal Siplak,Cracovia,Obrońca,81,5,"0,062",81,5,"0,062"
Dawid Szymonowicz,Cracovia,Obrońca,59,2,"0,034",24,1,"0,042"
Marcin Budziński,Cracovia,Pomocnik,216,24,"0,111",147,23,"0,156"
Milan Dimun,Cracovia,Pomocnik,106,4,"0,038",106,4,"0,038"
Ivan Fiolić,Cracovia,Pomocnik,33,1,"0,030",33,1,"0,030"
Jakub Gut,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Sergiu Hanca,Cracovia,Pomocnik,71,14,"0,197",71,14,"0,197"
Radosław Kanach,Cracovia,Pomocnik,7,0,"0,000",7,0,"0,000"
Jakub Kosecki,Cracovia,Pomocnik,110,19,"0,173",8,0,"0,000"
Florian Loshaj,Cracovia,Pomocnik,35,2,"0,057",35,2,"0,057"
Sylwester Lusiusz,Cracovia,Pomocnik,34,0,"0,000",34,0,"0,000"
Jakub Myszor,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Daniel Pik,Cracovia,Pomocnik,20,0,"0,000",20,0,"0,000"
Damir Sadiković,Cracovia,Pomocnik,20,0,"0,000",20,0,"0,000"
Mateusz Supryn,Cracovia,Pomocnik,1,0,"0,000",1,0,"0,000"
Thiago,Cracovia,Pomocnik,37,2,"0,054",37,2,"0,054"
Pelle van Amersfoort,Cracovia,Pomocnik,62,14,"0,226",62,14,"0,226"
Tomas Vestenicky,Cracovia,Pomocnik,62,4,"0,065",62,4,"0,065"
Patryk Zaucha,Cracovia,Pomocnik,7,0,"0,000",7,0,"0,000"
Marcos Alvarez,Cracovia,Napastnik,21,2,"0,095",21,2,"0,095"
Tomasz Bała,Cracovia,Napastnik,1,0,"0,000",1,0,"0,000"
Przemysław Kapek,Cracovia,Napastnik,2,0,"0,000",2,0,"0,000"
Filip Piszczek,Cracovia,Napastnik,97,14,"0,144",65,8,"0,123"
Rivaldinho,Cracovia,Napastnik,24,1,"0,042",24,1,"0,042"
Sebastian Strózik,Cracovia,Napastnik,39,1,"0,026",39,1,"0,026"
Vinicius Ferreira,Cracovia,Napastnik,1,0,"0,000",1,0,"0,000"
Martin Chudy,Górnik,Bramkarz,84,0,"0,000",84,0,"0,000"
Dawid Kudła,Górnik,Bramkarz,64,0,"0,000",0,0,-
Stefanos Evangelou,Górnik,Obrońca,9,0,"0,000",9,0,"0,000"
Adrian Gryszkiewicz,Górnik,Obrońca,59,0,"0,000",59,0,"0,000"
Erik Janza,Górnik,Obrońca,64,0,"0,000",64,0,"0,000"
Michał Koj,Górnik,Obrońca,116,10,"0,086",67,5,"0,075"
Giannis Massouras,Górnik,Obrońca,23,0,"0,000",23,0,"0,000"
Kacper Michalski,Górnik,Obrońca,14,0,"0,000",14,0,"0,000"
Aleksander Paluszek,Górnik,Obrońca,15,0,"0,000",15,0,"0,000"
Przemysław Wiśniewski,Górnik,Obrońca,89,2,"0,022",89,2,"0,022"
Jesus Jimenez,Górnik,Pomocnik,102,29,"0,284",102,29,"0,284"
Krzysztof Kubica,Górnik,Pomocnik,22,0,"0,000",22,0,"0,000"
Alasana Manneh,Górnik,Pomocnik,51,4,"0,078",51,4,"0,078"
Bartosz Nowak,Górnik,Pomocnik,46,6,"0,130",29,5,"0,172"
Dariusz Pawłowski,Górnik,Pomocnik,18,0,"0,000",18,0,"0,000"
Roman Prochazka,Górnik,Pomocnik,42,0,"0,000",42,0,"0,000"
Michał Rostkowski,Górnik,Pomocnik,12,0,"0,000",12,0,"0,000"
Daniel Ściślak,Górnik,Pomocnik,42,1,"0,024",42,1,"0,024"
Norbert Wojtuszek,Górnik,Pomocnik,14,0,"0,000",14,0,"0,000"
Richmond Boakye,Górnik,Napastnik,13,0,"0,000",13,0,"0,000"
Piotr Krawczyk,Górnik,Napastnik,38,5,"0,132",38,5,"0,132"
Alex Sobczyk,Górnik,Napastnik,26,3,"0,115",26,3,"0,115"
Xavier Dziekoński,Jagiellonia,Bramkarz,18,0,"0,000",18,0,"0,000"
Pavels Steinbors,Jagiellonia,Bramkarz,180,0,"0,000",10,0,"0,000"
Damian Węglarz,Jagiellonia,Bramkarz,35,0,"0,000",35,0,"0,000"
Błażej Augustyn,Jagiellonia,Obrońca,107,7,"0,065",36,0,"0,000"
Andrej Kadlec,Jagiellonia,Obrońca,30,1,"0,033",30,1,"0,033"
Miłosz Matysik,Jagiellonia,Obrońca,1,0,"0,000",1,0,"0,000"
Myrosław Mazur,Jagiellonia,Obrońca,3,0,"0,000",3,0,"0,000"
Bojan Nastić,Jagiellonia,Obrońca,9,1,"0,111",9,1,"0,111"
Paweł Olszewski,Jagiellonia,Obrońca,19,0,"0,000",19,0,"0,000"
Szymon Pankiewicz,Jagiellonia,Obrońca,2,0,"0,000",2,0,"0,000"
Ivan Runje,Jagiellonia,Obrońca,138,9,"0,065",138,9,"0,065"
Godfrey Stephen,Jagiellonia,Obrońca,3,0,"0,000",3,0,"0,000"
Bogdan Tiru,Jagiellonia,Obrońca,36,3,"0,083",36,3,"0,083"
Bartłomiej Wdowik,Jagiellonia,Obrońca,29,2,"0,069",29,2,"0,069"
Maciej Bortniczuk,Jagiellonia,Pomocnik,11,0,"0,000",11,0,"0,000"
Ariel Borysiuk,Jagiellonia,Pomocnik,228,10,"0,044",28,1,"0,036"
Fedor Cernych,Jagiellonia,Pomocnik,136,31,"0,228",98,19,"0,194"
Fernan Ferreiroa,Jagiellonia,Pomocnik,11,0,"0,000",11,0,"0,000"
Jesus Imaz,Jagiellonia,Pomocnik,123,46,"0,374",76,32,"0,421"
Maciej Makuszewski,Jagiellonia,Pomocnik,235,28,"0,119",77,9,"0,117"
Przemysław Mystkowski,Jagiellonia,Pomocnik,68,3,"0,044",68,3,"0,044"
Jakub Orpik,Jagiellonia,Pomocnik,1,0,"0,000",1,0,"0,000"
Martin Pospisil,Jagiellonia,Pomocnik,133,9,"0,068",133,9,"0,068"
Tomas Prikryl,Jagiellonia,Pomocnik,49,4,"0,082",49,4,"0,082"
Taras Romanczuk,Jagiellonia,Pomocnik,219,23,"0,105",219,23,"0,105"
Kris Twardek,Jagiellonia,Pomocnik,15,0,"0,000",15,0,"0,000"
Konrad Wrzesiński,Jagiellonia,Pomocnik,30,3,"0,100",7,0,"0,000"
Bartosz Bida,Jagiellonia,Napastnik,42,7,"0,167",42,7,"0,167"
Jakov Puljić,Jagiellonia,Napastnik,41,16,"0,390",41,16,"0,390"
Krzysztof Toporkiewicz,Jagiellonia,Napastnik,3,0,"0,000",3,0,"0,000"
Maciej Twarowski,Jagiellonia,Napastnik,4,0,"0,000",4,0,"0,000"
Filip Bednarek,Lech,Bramkarz,15,0,"0,000",15,0,"0,000"
Łukasz Radliński,Lech,Bramkarz,1,0,"0,000",0,0,-
Mickey van der Hart,Lech,Bramkarz,49,0,"0,000",49,0,"0,000"
Alan Czerwiński,Lech,Obrońca,107,2,"0,019",25,0,"0,000"
Tomasz Dejewski,Lech,Obrońca,13,0,"0,000",13,0,"0,000"
Wasyl Kraweć,Lech,Obrońca,18,0,"0,000",18,0,"0,000"
Antonio Milić,Lech,Obrońca,9,0,"0,000",9,0,"0,000"
Krystian Palacz,Lech,Obrońca,3,0,"0,000",3,0,"0,000"
Tymoteusz Puchacz,Lech,Obrońca,65,4,"0,062",63,4,"0,063"
Thomas Rogne,Lech,Obrońca,61,4,"0,066",61,4,"0,066"
Bartosz Salamon,Lech,Obrońca,13,1,"0,077",13,1,"0,077"
Lubomir Satka,Lech,Obrońca,48,1,"0,021",48,1,"0,021"
Jakub Kamiński,Lech,Pomocnik,52,5,"0,096",52,5,"0,096"
Jesper Karlstrom,Lech,Pomocnik,16,0,"0,000",16,0,"0,000"
Tymoteusz Klupś,Lech,Pomocnik,32,1,"0,031",30,1,"0,033"
Antoni Kozubal,Lech,Pomocnik,1,0,"0,000",1,0,"0,000"
