SĘDZIA,M,RZK,ŚR.RZK,CRA,GÓR,JAG,LPO,LGD,LEG,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
Artur Aluszyk,2,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Zbigniew Dobrynin,7,4,"0,57",0/0,0/0,1/0,0/0,0/1,0/0,1/0,1/0,0/0,0/0,0/0,0/1,0/1,0/0,0/1,1/0
Bartosz Frankowski,19,14,"0,74",2/0,1/1,0/0,1/1,2/1,1/4,2/3,0/0,0/0,0/0,3/1,0/1,1/0,1/2,0/0,0/0
Paweł Gil,19,6,"0,32",0/0,0/0,0/0,2/0,0/1,2/0,0/0,0/1,0/0,1/2,0/0,0/0,0/0,1/0,0/1,0/1
Krzysztof Jakubik,18,8,"0,44",2/0,0/1,1/0,0/0,0/1,0/0,2/0,0/0,1/0,0/2,0/0,0/3,2/0,0/1,0/0,0/0
Sebastian Jarzębak,9,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Damian Kos,5,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Sebastian Krasny,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Łukasz Kuźma,4,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Tomasz Kwiatkowski,20,5,"0,25",0/0,1/0,0/1,0/2,1/1,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,2/0,0/0
Piotr Lasyk,12,5,"0,42",1/0,0/0,0/0,1/1,0/0,0/2,0/0,0/0,0/0,0/0,0/0,1/0,1/1,0/0,0/1,1/0
Paweł Malec,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Szymon Marciniak,21,11,"0,52",1/1,0/0,1/2,0/0,0/0,2/2,0/0,1/0,1/1,0/1,1/0,2/0,0/0,1/2,0/0,1/2
Wojciech Myć,8,2,"0,25",0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,1/0,0/1,0/0,0/0,0/0,0/0,0/1
Jarosław Przybył,23,8,"0,35",1/0,0/0,0/1,1/1,1/1,2/0,0/0,0/2,1/0,0/0,1/0,0/1,0/0,0/2,1/0,0/0
Paweł Raczkowski,17,5,"0,29",1/0,0/1,0/1,0/0,0/0,0/0,0/1,1/0,0/0,0/0,0/2,0/0,0/0,1/0,0/0,2/0
Daniel Stefański,18,5,"0,28",0/1,1/1,0/0,0/0,0/1,0/0,0/0,0/0,0/0,1/0,1/0,0/0,0/1,1/0,1/0,0/1
Dominik Sulikowski,4,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Damian Sylwestrzak,12,5,"0,42",0/0,1/0,0/1,0/0,0/0,0/0,0/0,0/3,1/1,3/0,0/0,0/0,0/0,0/0,0/0,0/0
Łukasz Szczech,9,6,"0,67",0/0,1/0,0/0,1/0,1/2,0/0,1/0,0/2,1/0,0/0,0/0,0/0,0/1,0/0,1/1,0/0
Tomasz Wajda,2,1,"0,50",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0
Mariusz Złotek,9,5,"0,56",0/0,1/0,0/2,0/0,0/0,1/0,1/0,0/1,0/0,2/0,0/0,0/0,0/0,0/1,0/1,0/0
