,CRA,GÓR,JAG,LPO,LGD,LEG,PIA,POD,POG,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG,D,W,82:69,95:75,115:67,85:95,83:78,48:86,77:77,88:63,82:86,58:83,100:48,103:67,94:63,85:77,71:63,82:71,
CRA,X,1:6,3:7,3:4,6:3,5:5,1:8,6:3,8:4,7:4,4:2,3:5,5:6,4:4,3:5,3:8,62:74
GÓR,3:4,X,8:3,8:3,7:8,7:7,9:2,4:3,3:6,4:10,10:4,7:3,10:7,9:5,5:1,0:4,94:70
JAG,1:8,6:5,X,7:4,6:8,1:7,3:5,7:6,1:7,4:7,5:6,6:7,5:4,4:2,6:6,2:5,64:87
LPO,9:6,10:6,8:4,X,6:5,2:6,7:6,9:3,4:7,6:8,3:2,8:2,5:4,14:4,6:7,8:3,105:73
LGD,9:2,4:5,5:4,7:8,X,4:9,5:7,9:5,6:7,2:5,11:6,4:7,9:3,5:7,3:4,3:4,86:83
LEG,9:0,5:3,13:3,8:6,3:3,X,11:1,4:7,3:4,2:3,8:0,12:2,4:3,7:4,2:5,7:3,98:47
PIA,2:6,5:7,8:5,3:5,0:9,1:10,X,4:9,8:3,2:3,4:2,6:8,5:3,5:2,3:2,2:1,58:75
POD,4:9,8:5,9:2,5:4,2:4,2:7,6:10,X,9:7,3:8,5:3,9:2,4:2,6:5,4:5,5:6,81:79
POG,5:4,6:4,10:3,8:3,5:3,5:8,8:1,13:3,X,6:1,8:1,3:5,5:2,8:3,3:8,7:1,100:50
RCZ,4:1,14:3,4:8,4:7,6:2,5:3,4:2,1:3,8:0,X,11:1,10:1,7:6,10:4,3:3,5:5,96:49
STM,4:4,4:5,12:4,9:9,15:2,2:4,3:12,5:2,4:11,2:5,X,3:5,5:10,2:5,10:2,15:6,95:86
ŚLĄ,8:8,5:5,7:4,4:8,4:2,2:4,5:7,4:5,7:11,3:7,2:9,X,5:4,3:13,9:5,3:7,71:99
WAR,2:7,4:6,8:6,5:11,4:5,7:2,5:3,4:1,3:5,5:4,7:4,5:11,X,5:9,4:4,5:11,73:89
WIS,10:3,9:10,8:3,2:8,7:6,2:6,2:0,6:8,5:6,5:3,7:3,13:2,12:5,X,6:6,13:3,107:72
WPŁ,7:1,12:3,2:10,5:4,9:9,3:3,6:5,5:0,8:3,2:9,7:3,5:5,5:3,2:2,X,4:4,82:64
ZAG,5:6,2:2,10:1,7:11,3:9,0:5,2:8,7:5,5:5,5:6,8:2,9:2,8:1,1:8,4:0,X,76:71
