KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,5,4,1,0,10,2,4,4
Górnik Zabrze,6,3,2,1,8,3,0,5
Jagiellonia,7,4,3,0,7,2,1,4
Lech Poznań,6,4,1,1,6,0,3,3
Lechia Gdańsk,7,5,1,1,8,1,2,5
Legia Warszawa,9,8,1,0,4,1,0,3
Piast Gliwice,7,5,2,0,7,1,0,6
Podbeskidzie,10,5,4,1,5,1,0,4
Pogoń Szczecin,8,8,0,0,5,0,3,2
Raków Częstochowa,9,9,0,0,3,0,0,3
Stal Mielec,4,3,1,0,8,1,1,6
Śląsk Wrocław,9,6,3,0,3,1,1,1
Warta Poznań,7,5,0,2,6,1,0,5
Wisła Kraków,7,3,0,4,6,1,0,5
Wisła Płock,6,4,1,1,8,0,2,6
Zagłębie Lubin,6,3,2,1,9,4,3,2
