KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,7,5,2,0,16,3,10,3,7,0,1,6
Górnik Zabrze,8,5,2,1,11,4,4,3,11,1,1,9
Jagiellonia,8,6,2,0,13,2,3,8,9,2,2,5
Lech Poznań,9,4,2,3,13,5,3,5,8,0,5,3
Lechia Gdańsk,9,7,1,1,12,4,2,6,9,1,3,5
Legia Warszawa,9,9,0,0,17,8,7,2,4,2,0,2
Piast Gliwice,8,7,1,0,13,2,7,4,9,2,1,6
Podbeskidzie,8,3,3,2,10,2,4,4,12,1,0,11
Pogoń Szczecin,10,9,1,0,13,6,5,2,7,0,1,6
Raków Częstochowa,12,10,2,0,14,6,6,2,4,1,0,3
Stal Mielec,5,2,1,2,13,3,6,4,12,1,4,7
Śląsk Wrocław,9,6,1,2,17,4,7,6,4,1,2,1
Warta Poznań,6,4,0,2,17,8,3,6,7,1,1,5
Wisła Kraków,7,4,0,3,20,4,9,7,3,0,0,3
Wisła Płock,6,4,2,0,13,4,6,3,11,0,1,10
Zagłębie Lubin,7,4,3,0,12,4,4,4,11,3,1,7
