KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,4,2,2,0,7,0,6,1,4,0,0,4
Górnik Zabrze,3,2,0,1,6,2,3,1,6,0,1,5
Jagiellonia,3,2,1,0,7,1,0,6,5,1,1,3
Lech Poznań,6,3,1,2,5,2,0,3,4,0,2,2
Lechia Gdańsk,4,4,0,0,7,2,2,3,4,0,1,3
Legia Warszawa,4,4,0,0,10,5,4,1,1,1,0,0
Piast Gliwice,3,2,1,0,6,2,4,0,6,1,1,4
Podbeskidzie,4,0,2,2,4,0,1,3,7,0,0,7
Pogoń Szczecin,5,4,1,0,6,3,1,2,4,0,0,4
Raków Częstochowa,6,4,2,0,7,3,3,1,2,1,0,1
Stal Mielec,2,0,0,2,7,2,3,2,6,0,3,3
Śląsk Wrocław,4,2,0,2,8,1,2,5,3,1,1,1
Warta Poznań,3,2,0,1,9,5,1,3,3,0,1,2
Wisła Kraków,3,2,0,1,11,2,7,2,1,0,0,1
Wisła Płock,4,2,2,0,5,2,3,0,6,0,0,6
Zagłębie Lubin,3,3,0,0,7,1,3,3,5,0,0,5
