KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,20","1,20",49%,"12,93","3,87","4,73","4,33","29,90%","8,76%","4,13","1,47","3,33","16,60","2,80","0,27",CRA
Górnik Zabrze,"1,47","1,33",52%,"15,73","5,33","6,07","4,33","33,90%","9,32%","6,27","1,53","2,33","13,47","2,40","0,00",GÓR
Jagiellonia,"1,53","1,27",48%,"12,60","4,47","5,07","3,07","35,45%","12,17%","4,27","2,07","3,73","14,13","2,60","0,27",JAG
Lech Poznań,"1,27","1,13",60%,"16,67","5,47","5,93","5,27","32,80%","7,60%","7,00","1,67","3,60","13,53","1,87","0,00",LPO
Lechia Gdańsk,"1,53","1,20",52%,"14,40","4,33","5,40","4,67","30,09%","10,19%","5,73","1,47","3,00","16,00","2,80","0,20",LGD
Legia Warszawa,"1,93","1,27",59%,"16,67","6,13","6,53","4,00","36,80%","11,60%","6,53","1,47","2,40","14,60","1,67","0,07",LEG
Piast Gliwice,"1,20","1,00",52%,"12,93","4,13","5,40","3,40","31,96%","8,76%","3,87","2,00","3,07","12,87","1,53","0,00",PIA
Podbeskidzie,"1,13","1,53",49%,"11,93","4,00","4,27","3,67","33,52%","9,50%","5,40","1,53","3,07","15,87","2,27","0,00",POD
Pogoń Szczecin,"1,13","0,53",58%,"13,67","4,40","6,13","3,13","32,20%","7,32%","6,67","2,13","1,93","13,13","1,60","0,00",POG
Raków Częstochowa,"1,27","0,60",48%,"12,40","5,00","4,53","2,87","40,32%","10,22%","6,40","1,73","1,87","15,73","2,20","0,13",RCZ
Stal Mielec,"0,80","1,33",47%,"13,67","4,60","5,60","3,47","33,66%","5,85%","6,33","1,40","3,27","13,53","1,93","0,13",STM
Śląsk Wrocław,"1,40","0,87",47%,"13,93","4,60","6,07","3,27","33,01%","10,05%","4,73","1,47","3,20","14,93","1,47","0,13",ŚLĄ
Warta Poznań,"0,93","1,00",46%,"9,60","3,07","4,27","2,27","31,94%","9,72%","4,87","1,20","2,47","12,73","1,33","0,07",WAR
Wisła Kraków,"1,27","1,60",52%,"12,73","4,33","5,07","3,33","34,03%","8,90%","7,13","1,93","3,40","14,40","2,73","0,00",WIS
Wisła Płock,"1,20","1,27",54%,"11,20","4,67","4,47","2,07","41,67%","10,12%","5,47","1,13","2,13","16,60","2,27","0,00",WPŁ
Zagłębie Lubin,"1,60","1,27",52%,"12,53","4,27","5,20","3,07","34,04%","12,23%","5,07","1,80","3,40","13,40","2,20","0,07",ZAG
