KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,47,63,73,13,84,76,68,35,459,196,263
Bruk-Bet,2,6,7,0,7,3,3,2,30,15,15
Cracovia,3,1,5,0,5,3,3,3,23,9,14
Górnik Łęczna,5,7,6,2,3,2,6,2,33,20,13
Górnik Zabrze,5,6,7,2,2,7,2,3,34,20,14
Jagiellonia,0,1,5,3,9,5,7,0,30,9,21
Lech Poznań,3,3,2,0,4,1,3,1,17,8,9
Lechia Gdańsk,5,2,3,0,4,10,3,1,28,10,18
Legia Warszawa,3,4,5,0,5,4,4,2,27,12,15
Piast Gliwice,1,1,4,1,3,3,0,2,15,7,8
Pogoń Szczecin,0,3,1,1,1,0,3,3,12,5,7
Radomiak Radom,3,3,0,1,5,1,4,1,18,7,11
Raków Częstochowa,2,2,4,0,1,5,2,1,17,8,9
Stal Mielec,3,2,7,0,4,5,9,1,31,12,19
Śląsk Wrocław,2,5,2,0,10,4,1,3,27,9,18
Warta Poznań,1,2,1,1,4,3,1,3,16,5,11
Wisła Kraków,1,3,6,1,7,9,4,2,33,11,22
Wisła Płock,3,7,6,1,4,8,6,2,37,17,20
Zagłębie Lubin,5,5,2,0,6,3,7,3,31,12,19
