KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,46,52,56,13,63,55,53,21,359,167,192
Bruk-Bet,4,1,3,1,4,0,3,1,17,9,8
Cracovia,1,2,2,1,4,3,3,0,16,6,10
Górnik Łęczna,2,3,3,1,2,1,2,0,14,9,5
Górnik Zabrze,5,2,8,0,6,4,3,1,29,15,14
Jagiellonia,0,1,1,0,5,6,1,2,16,2,14
Lech Poznań,4,4,2,1,6,5,4,1,27,11,16
Lechia Gdańsk,2,2,4,2,5,1,3,3,22,10,12
Legia Warszawa,0,2,6,0,3,2,4,0,17,8,9
Piast Gliwice,1,5,6,1,2,5,2,0,22,13,9
Pogoń Szczecin,6,2,2,0,4,4,2,2,22,10,12
Radomiak Radom,2,4,4,0,1,3,1,1,16,10,6
Raków Częstochowa,1,4,2,1,5,7,3,2,25,8,17
Stal Mielec,4,1,3,2,4,1,3,0,18,10,8
Śląsk Wrocław,4,5,1,0,2,1,8,3,24,10,14
Warta Poznań,1,6,2,0,1,3,5,1,19,9,10
Wisła Kraków,2,2,1,1,5,1,3,1,16,6,10
Wisła Płock,5,3,4,1,2,3,2,1,21,13,8
Zagłębie Lubin,2,3,2,1,2,5,1,2,18,8,10
