,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
BBT,-,1,2,2,1,0,0,0,0,1,2 *,0,0,2,2 *,0,2,0
CRA,0,-,0,0,2,1,1,0,0,2,1,6 *,5,1,0,1,1,2
GKŁ,3,7,-,0,0,0,0,0,0,0,1,0,1,4,1,1,0,1
GÓR,1,2,4,-,0,0,0,0,1,1,1,3,6,4,0,0,0,3
JAG,0,1,1,1,-,0,4,1,0,0,2 *,0,3,2,2,2,0,2
LPO,8,2,13,6,1,-,0,3,7,3,0,0,2,6,4,3,2,3
LGD,2,0,4,3,0,1,-,0,0,1,0,0,4,9,4,7,0,5
LEG,3,1,3,1,3,1,1,-,0,0,0,1,0,1,0,1,0,4
PIA,4,1,3,8,3,0,1,2,-,0,2 *,0,3,3,1,2,4,1
POG,4,3,6,3,5,0,4,2,8,-,4 *,0,2,2,6,2,0,1
RAD,2 *,0,0,3,2 *,2,3,2,2 *,0,-,0,1,2,0,4 *,1,0
RCZ,2 *,1,2 *,1,1,4,1,2,5,3,2 *,-,7,3,5,5,6,0
STM,2 *,0,0,0,9,0,0,4,1,0,2 *,0,-,1,0,2,0,0
ŚLĄ,0,0,2,0,4,0,0,0,0,1,4 *,1,7,-,0,7,3,3
WAR,0,1,2 *,1,3,0,0,1,0,3,1,0,5,2,-,6,1,1
WIS,4,5,2,5,1,1,2,0,1,0,0,0,0,1,0,-,0,0
WPŁ,0,0,1,1,3,0,1,1,0,2,2 *,0,1,0,0,2,-,0
ZAG,7,0,0,0,0,0,1,0,4,0,1,1,1,1,0,1,1,-
