,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
BBT,-,0,2,1,1,0,0,4 *,0,0,1 *,0,1 *,1,1 *,2,1,0
CRA,0,-,0,6,2,2,1,1,0,4,0,3 *,3,0,1,2,4,1
GKŁ,2,4,-,0,0,1,0,0,3,0,1 *,1 *,1 *,1,0,0,1,1
GÓR,3 *,1,3,-,0,0,0,1,0,10,2 *,1,19,10,1,0,1,2
JAG,3,8,0,0,-,11,2,9,1,0,1 *,2,2,1,2 *,4,0,1
LPO,4 *,2,8 *,3,1,-,5,3,7,1,2 *,0,1,2,2,1,14 *,2
LGD,1,2,4 *,8,0,1,-,1,4,1,2 *,1,5,7,2,12,1,2
LEG,5 *,5,5,1,1,0,2,-,0,0,0,0,0,11,0,4,3,4
PIA,5 *,0,4,4,1,0,2,1,-,0,1 *,0,2 *,3,0,1,7 *,0
POG,2,4,3,4,3,0,2,4,5,-,2 *,0,14,5,4 *,4,0,2
RAD,1 *,0,1 *,2 *,1 *,2 *,2 *,2 *,1 *,2 *,-,0,1 *,2 *,1 *,2 *,1 *,0
RCZ,1 *,2,1 *,0,3 *,2,1,1,3 *,1,1 *,-,4 *,5 *,3 *,4,3,2
STM,1 *,0,1 *,0,5 *,5,1,2,0,0,1 *,0,-,2,0,1,3 *,1
ŚLĄ,0,0,1,0,5,0,2,1,0,13,2 *,0,3,-,2 *,3,4,6
WAR,1 *,4,1 *,1,2 *,0,0,0,0,1,1 *,0,3,1,-,3,0,0
WIS,2,2,8 *,4,8,1,1,1,1,0,0,0,0,0,0,-,0,1
WPŁ,3 *,1,1,1,4,0,1,1,0,2,1 *,2,3 *,0,0,1,-,3
ZAG,4 *,3,6 *,0,0,0,5,0,2,2,0,1,11 *,0,0,3,1,-
