,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
BBT,-,4,0,0,2,6,3,1,3,0,0,2 *,1,4,1,1,1,3
CRA,4,-,1,1,0,0,2,2,4,0,2 *,0,1,2,4,0,4,1
GKŁ,0,1,-,2,8,1,7,11,1,2,2 *,1,2 *,0,0,0,6,4
GÓR,0,1,2,-,6,2,1,12,0,0,0,0,7,2,5,2,5,1
JAG,2,0,8,6,-,5,1,0,1,4,0,2,0,0,0,0,2,5
LPO,6,0,1,2,5,-,11,0,2,1,1,1,1,3,6,0,3,2
LGD,3,2,7,1,1,11,-,4,2,0,1,6 *,1,1,2,0,6,0
LEG,1,2,11,12,0,0,4,-,3,3,3,0,2,6,7,2,11,6
PIA,3,4,1,0,1,2,2,3,-,2,0,3,0,1,3,0,3,0
POG,0,0,2,0,4,1,0,3,2,-,1,1,6,0,0,3,3,2
RAD,0,2 *,2 *,0,0,1,1,3,0,1,-,1,0,0,2 *,4 *,0,2 *
RCZ,2 *,0,1,0,2,1,6 *,0,3,1,1,-,4,0,6 *,3,1,6
STM,1,1,2 *,7,0,1,1,2,0,6,0,4,-,0,1,6,2,3
ŚLĄ,4,2,0,2,0,3,1,6,1,0,0,0,0,-,1,0,2,0
WAR,1,4,0,5,0,6,2,7,3,0,2 *,6 *,1,1,-,1,6 *,8 *
WIS,1,0,0,2,0,0,0,2,0,3,4 *,3,6,0,1,-,5,13
WPŁ,1,4,6,5,2,3,6,11,3,3,0,1,2,2,6 *,5,-,5
ZAG,3,1,4,1,5,2,0,6,0,2,2 *,6,3,0,8 *,13,5,-
