,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
BBT,-,3,0,2,3,3,2,0,4 *,3,0,1 *,0,4,1 *,0,2,1
CRA,2,-,1,0,6,0,11,3,5,0,1 *,1,0,1,3,0,2,4
GKŁ,0,0,-,1,3,0,3,5,0,1,1 *,0,1 *,0,1 *,4,3,7 *
GÓR,0,5,1,-,7,1,2,5,2,0,0,0,3,1,2,1,2,0
JAG,1,0,5 *,3,-,2,0,0,0,7,0,1,0,0,0,1,2,9
LPO,4 *,1,1,1,3,-,7,0,1,0,0,1,5,12,7 *,4,1,1
LGD,2,1,4 *,0,2,4,-,2,1,0,0,3 *,2,2,1,0,3,3
LEG,3,1,6,8,5,10,3,-,1,4,2 *,7 *,8,3,16 *,1,6,3
PIA,2,2,2,0,5,3,3,9,-,2,0,1,0,0,2 *,4,1,1
POG,0,0,1,2,2,2,3,1,1,-,2 *,3,3,2,0,1,5,4
RAD,0,1 *,1 *,1,0,1,1,1,0,0,-,1 *,0,0,1 *,2 *,0,1 *
RCZ,1 *,0,1 *,1,3 *,0,3 *,0,3 *,0,0,-,3,0,3 *,1,5,4
STM,1 *,1,1 *,5,0,0,0,1,2 *,4,1 *,2,-,0,3,3,1,5
ŚLĄ,1,7,0,1,0,1,0,7,5,0,0,2,1,-,0,0,1,0
WAR,0,2,0,4 *,0,3,3 *,3,1,0,1 *,3 *,0,2 *,-,0,3 *,4 *
WIS,4,1,0,1,0,0,0,6,0,8,2 *,5 *,9,3,2,-,3,7
WPŁ,0,2,5,3,1,4,6 *,8,3,1,1 *,0,1,6,3 *,4,-,2
ZAG,4 *,0,1,3,2,2,0,9,0,1,1 *,2,1,6,4 *,6,4,-
