DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,RAZEM,DR/KOL,RAZEM,327,513,472,437,469,357,378,453,432,453,298,456,238,329,339,464,526,462,390,331,484,211,327,398,275,435,488,310,426,616,339,377,440,442,13178,RAZEM
BBT,7,52,0,0,0,0,X,38,20,44,0,0,38,0,39,7,0,0,0,46,0,X,51,4,0,73,0,0,0,79,16,0,0,0,514,BBT
CRA,0,0,0,0,45,34,0,0,56,2,32,0,0,0,21,0,70,0,45,11,22,X,0,0,0,0,79,0,82,66,X,0,81,0,646,CRA
GKŁ,40,0,0,X,0,0,1,0,0,0,0,0,X,0,0,4,89,63,1,33,35,X,67,0,0,0,0,0,4,0,0,15,81,0,433,GKŁ
GÓR,0,30,15,56,7,0,88,53,13,12,0,0,X,0,17,45,41,0,8,5,31,41,X,82,0,0,0,0,0,87,X,0,1,30,662,GÓR
JAG,0,55,45,0,0,0,0,0,19,37,8,0,0,0,35,0,0,46,0,0,1,X,0,42,0,0,1,0,9,0,31,X,31,4,364,JAG
LPO,X,41,43,87,73,0,0,61,0,88,36,39,X,61,35,37,82,0,1,43,72,0,20,0,0,43,42,10,46,86,59,33,45,80,1263,LPO
LGD,3,27,0,48,0,52,67,79,49,56,35,32,1,1,32,0,15,0,0,68,0,4,0,53,0,45,0,79,54,85,75,70,X,0,1030,LGD
LEG,62,0,64,51,64,0,0,79,0,0,0,0,0,1,0,45,0,0,0,50,0,X,72,21,23,26,61,0,0,0,0,89,0,36,744,LEG
PIA,42,72,0,68,24,23,0,0,9,22,42,80,48,0,0,19,22,0,13,0,26,65,X,X,22,46,10,64,47,43,43,0,33,0,883,PIA
POG,57,72,56,0,34,5,88,54,75,55,0,55,45,X,16,73,78,56,0,30,62,1,0,84,1,71,80,4,17,40,22,0,X,34,1265,POG
RAD,X,44,0,7,1,0,0,0,0,0,0,65,47,65,75,84,0,74,45,3,0,10,57,0,X,0,34,23,0,0,X,0,22,45,701,RAD
RCZ,15,0,11,17,50,18,59,32,41,68,26,79,X,X,0,62,37,1,38,35,89,0,58,40,29,0,63,0,54,58,12,24,0,80,1096,RCZ
STM,0,0,0,43,16,86,9,0,45,55,35,X,X,45,24,0,68,69,0,7,79,0,0,0,0,32,0,15,0,10,81,0,0,0,719,STM
ŚLĄ,13,74,57,X,0,76,6,5,60,0,0,83,8,17,0,12,0,0,0,0,0,0,X,0,X,1,0,17,0,0,0,23,74,19,545,ŚLĄ
WAR,23,0,73,0,0,2,X,0,0,0,0,X,0,12,0,0,24,65,16,0,67,39,2,0,43,71,0,29,78,0,0,53,12,61,670,WAR
WIS,65,0,37,0,70,61,0,0,0,0,40,0,0,38,0,0,0,29,67,0,0,X,0,0,47,0,20,31,35,0,X,X,59,0,599,WIS
WPŁ,0,0,71,0,85,0,59,19,0,14,33,0,51,11,45,76,0,53,86,0,0,20,0,72,85,27,60,27,0,62,0,0,0,53,1009,WPŁ
ZAG,0,46,0,60,0,0,1,33,45,0,11,23,X,78,0,0,0,6,70,0,0,31,X,X,25,0,38,11,0,0,0,70,1,0,549,ZAG
