SĘDZIA,M,RZK,ŚR.RZK,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG
Zbigniew Dobrynin,8,2,"0,25",1/1,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/1,0/0,0/0,0/0,0/0
Bartosz Frankowski,23,8,"0,35",1/1,1/0,0/0,0/0,0/0,0/0,1/1,0/0,1/1,2/0,0/0,0/0,0/2,0/0,2/1,0/0,0/1,1/1
Paweł Gil,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Patryk Gryckiewicz,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Krzysztof Jakubik,20,7,"0,35",3/1,1/0,0/0,0/0,0/2,0/0,0/0,0/1,1/1,0/0,2/0,1/0,0/0,0/0,0/0,0/0,0/0,0/1
Sebastian Jarzębak,8,4,"0,50",2/0,0/0,0/0,0/0,0/0,0/0,0/2,0/0,0/0,0/0,2/0,0/0,0/2,0/0,0/0,0/0,0/0,0/0
Damian Kos,18,3,"0,17",0/2,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,1/0,0/0,0/0,0/0,0/0,0/0,2/0
Sebastian Krasny,14,5,"0,36",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2/0,2/0,0/0,0/0,0/0,0/1,0/4
Łukasz Kuźma,12,4,"0,33",1/1,1/0,0/0,0/1,0/0,0/0,0/0,0/1,0/0,1/1,0/0,0/0,0/0,0/0,1/0,0/0,0/0,1/0
Tomasz Kwiatkowski,22,6,"0,27",0/0,0/1,1/0,0/0,0/1,1/1,0/2,0/0,0/1,0/0,1/0,0/0,1/0,1/0,1/0,0/1,0/0,0/0
Piotr Lasyk,18,6,"0,33",0/0,0/0,0/0,0/1,0/0,0/0,0/1,0/0,0/0,1/0,0/1,1/0,1/0,1/0,0/0,1/2,0/0,1/1
Paweł Malec,11,3,"0,27",0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/1,1/0,0/1,0/0,0/1,0/0,0/0,1/0
Szymon Marciniak,23,12,"0,52",0/0,0/0,0/1,1/0,1/0,1/3,0/1,1/2,2/1,0/0,1/0,4/2,0/0,0/0,0/0,0/2,0/0,1/0
Tomasz Musiał,21,9,"0,43",0/0,0/0,0/0,0/2,1/1,1/0,0/0,0/1,1/1,1/0,2/0,0/0,0/1,2/0,0/1,0/0,1/2,0/0
Wojciech Myć,2,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Jarosław Przybył,21,6,"0,29",0/0,0/0,0/0,0/1,0/1,1/1,2/0,0/1,0/0,0/0,2/1,1/0,0/0,0/1,0/0,0/0,0/0,0/0
Paweł Raczkowski,25,5,"0,20",0/0,0/1,1/0,0/0,1/1,1/0,1/0,0/0,0/0,0/2,0/0,0/1,0/0,0/0,0/1,0/0,0/0,1/0
Daniel Stefański,17,8,"0,47",1/2,2/0,0/0,0/3,0/0,0/0,0/0,0/0,0/1,1/1,0/1,1/0,2/0,1/0,1/0,1/0,0/0,0/0
Damian Sylwestrzak,24,4,"0,17",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,1/0,0/0,1/0,0/0,0/1,0/2,1/1,0/0
Łukasz Szczech,3,2,"0,67",2/0,0/0,0/0,0/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Piotr Urban,1,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Tomasz Wajda,12,7,"0,58",2/0,0/1,1/3,0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/0,2/1,1/0,0/0,0/0,0/1,0/0
Mariusz Złotek,1,1,"1,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
