,BBT,CRA,GKŁ,GÓR,JAG,LPO,LGD,LEG,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WIS,WPŁ,ZAG,D,W,102:83,81:74,113:83,106:94,101:90,58:115,106:107,83:108,106:69,72:92,108:84,64:109,102:60,110:74,78:63,86:66,89:88,111:83,
BBT,-,4:5,5:5,5:6,4:7,7:8,4:13,6:8,4:7,5:5,5:7,6:8,1:2,5:3,5:4,3:4,7:9,6:5,82:106
CRA,5:3,-,2:5,10:1,5:7,2:5,11:5,7:7,7:4,4:2,9:4,0:3,6:3,12:6,6:4,4:4,7:5,5:8,102:76
GKŁ,3:8,7:7,-,2:8,4:5,4:8,5:6,4:7,7:4,0:5,4:6,1:12,1:8,5:10,1:6,0:5,5:6,3:3,56:114
GÓR,11:2,6:6,4:3,-,7:6,2:12,5:9,3:6,8:4,6:3,5:3,5:7,3:3,1:6,7:2,7:6,2:4,1:5,83:87
JAG,0:4,7:2,4:5,2:7,-,2:8,5:9,7:4,11:1,3:12,7:7,3:7,3:2,9:3,1:2,8:2,4:10,9:5,85:90
LPO,10:4,4:1,16:5,11:6,6:2,-,7:10,6:2,8:1,5:6,9:5,5:1,10:7,1:5,8:4,3:5,4:1,4:7,117:72
LGD,5:7,3:3,3:11,7:6,8:5,5:9,-,7:4,7:3,9:6,10:5,3:4,4:8,14:1,1:7,9:4,8:9,10:5,113:97
LEG,6:5,4:7,10:1,3:5,12:3,7:4,4:9,-,6:5,8:2,4:5,4:7,10:1,4:3,5:3,3:0,0:6,9:5,99:71
PIA,7:2,5:1,5:9,4:4,3:9,1:5,9:3,1:14,-,2:4,7:3,4:6,5:2,7:8,5:7,3:9,6:1,6:9,80:96
POG,8:8,4:2,9:1,6:5,11:6,2:2,6:1,3:7,4:8,-,6:4,4:7,10:3,9:2,11:2,10:3,11:5,7:4,121:70
RAD,11:3,5:3,6:1,7:8,2:7,0:6,1:6,6:6,7:4,8:2,-,3:4,7:1,11:2,7:7,4:5,10:9,4:1,99:75
RCZ,4:5,7:6,11:2,7:3,7:4,2:5,6:1,5:6,5:4,4:1,5:6,-,9:2,9:6,4:2,5:4,4:4,6:2,100:63
STM,5:9,6:8,4:10,9:4,7:5,0:11,4:9,5:2,9:2,3:10,3:11,9:9,-,8:4,4:0,8:4,0:6,7:3,91:107
ŚLĄ,4:4,5:7,8:6,9:2,5:6,4:3,6:8,5:10,4:1,1:7,7:5,4:2,5:2,-,1:4,3:1,2:3,8:4,81:75
WAR,7:3,4:4,8:3,7:3,2:6,0:4,2:8,4:10,4:4,3:7,5:3,4:7,8:3,0:4,-,5:4,7:1,13:2,83:76
WIS,9:4,3:3,10:7,5:8,6:3,12:10,14:1,5:9,5:4,3:6,6:6,4:8,3:4,5:5,7:3,-,3:0,8:5,108:86
WPŁ,2:6,2:5,6:5,3:13,5:6,3:9,9:8,2:5,7:6,3:5,8:3,3:8,13:3,3:3,2:3,6:1,-,5:10,82:99
ZAG,5:6,5:4,2:4,9:5,7:3,5:6,8:1,7:1,3:7,5:9,8:1,2:9,4:6,7:3,3:3,5:5,9:9,-,94:82
