DRUŻYNA,MNP,Z,%
Bruk-Bet Termalica,14,7,"50,00%"
Cracovia,14,12,"85,71%"
Górnik Łęczna,12,6,"50,00%"
Górnik Zabrze,19,13,"68,42%"
Jagiellonia Białystok,14,9,"64,29%"
Lech Poznań,25,22,"88,00%"
Lechia Gdańsk,23,16,"69,57%"
Legia Warszawa,15,13,"86,67%"
Piast Gliwice,23,15,"65,22%"
Pogoń Szczecin,27,18,"66,67%"
Radomiak Radom,17,11,"64,71%"
Raków Częstochowa,26,20,"76,92%"
Stal Mielec,17,9,"52,94%"
Śląsk Wrocław,16,7,"43,75%"
Warta Poznań,17,11,"64,71%"
Wisła Kraków,13,7,"53,85%"
Wisła Płock,20,15,"75,00%"
Zagłębie Lubin,16,11,"68,75%"
