Trener,M,Z,R,P,BZ,BS,ŚR GOLI,ŚR PKT,% zwycięstw
Radoslav Latal,82,34,20,28,115,117,"2,83","1,49","41,5%"
Jacek Zieliński I,335,144,86,105,455,380,"2,49","1,55","43,0%"
Marcin Prasoł,7,1,1,5,5,12,"2,43","0,57","14,3%"
Jan Urban,267,134,55,78,408,272,"2,55","1,71","50,2%"
Piotr Nowak,78,33,23,22,114,88,"2,59","1,56","42,3%"
Maciej Skorża,292,153,68,71,463,266,"2,50","1,80","52,4%"
Tomasz Kaczmarek,28,14,6,8,44,33,"2,75","1,71","50,0%"
Aleksandar Vuković,72,38,14,20,124,72,"2,72","1,78","52,8%"
Waldemar Fornalik,467,186,121,160,574,519,"2,34","1,45","39,8%"
Kosta Runjaić,160,71,46,43,227,175,"2,51","1,62","44,4%"
Mariusz Lewandowski,54,15,17,22,69,84,"2,83","1,15","27,8%"
Marek Papszun,101,53,22,26,157,111,"2,65","1,79","52,5%"
Adam Majewski,34,9,10,15,39,52,"2,68","1,09","26,5%"
Piotr Tworek,53,15,15,23,51,64,"2,17","1,13","28,3%"
Dawid Szulczek,20,9,4,7,26,21,"2,35","1,55","45,0%"
Jerzy Brzęczek,79,28,22,29,103,99,"2,56","1,34","35,4%"
Pavol Stano,10,5,0,5,14,16,"3,00","1,50","50,0%"
Piotr Stokowiec,291,114,79,98,404,361,"2,63","1,45","39,2%"
