KLUB,śr./mecz,celne,ncel,zabl,% zabl,Celne/gol bez sam,% celn,G BEZ SAM/PRZECIW
Bruk-Bet,"13,41","5,32","4,97","3,12","23,25%","3,35","39,69%","11,84%"
Cracovia,"11,88","3,65","5,12","3,12","26,24%","2,95","30,69%","10,40%"
Górnik Ł,"15,79","5,59","6,12","4,09","25,88%","3,28","35,38%","10,80%"
Górnik Z,"11,15","4,24","3,97","2,94","26,39%","2,72","37,99%","13,98%"
Jagiellonia,"11,94","3,85","4,79","3,29","27,59%","2,73","32,27%","11,82%"
Lech,"7,62","2,24","3,41","1,97","25,87%","3,17","29,34%","9,27%"
Lechia,"13,26","4,71","5,15","3,41","25,72%","4,10","35,48%","8,65%"
Legia,"11,65","4,21","4,56","2,88","24,75%","3,04","36,11%","11,87%"
Piast,"11,88","3,74","5,29","2,85","24,01%","3,53","31,44%","8,91%"
Pogoń,"9,29","3,15","3,47","2,68","28,80%","3,82","33,86%","8,86%"
Radomiak,"12,59","3,97","5,38","3,24","25,70%","3,38","31,54%","9,35%"
Raków,"10,76","3,47","4,62","2,68","24,86%","3,93","32,24%","8,20%"
Stal,"15,24","4,85","5,97","4,41","28,96%","3,44","31,85%","9,27%"
Śląsk,"12,56","4,91","4,79","2,85","22,72%","3,48","39,11%","11,24%"
Warta,"11,68","3,56","5,00","3,12","26,70%","3,46","30,48%","8,82%"
Wisła K,"13,82","5,35","4,82","3,65","26,38%","3,57","38,72%","10,85%"
Wisła P,"14,97","5,18","5,91","3,88","25,93%","3,67","34,58%","9,43%"
Zagłębie,"13,59","5,24","4,82","3,53","25,97%","3,18","38,53%","12,12%"
